name,phase,complete,final_primary_score,final_primary_overall,final_primary_strict,best_worst_rx,best_worst_rx_name,sat_avg,sat_min,final_primary_val,final_best_val,final_best_overall,best_val_tx,paired_test_at_best_val,primary_epoch,best_test_epoch,best_strict_epoch,skipped_backward,delta_final_primary_score,delta_final_primary_overall,delta_final_primary_strict,delta_best_worst_rx,delta_sat_avg,log,primary_ckpt,best_strict_ckpt,best_strict_udu,best_test_ckpt,best_test_overall,best_val_epoch,best_worst_rx_ckpt,best_worst_rx_epoch,delta_final_primary_val,fp_rx_10,fp_rx_11,fp_rx_7,fp_rx_8,fp_rx_9,fp_seen_day_unseen_rx,fp_unseen_day_seen_rx,fp_unseen_day_unseen_rx,primary_score,sat_clear_leo,sat_low_elev_leo,sat_mixed_orbit,sat_rain_leo,sat_storm_mp
B1_A1_mild_seed1337_seed1337,B,True,87.24,89.96,85.78,85.41,test_rx_7,43.632,39.89,98.97,99.04,89.25,99.04,89.25,159,93,159,11,0.0,0.0,0.0,0.0,0.0,5.8/logs/B1_A1_mild_seed1337_seed1337.log,finalist_runs/B1_A1_mild_seed1337/best_model_primary_ood.pth,finalist_runs/B1_A1_mild_seed1337/best_model_strict_udu.pth,85.78,finalist_runs/B1_A1_mild_seed1337/best_model_test_overall.pth,90.4,129,finalist_runs/B1_A1_mild_seed1337/best_model_worst_rx.pth,93,0.0,92.38,96.04,80.46,85.5,91.03,89.08,93.57,85.78,87.24,45.84,46.36,42.12,43.95,39.89
B2_A2_light_seed1337_seed1337,B,True,87.23,89.82,85.84,85.09,test_rx_8,42.186,38.2,98.88,99.05,89.18,99.05,89.18,123,118,123,10,-0.01,-0.14,0.06,-0.32,-1.446,5.8/logs/B2_A2_light_seed1337_seed1337.log,finalist_runs/B2_A2_light_seed1337/best_model_primary_ood.pth,finalist_runs/B2_A2_light_seed1337/best_model_strict_udu.pth,85.84,finalist_runs/B2_A2_light_seed1337/best_model_test_overall.pth,90.23,150,finalist_runs/B2_A2_light_seed1337/best_model_worst_rx.pth,118,-0.09,93.5,96.07,82.01,84.96,90.66,89.44,92.95,85.84,87.23,44.45,45.16,40.85,42.27,38.2
B3_A1_ls002_seed1337_seed1337,B,True,87.25,90.23,85.64,86.03,test_rx_8,43.562,39.26,98.96,99.05,89.35,99.05,89.35,147,147,120,11,0.01,0.27,-0.14,0.62,-0.07,5.8/logs/B3_A1_ls002_seed1337_seed1337.log,finalist_runs/B3_A1_ls002_seed1337/best_model_primary_ood.pth,finalist_runs/B3_A1_ls002_seed1337/best_model_strict_udu.pth,85.72,finalist_runs/B3_A1_ls002_seed1337/best_model_test_overall.pth,90.23,150,finalist_runs/B3_A1_ls002_seed1337/best_model_worst_rx.pth,146,-0.01,92.89,93.85,85.67,85.9,91.45,89.95,93.71,85.64,87.25,46.19,46.05,42.19,44.12,39.26
B4_A2_ls002_seed1337_seed1337,B,True,87.61,90.35,86.14,85.62,test_rx_8,42.248,38.15,98.99,99.06,90.03,99.06,90.03,129,135,129,11,0.37,0.39,0.36,0.21,-1.384,5.8/logs/B4_A2_ls002_seed1337_seed1337.log,finalist_runs/B4_A2_ls002_seed1337/best_model_primary_ood.pth,finalist_runs/B4_A2_ls002_seed1337/best_model_strict_udu.pth,86.14,finalist_runs/B4_A2_ls002_seed1337/best_model_test_overall.pth,90.37,134,finalist_runs/B4_A2_ls002_seed1337/best_model_worst_rx.pth,141,0.02,90.67,96.32,85.02,86.38,91.74,90.03,93.6,86.14,87.61,44.87,44.64,41.4,42.18,38.15
C1_A1_ecc002_sat_seed1337_seed1337,C,True,86.98,90.06,85.32,85.6,test_rx_8,43.302,39.02,98.94,99.05,89.14,99.05,89.14,148,116,148,10,-0.26,0.1,-0.46,0.19,-0.33,5.8/logs/C1_A1_ecc002_sat_seed1337_seed1337.log,finalist_runs/C1_A1_ecc002_sat_seed1337/best_model_primary_ood.pth,finalist_runs/C1_A1_ecc002_sat_seed1337/best_model_strict_udu.pth,85.32,finalist_runs/C1_A1_ecc002_sat_seed1337/best_model_test_overall.pth,90.38,150,finalist_runs/C1_A1_ecc002_sat_seed1337/best_model_worst_rx.pth,174,-0.03,92.66,93.67,83.67,85.94,91.5,89.49,93.85,85.32,86.98,45.95,45.71,42.13,43.7,39.02
C2_A1_ecc003_satmain_seed1337_seed1337,C,True,87.34,90.07,85.86,85.45,test_rx_8,43.164,38.78,98.85,99.07,89.59,99.07,89.59,93,141,93,11,0.1,0.11,0.08,0.04,-0.468,5.8/logs/C2_A1_ecc003_satmain_seed1337_seed1337.log,finalist_runs/C2_A1_ecc003_satmain_seed1337/best_model_primary_ood.pth,finalist_runs/C2_A1_ecc003_satmain_seed1337/best_model_strict_udu.pth,85.86,finalist_runs/C2_A1_ecc003_satmain_seed1337/best_model_test_overall.pth,90.4,136,finalist_runs/C2_A1_ecc003_satmain_seed1337/best_model_worst_rx.pth,162,-0.12,89.54,95.61,82.18,86.12,94.68,89.63,93.39,85.86,87.34,45.84,46.19,41.53,43.48,38.78
C3_A1_ecc003_conservative_seed1337_seed1337,C,True,87.05,90.21,85.35,84.62,test_rx_8,43.654,39.27,98.9,99.05,89.71,99.05,89.71,152,101,152,11,-0.19,0.25,-0.43,-0.79,0.022,5.8/logs/C3_A1_ecc003_conservative_seed1337_seed1337.log,finalist_runs/C3_A1_ecc003_conservative_seed1337/best_model_primary_ood.pth,finalist_runs/C3_A1_ecc003_conservative_seed1337/best_model_strict_udu.pth,85.35,finalist_runs/C3_A1_ecc003_conservative_seed1337/best_model_test_overall.pth,90.35,138,finalist_runs/C3_A1_ecc003_conservative_seed1337/best_model_worst_rx.pth,152,-0.07,94.14,95.87,85.17,84.62,91.22,90.2,93.68,85.35,87.05,46.21,46.37,42.48,43.94,39.27
C4_A2_ecc003_satmain_seed1337_seed1337,C,True,86.81,89.95,85.11,84.54,test_rx_8,40.07,36.26,98.88,99.08,89.48,99.08,89.48,96,114,96,12,-0.43,-0.01,-0.67,-0.87,-3.562,5.8/logs/C4_A2_ecc003_satmain_seed1337_seed1337.log,finalist_runs/C4_A2_ecc003_satmain_seed1337/best_model_primary_ood.pth,finalist_runs/C4_A2_ecc003_satmain_seed1337/best_model_strict_udu.pth,85.11,finalist_runs/C4_A2_ecc003_satmain_seed1337/best_model_test_overall.pth,89.98,173,finalist_runs/C4_A2_ecc003_satmain_seed1337/best_model_worst_rx.pth,115,-0.09,92.83,96.37,82.69,85.33,92.15,89.88,93.47,85.11,86.81,42.77,41.88,39.21,40.23,36.26
D1_domain_enhancer_off_seed1337_seed1337,D,True,87.87,90.52,86.45,85.12,test_rx_8,40.986,36.9,98.91,99.04,89.47,99.04,89.47,78,78,78,11,0.63,0.56,0.67,-0.29,-2.646,5.8/logs/D1_domain_enhancer_off_seed1337_seed1337.log,finalist_runs/D1_domain_enhancer_off_seed1337/best_model_primary_ood.pth,finalist_runs/D1_domain_enhancer_off_seed1337/best_model_strict_udu.pth,86.45,finalist_runs/D1_domain_enhancer_off_seed1337/best_model_test_overall.pth,90.52,129,finalist_runs/D1_domain_enhancer_off_seed1337/best_model_worst_rx.pth,63,-0.06,90.54,96.35,84.18,87.28,90.67,89.81,93.94,86.45,87.87,43.7,43.43,39.44,41.46,36.9
D2_domain_rcn020_seed1337_seed1337,D,True,87.19,90.2,85.56,85.02,test_rx_8,41.824,38.34,98.94,99.03,89.47,99.03,89.47,101,105,101,12,-0.05,0.24,-0.22,-0.39,-1.808,5.8/logs/D2_domain_rcn020_seed1337_seed1337.log,finalist_runs/D2_domain_rcn020_seed1337/best_model_primary_ood.pth,finalist_runs/D2_domain_rcn020_seed1337/best_model_strict_udu.pth,85.56,finalist_runs/D2_domain_rcn020_seed1337/best_model_test_overall.pth,90.42,150,finalist_runs/D2_domain_rcn020_seed1337/best_model_worst_rx.pth,43,-0.03,92.88,95.29,84.73,83.69,91.86,89.69,93.88,85.56,87.19,43.84,44.41,40.51,42.02,38.34
