id,version,variant,description,clean,test_unseen_day_seen_rx__clean,test_seen_day_unseen_rx__clean,test_unseen_day_unseen_rx__clean,macro_f1__clean,worst_strict_rx__clean,worst_strict_rx_id__clean,worst_class__clean,worst_class_id__clean,leo_clear_weak,test_unseen_day_seen_rx__leo_clear_weak,test_seen_day_unseen_rx__leo_clear_weak,test_unseen_day_unseen_rx__leo_clear_weak,macro_f1__leo_clear_weak,worst_strict_rx__leo_clear_weak,worst_strict_rx_id__leo_clear_weak,worst_class__leo_clear_weak,worst_class_id__leo_clear_weak,leo_low_elev_weak,test_unseen_day_seen_rx__leo_low_elev_weak,test_seen_day_unseen_rx__leo_low_elev_weak,test_unseen_day_unseen_rx__leo_low_elev_weak,macro_f1__leo_low_elev_weak,worst_strict_rx__leo_low_elev_weak,worst_strict_rx_id__leo_low_elev_weak,worst_class__leo_low_elev_weak,worst_class_id__leo_low_elev_weak,leo_rain_weak,test_unseen_day_seen_rx__leo_rain_weak,test_seen_day_unseen_rx__leo_rain_weak,test_unseen_day_unseen_rx__leo_rain_weak,macro_f1__leo_rain_weak,worst_strict_rx__leo_rain_weak,worst_strict_rx_id__leo_rain_weak,worst_class__leo_rain_weak,worst_class_id__leo_rain_weak,leo_mean,test_unseen_day_seen_rx__leo_mean,test_seen_day_unseen_rx__leo_mean,test_unseen_day_unseen_rx__leo_mean,macro_f1__leo_mean,worst_strict_rx__leo_mean,worst_class__leo_mean,wall_hours,allocated_gib
V2/U0,V2,U0,历史ADV3B02_CORE90基线，本轮从零训练，关闭新增交叉机制,78.89040404040404,92.29666666666667,77.09603174603174,74.69761904761904,78.35382484366897,52.983333333333334,2,49.57272727272727,1,66.7439393939394,81.08333333333333,64.83174603174604,62.23809523809524,66.64292722825779,41.31666666666667,2,35.42424242424242,1,63.925252525252525,77.27,62.19761904761905,59.576190476190476,63.74618275958422,41.56666666666667,2,33.027272727272724,1,63.87979797979798,77.46666666666667,62.21111111111111,59.180952380952384,63.66613634983108,41.78333333333333,2,33.56969696969697,1,64.8496632996633,78.60666666666667,63.08015873015873,60.331746031746036,64.6850821125577,41.55555555555556,34.0070707070707,3.0127474925253126,9.509193897247314
V2/Ux_normalized,V2,Ux_normalized,先逐条单位范数归一化，再聚合并约束身份交互,80.36969696969697,92.61666666666666,79.19126984126984,75.15714285714286,80.04789115388546,60.75,2,52.38181818181818,1,65.77373737373738,79.62333333333333,63.8968253968254,61.51190476190476,65.58240445991677,39.233333333333334,2,29.53939393939394,1,63.10050505050505,75.83666666666667,61.43650793650794,58.99523809523809,62.8710822050949,40.983333333333334,2,27.075757575757574,1,63.1949494949495,76.20666666666666,61.53968253968254,58.86666666666667,62.91071054821591,41.266666666666666,2,27.687878787878788,1,64.02306397306397,77.22222222222223,62.29100529100529,59.79126984126984,63.78806573774253,40.49444444444445,28.1010101010101,4.299566237396664,9.510749816894531
V1/U1,V1,U1,交叉块组织及角色隔离，不加响应/决策辅助损失,79.33888888888889,92.69666666666667,78.05555555555556,73.64761904761905,78.7139464039296,52.11666666666667,2,40.657575757575756,1,64.6959595959596,79.26333333333334,62.54920634920635,60.73095238095238,64.81552054033946,36.333333333333336,2,29.693939393939395,1,62.202525252525255,75.64333333333333,60.29047619047619,58.338095238095235,62.3965145940378,38.0,2,27.672727272727272,1,62.466161616161614,76.0,60.68412698412698,58.14523809523809,62.577405956497664,37.46666666666667,2,28.075757575757574,1,63.12154882154882,76.96888888888888,61.17460317460317,59.07142857142856,63.26314703029164,37.26666666666667,28.480808080808078,7.494170762565401,9.510174751281738
V2/permanent_detach,V2,permanent_detach,永久切断响应到身份路径，保留决策损失的机制对照,79.5409090909091,93.92,77.57142857142857,75.17857142857143,78.94953006505175,59.46666666666667,2,53.74545454545454,1,64.61161616161615,79.83,62.2952380952381,60.69047619047619,64.27221298165965,38.083333333333336,2,34.32727272727273,1,62.12626262626262,76.00666666666666,60.12063492063492,58.22857142857143,61.70407632886094,39.8,2,31.55151515151515,1,62.132828282828285,76.60666666666667,60.06825396825397,57.98809523809524,61.660982248715605,39.916666666666664,2,31.936363636363637,1,62.956902356902354,77.4811111111111,60.82804232804233,58.969047619047615,62.54575718641207,39.26666666666666,32.60505050505051,5.466056807107395,9.724201679229736
V2/head_only,V2,head_only,仅训练响应辅助头的机制对照,78.80454545454545,93.47333333333333,76.90238095238095,74.03333333333333,78.33438980393827,52.61666666666667,2,49.972727272727276,1,64.51616161616161,80.11,62.384126984126986,59.773809523809526,64.80092565084978,40.13333333333333,2,37.157575757575756,1,61.98888888888889,76.21666666666667,60.073015873015876,57.57380952380952,62.28743724407675,41.36666666666667,2,35.36969696969697,1,62.06060606060606,76.57333333333334,60.212698412698415,57.23809523809524,62.285799680242995,40.833333333333336,2,35.81818181818182,1,62.85521885521885,77.63333333333333,60.88994708994709,58.195238095238096,63.12472085838984,40.77777777777778,36.11515151515152,4.7366827534967,9.510307312011719
V1/U5,V1,U5,U4_bilinear加反馈调度,79.21919191919191,93.11,77.68015873015872,73.91428571428571,78.83635858398281,58.31666666666667,2,62.096969696969694,2,64.51464646464646,79.73333333333333,62.553174603174604,59.52857142857143,65.01569827092084,38.833333333333336,2,48.38181818181818,2,61.88181818181818,75.52666666666667,60.212698412698415,57.142857142857146,62.269330277042535,40.53333333333333,2,44.93939393939394,2,62.13232323232323,76.07,60.35793650793651,57.5,62.408504413588155,39.983333333333334,2,43.736363636363635,3,62.842929292929284,77.11,61.04126984126984,58.05714285714286,63.231177653850516,39.78333333333334,45.68585858585859,10.854541024035878,9.720304489135742
V1/U3,V1,U3,U1加决策保护/校准,79.92676767676768,93.62333333333333,78.28333333333333,75.07380952380953,79.65194608404525,61.81666666666667,2,60.54545454545455,1,64.31969696969696,79.55333333333333,62.01904761904762,60.34047619047619,64.53215219679926,39.8,2,38.196969696969695,1,62.03232323232323,75.70333333333333,60.018253968253966,58.30952380952381,62.191689827230924,41.2,2,36.79090909090909,1,62.17171717171717,76.49666666666667,60.16746031746032,57.95238095238095,62.264399393803195,40.833333333333336,2,37.17575757575757,1,62.84124579124579,77.25111111111111,60.734920634920634,58.86746031746031,62.99608047261112,40.611111111111114,37.38787878787878,11.422737026015918,9.510758876800537
V1/head_only,V1,head_only,仅训练响应辅助头的机制对照,77.67121212121212,91.92,76.14444444444445,72.07380952380953,76.8699159418954,51.85,2,34.31818181818182,1,64.32525252525252,77.98666666666666,62.49047619047619,60.07142857142857,64.51075294031705,38.8,2,27.303030303030305,1,61.867171717171715,74.63666666666667,60.17301587301587,57.82857142857143,62.095343084471786,39.63333333333333,2,25.30909090909091,1,62.0010101010101,74.92666666666666,60.42301587301587,57.50238095238095,62.14477354751421,39.13333333333333,2,25.727272727272727,1,62.731144781144785,75.85000000000001,61.02883597883598,58.467460317460315,62.91695652410101,39.18888888888889,26.113131313131316,7.864536436663734,9.511137008666992
V2/U1_mask_off,V2,U1_mask_off,U1关闭角色mask的机制对照,78.61161616161615,93.50333333333333,76.21507936507936,75.16428571428571,78.20038363216987,62.18333333333333,2,45.50909090909091,1,63.92727272727273,79.04,61.80555555555556,59.49761904761905,64.02496777907555,41.78333333333333,2,27.26060606060606,1,61.63989898989899,75.40666666666667,59.708730158730155,57.6,61.66045506055898,43.416666666666664,2,26.14848484848485,1,61.966161616161614,76.59,59.93492063492064,57.614285714285714,61.95232055902816,43.36666666666667,2,26.581818181818182,1,62.51111111111111,77.01222222222222,60.48306878306878,58.23730158730158,62.54591446622089,42.855555555555554,26.66363636363636,3.4804880049493576,9.509196758270264
V2/U1,V2,U1,交叉块组织及角色隔离，不加响应/决策辅助损失,77.64949494949495,92.71,76.02380952380952,71.76904761904763,77.00314511466989,50.3,2,46.24545454545454,1,64.07070707070707,79.43666666666667,62.096825396825395,59.016666666666666,63.81614581576485,38.65,2,31.415151515151514,1,61.51010101010101,75.50666666666666,59.59285714285714,57.26428571428571,61.15604313918849,40.05,2,29.01212121212121,1,61.69595959595959,76.01,59.86746031746032,56.957142857142856,61.26195031968056,40.31666666666667,2,29.736363636363638,1,62.42558922558923,76.98444444444443,60.51904761904762,57.74603174603175,62.07804642487796,39.67222222222222,30.05454545454545,3.541822990510199,9.509196758270264
