run,row,epoch,kind,scenario,class,accuracy_pct
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,clean,0,92.63214285714285
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,clean,1,46.957142857142856
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,clean,2,68.41428571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,clean,3,66.23928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,clean,4,99.75
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,clean,5,96.52857142857142
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_clear_weak,0,76.03571428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_clear_weak,1,34.964285714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_clear_weak,2,61.828571428571436
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_clear_weak,3,61.41428571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_clear_weak,4,96.85714285714285
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_clear_weak,5,84.56071428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_low_elev_weak,0,74.62142857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_low_elev_weak,1,33.846428571428575
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_low_elev_weak,2,58.92142857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_low_elev_weak,3,58.08214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_low_elev_weak,4,94.79285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_low_elev_weak,5,85.59642857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_rain_weak,0,75.46071428571427
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_rain_weak,1,34.14642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_rain_weak,2,59.06428571428572
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_rain_weak,3,56.54285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_rain_weak,4,94.55
a1_ecrs_cross_rx_s392005_20260909_r1,X2_CROSS_RX_VIEWS,200,final,leo_rain_weak,5,86.44642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,clean,0,92.68928571428572
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,clean,1,45.267857142857146
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,clean,2,75.15357142857142
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,clean,3,67.49642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,clean,4,99.73571428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,clean,5,92.06071428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_clear_weak,0,74.60357142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_clear_weak,1,35.72857142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_clear_weak,2,65.77142857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_clear_weak,3,61.51428571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_clear_weak,4,97.21428571428572
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_clear_weak,5,81.90357142857142
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_low_elev_weak,0,72.925
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_low_elev_weak,1,33.92142857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_low_elev_weak,2,62.221428571428575
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_low_elev_weak,3,58.339285714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_low_elev_weak,4,95.04285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X3_WARM_EMA,200,final,leo_low_elev_weak,5,83.74642857142857
