row,status,epoch,target_epochs,recent_epoch_minutes,remaining_hours_central,remaining_hours_low,remaining_hours_high,finish_time_central_HKT,test_seconds_per_checkpoint,test_cost_measured,source_clean_pct,source_leo_mean_pct,peak_reported_MiB,nonfinite_skip_epochs
B0_FIXED,RUNNING,95,"80,90",5.7896029353141785,10.438354595467874,8.3506836763743,13.047943244334842,09-10 19:39,100.32527738227509,True,98.37777777777778,89.69876543209877,20267.13427734375,9
B1_TAIL_LR,RUNNING,94,"80,90",5.963306701183319,10.982970377412146,8.786376301929717,13.728712971765182,09-10 20:12,146.55115810525604,True,98.46296296296296,89.7962962962963,9844.43359375,9
B2_RC4_WEIGHT,RUNNING,94,"80,90",5.760049702723821,10.629774954663525,8.50381996373082,13.287218693329406,09-10 19:51,148.47942976956256,True,98.4037037037037,89.3851851851852,20266.38427734375,9
D0_NO_ORBIT,RUNNING,113,"80,90,100,110",3.4876697599887847,5.320856710388907,4.256685368311126,6.651070887986133,09-10 14:32,105.49422336206771,True,98.44444444444444,86.89876543209876,9847.2705078125,26
D1_THREE_VIEW,RUNNING,84,80,7.282764248053232,14.58572180622309,11.668577444978473,18.23215225777886,09-10 23:48,151.71327799605206,True,98.35185185185185,86.08518518518518,20265.38427734375,8
D2_PHYSICAL_ORBIT,RUNNING,94,"80,90",5.7205626765886946,10.521815158497839,8.417452126798272,13.152268948122298,09-10 19:44,135.97781340801157,True,98.44814814814815,89.06913580246913,20265.88427734375,10
D3_TANGENT,RUNNING,98,"80,90",4.100383992989858,7.247202897180234,5.797762317744187,9.059003621475291,09-10 16:28,90.50730843190104,True,98.38888888888889,89.85555555555555,20264.38427734375,12
F0_R3_REFERENCE,RUNNING,86,80,6.300295269489288,12.343590039162276,9.874872031329822,15.429487548952846,09-10 21:33,111.90870813978836,True,98.52592592592593,87.87160493827162,20331.59814453125,11
F1_R3_CONTINUOUS,RUNNING,65,,6.276579284667969,14.770220636202966,11.816176508962373,18.46277579525371,09-10 23:59,179.42323727077908,False,98.44074074074074,81.46296296296298,20337.3466796875,8
F2_R3_IDENTITY,RUNNING,28,,5.603357597192129,16.69631930159934,13.35705544127947,20.870399126999175,09-11 01:55,175.39223713344998,False,97.99259259259259,56.98765432098765,10192.2431640625,5
F3_R3_SWAP,RUNNING,87,80,6.4355700771013895,12.534744516100941,10.027795612880753,15.668430645126177,09-10 21:45,124.32626126799732,True,98.48518518518519,87.9604938271605,20326.00439453125,10
G0_EQUAL_BRANCH,TRAIN_FAILED,0,,,,,,,,False,,,,0
G1_FISHER_GATE,RUNNING,13,,37.79873599410057,139.86737693892215,111.89390155113773,209.80106540838324,09-16 05:05,6109.287625100877,False,97.81481481481481,54.001234567901236,20272.1171875,3
E0_RESPONSE_ONLY,RUNNING,49,,11.413225076595943,31.710165184901822,25.368132147921457,39.637706481127275,09-11 16:55,827.1365747451782,False,98.41851851851852,75.51975308641975,20268.41748046875,7
E1_RESPONSE_FUSED,TRAIN_FAILED,42,,11.504923663536708,,,,,,False,29.144444444444446,17.193827160493825,20273.66748046875,9
E2_RESPONSE_PAIR,RUNNING,45,,13.08112639983495,36.90145946394514,29.521167571156113,46.126824329931424,09-11 22:07,860.8291193644205,False,98.03703703703704,71.62345679012346,20269.66748046875,11
