run,rows,stored_status,family
a1_e600_repair_s392005_20260911_r1,2,FAILED,E600修复
a1_ecrs_cross_rx_s392005_20260909_r1,8,AWAITING_ARTIFACT_ANALYSIS,X/ECRS
a1_extended_s392005_20260910_r1,3,FAILED,长训练
a1_fast_matched_core90_s392005_20260908_r1,0,FAILED,早期CORE90
a1_fast_matched_core90_s392005_20260908_r2,0,FAILED,早期CORE90
a1_fast_matched_core90_s392005_20260908_r3,1,SUPERSEDED_BY_USER,早期CORE90
a1_fast_selected_adv3b02_s392005_20260908_r1,2,AWAITING_ARTIFACT_ANALYSIS,继承A1
a1_fast_v2_s392005_20260909_r1,4,AWAITING_ARTIFACT_ANALYSIS,V2
a1_mechanism_periodic_s392005_20260910_r1,16,RUNNING,机制
a1_mechanism_screen_s392005_20260910_r2,16,RUNNING,已替代机制
a1_r3_budget_s392005_20260909_r1,2,FAILED,R3预算
a1_r3_budget_s392005_20260909_r2,2,AWAITING_ARTIFACT_ANALYSIS,R3预算
a1_r3_clean_cross_rx_s392005_20260909_r1,1,AWAITING_ARTIFACT_ANALYSIS,R3+clean
a1_r3_scratch_s392005_20260908_r1,3,AWAITING_ARTIFACT_ANALYSIS,R3
