mechanism,family,contrast,clean_pp,leo_pp
DAOT orbit增量,机制,B0_FIXED − D0_NO_ORBIT,-0.1369047619047592,4.114285714285707
连续LR,机制,B1_TAIL_LR − B0_FIXED,0.5797619047619094,0.665873015873018
RC4 calibrated权重,机制,B2_RC4_WEIGHT − B0_FIXED,1.0184523809523824,0.0521825396825335
三视图,机制,D1_THREE_VIEW − B0_FIXED,1.4196428571428612,0.4718253968254089
物理orbit追加,机制,D2_PHYSICAL_ORBIT − D1_THREE_VIEW,-1.046428571428578,-1.5499999999999972
tangent追加,机制,D3_TANGENT − D2_PHYSICAL_ORBIT,0.7654761904761926,1.1555555555555515
响应支路rho=0,机制,E0_RESPONSE_ONLY − B0_FIXED,2.099404761904765,0.88333333333334
R3连续课程,机制,F1_R3_CONTINUOUS − F0_R3_REFERENCE,0.25059523809522943,0.8674603174603135
R3身份耦合,机制,F2_R3_IDENTITY − F0_R3_REFERENCE,-0.057142857142864045,0.5126984126983984
R3交换,机制,F3_R3_SWAP − F0_R3_REFERENCE,-0.8511904761904816,0.18392857142856656
R3联合辅助损失,R3,R3_REFERENCE − R3_STRUCTURE_CONTROL,1.1238095238095127,0.9454365079365061
R3顺序加速,R3,R3_FAST_SEQUENTIAL − R3_REFERENCE,-0.49761904761905384,-0.2809523809523711
clean跨RX,X/ECRS,X1_CROSS_RX_CLEAN − X0_A1_RUNTIME,0.663095238095238,0.39206349206348534
追加LEO跨RX,X/ECRS,X2_CROSS_RX_VIEWS − X1_CROSS_RX_CLEAN,-0.7125000000000057,-0.3093253968253862
warm EMA,X/ECRS,X3_WARM_EMA − X2_CROSS_RX_VIEWS,0.3136904761904731,0.16190476190476488
coverage KL,X/ECRS,X4_COVERAGE_KL − X2_CROSS_RX_VIEWS,0.009523809523813043,-0.35337301587301795
balanced L,X/ECRS,X5_BALANCED_L − X2_CROSS_RX_VIEWS,-0.17023809523809064,-3.692063492063511
bounded domain,X/ECRS,X6_BOUNDED_DOMAIN − X2_CROSS_RX_VIEWS,0.3113095238095269,-1.111706349206358
combined,X/ECRS,X7_COMBINED − X2_CROSS_RX_VIEWS,-2.422619047619037,-4.108730158730182
runtime优化,V2,F1_RUNTIME − F0_FIXED_BASE,-0.9107142857142918,-0.22202380952380452
warm EMA,V2,F2_WARM_EMA − F1_RUNTIME,-0.07500000000000284,0.1904761904761898
coverage KL,V2,F3_COVERAGE_KL − F1_RUNTIME,-0.03333333333333144,-0.6376984126984127
