candidate,role,group,value,rows,correct,baseline_correct,rescue,harm,accuracy,net_correct,accepted,accepted_errors,coverage,risk
H0,head_only_OOF,all,all,12600,11621,11621,0,0,0.9223015873015873,0,,,,
H0,head_only_OOF,RX,1,2520,2420,2420,0,0,0.9603174603174603,0,,,,
H0,head_only_OOF,RX,3,2520,2178,2178,0,0,0.8642857142857143,0,,,,
H0,head_only_OOF,RX,4,2520,2342,2342,0,0,0.9293650793650794,0,,,,
H0,head_only_OOF,RX,6,2520,2423,2423,0,0,0.9615079365079365,0,,,,
H0,head_only_OOF,RX,8,2520,2258,2258,0,0,0.8960317460317461,0,,,,
H0,head_only_OOF,TX,0,2100,1723,1723,0,0,0.8204761904761905,0,,,,
H0,head_only_OOF,TX,1,2100,1919,1919,0,0,0.9138095238095238,0,,,,
H0,head_only_OOF,TX,2,2100,2044,2044,0,0,0.9733333333333334,0,,,,
H0,head_only_OOF,TX,3,2100,1782,1782,0,0,0.8485714285714285,0,,,,
H0,head_only_OOF,TX,4,2100,2068,2068,0,0,0.9847619047619047,0,,,,
H0,head_only_OOF,TX,5,2100,2085,2085,0,0,0.9928571428571429,0,,,,
H0,head_only_OOF,day,1,4200,3843,3843,0,0,0.915,0,,,,
H0,head_only_OOF,day,2,4200,3889,3889,0,0,0.925952380952381,0,,,,
H0,head_only_OOF,day,3,4200,3889,3889,0,0,0.925952380952381,0,,,,
H0,head_only_OOF,view,clean,6300,6232,6232,0,0,0.9892063492063492,0,,,,
H0,head_only_OOF,view,leo_clear_weak,2100,1822,1822,0,0,0.8676190476190476,0,,,,
H0,head_only_OOF,view,leo_low_elev_weak,2100,1768,1768,0,0,0.8419047619047619,0,,,,
H0,head_only_OOF,view,leo_rain_weak,2100,1799,1799,0,0,0.8566666666666667,0,,,,
A2,head_only_OOF,all,all,12600,11630,11621,50,41,0.9230158730158731,9,,,,
A2,head_only_OOF,RX,1,2520,2425,2420,8,3,0.9623015873015873,5,,,,
A2,head_only_OOF,RX,3,2520,2179,2178,16,15,0.8646825396825397,1,,,,
A2,head_only_OOF,RX,4,2520,2343,2342,3,2,0.9297619047619048,1,,,,
A2,head_only_OOF,RX,6,2520,2421,2423,7,9,0.9607142857142857,-2,,,,
A2,head_only_OOF,RX,8,2520,2262,2258,16,12,0.8976190476190476,4,,,,
A2,head_only_OOF,TX,0,2100,1733,1723,12,2,0.8252380952380952,10,,,,
A2,head_only_OOF,TX,1,2100,1924,1919,16,11,0.9161904761904762,5,,,,
A2,head_only_OOF,TX,2,2100,2044,2044,1,1,0.9733333333333334,0,,,,
A2,head_only_OOF,TX,3,2100,1789,1782,21,14,0.8519047619047619,7,,,,
A2,head_only_OOF,TX,4,2100,2056,2068,0,12,0.979047619047619,-12,,,,
A2,head_only_OOF,TX,5,2100,2084,2085,0,1,0.9923809523809524,-1,,,,
A2,head_only_OOF,day,1,4200,3851,3843,25,17,0.9169047619047619,8,,,,
A2,head_only_OOF,day,2,4200,3895,3889,14,8,0.9273809523809524,6,,,,
A2,head_only_OOF,day,3,4200,3884,3889,11,16,0.9247619047619048,-5,,,,
A2,head_only_OOF,view,clean,6300,6232,6232,4,4,0.9892063492063492,0,,,,
A2,head_only_OOF,view,leo_clear_weak,2100,1832,1822,20,10,0.8723809523809524,10,,,,
A2,head_only_OOF,view,leo_low_elev_weak,2100,1771,1768,15,12,0.8433333333333334,3,,,,
A2,head_only_OOF,view,leo_rain_weak,2100,1795,1799,11,15,0.8547619047619047,-4,,,,
A3,head_only_OOF,all,all,12600,11657,11621,111,75,0.9251587301587302,36,,,,
A3,head_only_OOF,RX,1,2520,2423,2420,13,10,0.9615079365079365,3,,,,
A3,head_only_OOF,RX,3,2520,2198,2178,42,22,0.8722222222222222,20,,,,
A3,head_only_OOF,RX,4,2520,2359,2342,19,2,0.9361111111111111,17,,,,
A3,head_only_OOF,RX,6,2520,2431,2423,13,5,0.9646825396825397,8,,,,
A3,head_only_OOF,RX,8,2520,2246,2258,24,36,0.8912698412698413,-12,,,,
A3,head_only_OOF,TX,0,2100,1796,1723,73,0,0.8552380952380952,73,,,,
A3,head_only_OOF,TX,1,2100,1869,1919,3,53,0.89,-50,,,,
A3,head_only_OOF,TX,2,2100,2041,2044,0,3,0.9719047619047619,-3,,,,
A3,head_only_OOF,TX,3,2100,1805,1782,35,12,0.8595238095238096,23,,,,
A3,head_only_OOF,TX,4,2100,2061,2068,0,7,0.9814285714285714,-7,,,,
A3,head_only_OOF,TX,5,2100,2085,2085,0,0,0.9928571428571429,0,,,,
A3,head_only_OOF,day,1,4200,3867,3843,47,23,0.9207142857142857,24,,,,
A3,head_only_OOF,day,2,4200,3898,3889,31,22,0.9280952380952381,9,,,,
A3,head_only_OOF,day,3,4200,3892,3889,33,30,0.9266666666666666,3,,,,
A3,head_only_OOF,view,clean,6300,6234,6232,4,2,0.9895238095238095,2,,,,
A3,head_only_OOF,view,leo_clear_weak,2100,1836,1822,35,21,0.8742857142857143,14,,,,
A3,head_only_OOF,view,leo_low_elev_weak,2100,1778,1768,36,26,0.8466666666666667,10,,,,
A3,head_only_OOF,view,leo_rain_weak,2100,1809,1799,36,26,0.8614285714285714,10,,,,
A4,head_only_OOF,all,all,12600,11657,11621,111,75,0.9251587301587302,36,,,,
A4,head_only_OOF,RX,1,2520,2423,2420,13,10,0.9615079365079365,3,,,,
A4,head_only_OOF,RX,3,2520,2198,2178,42,22,0.8722222222222222,20,,,,
A4,head_only_OOF,RX,4,2520,2359,2342,19,2,0.9361111111111111,17,,,,
A4,head_only_OOF,RX,6,2520,2431,2423,13,5,0.9646825396825397,8,,,,
A4,head_only_OOF,RX,8,2520,2246,2258,24,36,0.8912698412698413,-12,,,,
A4,head_only_OOF,TX,0,2100,1796,1723,73,0,0.8552380952380952,73,,,,
A4,head_only_OOF,TX,1,2100,1869,1919,3,53,0.89,-50,,,,
A4,head_only_OOF,TX,2,2100,2041,2044,0,3,0.9719047619047619,-3,,,,
A4,head_only_OOF,TX,3,2100,1805,1782,35,12,0.8595238095238096,23,,,,
A4,head_only_OOF,TX,4,2100,2061,2068,0,7,0.9814285714285714,-7,,,,
A4,head_only_OOF,TX,5,2100,2085,2085,0,0,0.9928571428571429,0,,,,
A4,head_only_OOF,day,1,4200,3867,3843,47,23,0.9207142857142857,24,,,,
A4,head_only_OOF,day,2,4200,3898,3889,31,22,0.9280952380952381,9,,,,
A4,head_only_OOF,day,3,4200,3892,3889,33,30,0.9266666666666666,3,,,,
