candidate,scene,group,value,rows,correct,closed_accuracy,accepted,coverage,accepted_correct,accepted_accuracy
A0,clean,all,all,168000,127684,0.7600238095238095,148500,0.8839285714285714,120003,0.8081010101010101
A0,clean,TX,0,28000,25092,0.8961428571428571,26375,0.9419642857142857,24242,0.919127962085308
A0,clean,TX,1,28000,15469,0.5524642857142857,24497,0.8748928571428571,13803,0.5634567498060987
A0,clean,TX,2,28000,16136,0.5762857142857143,19071,0.6811071428571429,13323,0.6985999685386188
A0,clean,TX,3,28000,17923,0.6401071428571429,25963,0.92725,17187,0.6619805107268035
A0,clean,TX,4,28000,27959,0.9985357142857143,27944,0.998,27925,0.9993200687088463
A0,clean,TX,5,28000,25105,0.8966071428571428,24650,0.8803571428571428,23523,0.9542799188640974
A0,clean,RX,0,24000,19550,0.8145833333333333,22004,0.9168333333333333,18729,0.8511634248318487
A0,clean,RX,2,24000,14990,0.6245833333333334,20591,0.8579583333333334,13789,0.6696615025982225
A0,clean,RX,5,24000,20164,0.8401666666666666,21814,0.9089166666666667,19057,0.8736132758778766
A0,clean,RX,7,24000,16928,0.7053333333333334,21619,0.9007916666666667,16153,0.7471668439798326
A0,clean,RX,9,24000,18160,0.7566666666666667,19477,0.8115416666666667,16371,0.840529855727268
A0,clean,RX,10,24000,19155,0.798125,21357,0.889875,17997,0.8426745329400197
A0,clean,RX,11,24000,18737,0.7807083333333333,21638,0.9015833333333333,17907,0.8275718643127831
A0,clean,day,0,42000,31145,0.741547619047619,37446,0.8915714285714286,29483,0.7873471131763072
A0,clean,day,1,42000,33472,0.796952380952381,37938,0.9032857142857142,31564,0.831989034740893
A0,clean,day,2,42000,30255,0.7203571428571428,36310,0.8645238095238095,28269,0.7785458551363261
A0,clean,day,3,42000,32812,0.7812380952380953,36806,0.8763333333333333,30687,0.8337499320762919
A0,clean,RX_TX,0:0,4000,3962,0.9905,3950,0.9875,3932,0.9954430379746836
A0,clean,RX_TX,0:1,4000,1179,0.29475,3691,0.92275,1038,0.281224600379301
A0,clean,RX_TX,0:2,4000,2940,0.735,3003,0.75075,2625,0.8741258741258742
A0,clean,RX_TX,0:3,4000,3806,0.9515,3835,0.95875,3737,0.9744458930899609
A0,clean,RX_TX,0:4,4000,3986,0.9965,3981,0.99525,3977,0.9989952273298166
A0,clean,RX_TX,0:5,4000,3677,0.91925,3544,0.886,3420,0.9650112866817155
A0,clean,RX_TX,2:0,4000,3503,0.87575,3586,0.8965,3281,0.9149470161740101
A0,clean,RX_TX,2:1,4000,2459,0.61475,3420,0.855,2231,0.6523391812865497
A0,clean,RX_TX,2:2,4000,1167,0.29175,2243,0.56075,708,0.3156486847971467
A0,clean,RX_TX,2:3,4000,71,0.01775,3756,0.939,36,0.009584664536741214
A0,clean,RX_TX,2:4,4000,3996,0.999,3997,0.99925,3995,0.9994996247185389
A0,clean,RX_TX,2:5,4000,3794,0.9485,3589,0.89725,3538,0.9857899136249652
A0,clean,RX_TX,5:0,4000,3144,0.786,3566,0.8915,2945,0.8258553000560852
A0,clean,RX_TX,5:1,4000,2555,0.63875,3384,0.846,2221,0.6563238770685579
