run,row,metric,count,finite,nonzero_epochs,first_nonzero,min,max,mean,last
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,concat_sat_ce_weight,200,200,200,1,1.0,1.0,1.0,1.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,concat_sat_start_epoch,200,200,200,1,1.0,1.0,1.0,1.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,group_ce_top_frac,200,200,200,1,0.35,0.35,0.35,0.35
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,joint_guard_paic_cooldown_remaining,200,200,0,,0.0,0.0,0.0,0.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,lambda_cons,200,200,200,1,0.08,0.08,0.08,0.08
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,lambda_group_ce,200,200,200,1,0.16,0.16,0.16,0.16
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,loss_weight_group_ce,200,200,200,1,0.08,0.16,0.14577885253594247,0.16
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,lr,200,200,200,1,1.0000000000000002e-06,0.0002,8.875000000000002e-05,1.0000000000000002e-06
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,nonfinite_test_metric_count,200,200,200,1,1.0,1.0,1.0,1.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,nonfinite_train_metric_count,200,200,200,1,4.0,4.0,4.0,4.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,nonfinite_val_metric_count,200,200,200,1,1.0,1.0,1.0,1.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,phase2_audit_imports_balanced_tx_rx_sampler,200,200,200,1,1.0,1.0,1.0,1.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,stage_group_ce_scale,200,200,200,1,0.5,1.0,0.9111178283496403,1.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,stage_source_val_sat_floor_tx,200,200,200,1,31.144444444444446,92.68518518518519,80.1214074074074,92.64814814814815
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,stage_source_val_sat_mean_tx,200,200,200,1,31.860493827160496,93.41358024691358,81.12755555555556,93.37407407407407
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,stage_tail_rollback_cooldown_remaining,200,200,0,,0.0,0.0,0.0,0.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_a1_ema_effective_decay,200,200,200,1,0.9900000000000023,0.9989999999999969,0.9972399999999989,0.9989999999999969
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_a1_ema_successful_updates,200,200,200,1,110.5,44266.5,22186.853265765767,44266.5
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_concat_sat_active,200,200,200,1,1.0,1.0,1.0,1.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_concat_sat_applied,200,200,200,1,0.23423423423423423,0.8558558558558559,0.6510135135135136,0.8198198198198198
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_concat_sat_clean_batch_size,200,200,200,1,128.0,128.0,128.0,128.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_concat_sat_expanded,200,200,0,,0.0,0.0,0.0,0.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_concat_sat_stage_index,200,200,160,41,0.0,2.0,1.35,2.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_concat_sat_stage_start_epoch,200,200,200,1,1.0,91.0,60.5,91.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_concat_sat_total_batch_size,200,200,200,1,128.0,128.0,128.0,128.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_concat_sat_view_prob,200,200,200,1,0.29999999999999877,0.8000000000000016,0.65,0.8000000000000016
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_daot_batched_view_count,200,200,180,21,0.0,1.0,0.9,1.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_daot_clean_teacher_weight,180,180,180,21,0.49999269171878025,0.5000095470800056,0.49999959976062763,0.49999985112263273
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_daot_consensus_rate,180,180,180,21,0.5377252252252253,0.9418637387387387,0.8577663601101102,0.9383094031531531
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_daot_fingerprint_selectivity,180,180,0,,0.0,0.0,0.0,0.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_daot_fingerprint_sensitivity,180,180,0,,0.0,0.0,0.0,0.0
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,train_daot_grad_ratio_fingerprint,4,4,0,,0.0,0.0,0.0,0.0
