method,class_index,source_clean,source_leo,target_clean,target_leo,clean_domain_gap,source_leo_drop,target_leo_drop,interaction,leo_domain_gap
B0_FIXED,0,98.46666666666667,91.13333333333333,90.39642857142857,72.59880952380952,8.070238095238096,7.333333333333343,17.79761904761905,10.464285714285708,18.534523809523805
B0_FIXED,1,98.33333333333333,89.51111111111112,47.77142857142857,34.069047619047616,50.561904761904756,8.822222222222209,13.702380952380956,4.8801587301587475,55.442063492063504
B0_FIXED,2,99.11111111111111,98.06666666666666,71.45714285714286,61.71071428571429,27.65396825396826,1.0444444444444514,9.746428571428567,8.701984126984115,36.355952380952374
B0_FIXED,3,97.0,84.45925925925926,67.36785714285715,60.48095238095238,29.632142857142853,12.540740740740745,6.886904761904766,-5.653835978835978,23.978306878306874
B0_FIXED,4,98.91111111111111,98.28148148148148,99.54642857142856,94.90238095238095,-0.6353174603174523,0.6296296296296333,4.644047619047612,4.014417989417979,3.3791005291005263
B0_FIXED,5,99.08888888888889,98.8,89.50357142857143,83.22738095238095,9.585317460317455,0.2888888888888914,6.276190476190479,5.987301587301587,15.572619047619042
B1_TAIL_LR,0,98.55555555555556,93.34814814814816,91.93571428571428,74.36190476190477,6.619841269841274,5.207407407407402,17.573809523809516,12.366402116402114,18.986243386243387
B1_TAIL_LR,1,98.31111111111112,92.34074074074074,48.775,38.11666666666667,49.53611111111112,5.970370370370375,10.658333333333331,4.687962962962956,54.224074074074075
B1_TAIL_LR,2,99.04444444444445,97.99259259259259,66.40714285714286,57.75,32.63730158730159,1.0518518518518647,8.657142857142858,7.605291005290994,40.24259259259259
B1_TAIL_LR,3,96.97777777777777,86.74814814814813,66.55357142857142,58.52023809523809,30.424206349206358,10.229629629629642,8.033333333333324,-2.1962962962963175,28.22791005291004
B1_TAIL_LR,4,99.0,98.53333333333335,99.70357142857142,96.97857142857141,-0.7035714285714221,0.46666666666665435,2.7250000000000085,2.258333333333354,1.554761904761932
B1_TAIL_LR,5,99.11111111111111,98.95555555555556,96.14642857142857,85.25714285714287,2.964682539682542,0.15555555555555145,10.889285714285705,10.733730158730154,13.698412698412696
B2_RC4_WEIGHT,0,98.71111111111111,91.3037037037037,92.00714285714285,73.80714285714286,6.703968253968256,7.407407407407405,18.19999999999999,10.792592592592584,17.49656084656084
B2_RC4_WEIGHT,1,98.08888888888889,89.00740740740741,45.30357142857142,33.22380952380953,52.785317460317465,9.081481481481475,12.079761904761895,2.99828042328042,55.783597883597885
B2_RC4_WEIGHT,2,99.08888888888889,97.96296296296298,72.57857142857142,61.94761904761905,26.510317460317466,1.1259259259259125,10.630952380952372,9.50502645502646,36.01534391534393
B2_RC4_WEIGHT,3,97.11111111111111,84.25925925925925,66.79285714285714,59.675000000000004,30.31825396825397,12.851851851851862,7.11785714285714,-5.733994708994722,24.584259259259248
B2_RC4_WEIGHT,4,98.97777777777777,98.17037037037038,99.72857142857143,94.33214285714286,-0.7507936507936535,0.8074074074073962,5.396428571428572,4.589021164021176,3.8382275132275225
B2_RC4_WEIGHT,5,99.06666666666666,98.8,95.74285714285715,84.31666666666668,3.3238095238095156,0.2666666666666657,11.42619047619047,11.159523809523805,14.48333333333332
D0_NO_ORBIT,0,98.88888888888889,85.83703703703704,92.42857142857143,64.61666666666666,6.460317460317455,13.05185185185185,27.81190476190477,14.76005291005292,21.220370370370375
D0_NO_ORBIT,1,98.24444444444444,83.97037037037038,44.80714285714286,30.944047619047613,53.43730158730158,14.274074074074065,13.863095238095244,-0.41097883597882046,53.026322751322766
D0_NO_ORBIT,2,99.31111111111112,97.34814814814816,75.60357142857143,55.78333333333333,23.70753968253969,1.962962962962962,19.820238095238096,17.857275132275134,41.564814814814824
D0_NO_ORBIT,3,97.04444444444445,80.24444444444445,69.38571428571429,59.410714285714285,27.658730158730165,16.799999999999997,9.975000000000001,-6.824999999999996,20.83373015873017
D0_NO_ORBIT,4,98.73333333333333,97.15555555555557,99.74642857142857,88.6047619047619,-1.0130952380952323,1.5777777777777686,11.141666666666666,9.563888888888897,8.550793650793665
D0_NO_ORBIT,5,99.04444444444445,98.35555555555555,84.89285714285715,82.94404761904762,14.151587301587298,0.6888888888888971,1.9488095238095298,1.2599206349206327,15.411507936507931
D1_THREE_VIEW,0,98.6,91.19259259259259,92.45357142857142,75.30714285714286,6.146428571428572,7.407407407407405,17.146428571428558,9.739021164021153,15.885449735449725
D1_THREE_VIEW,1,98.15555555555555,88.25925925925925,46.00714285714286,32.701190476190476,52.14841269841269,9.896296296296299,13.305952380952384,3.409656084656085,55.55806878306878
D1_THREE_VIEW,2,99.06666666666666,98.07407407407408,73.38571428571429,61.976190476190474,25.680952380952377,0.9925925925925867,11.409523809523812,10.416931216931225,36.0978835978836
D1_THREE_VIEW,3,97.2,84.97037037037036,67.00714285714285,59.24880952380952,30.19285714285715,12.229629629629642,7.758333333333333,-4.471296296296309,25.72156084656084
D1_THREE_VIEW,4,98.84444444444445,98.07407407407406,99.65,94.83809523809525,-0.8055555555555571,0.7703703703703866,4.811904761904756,4.04153439153437,3.2359788359788126
D1_THREE_VIEW,5,99.08888888888889,98.82222222222224,96.05714285714285,85.74880952380953,3.0317460317460387,0.2666666666666515,10.308333333333323,10.041666666666671,13.07341269841271
D2_PHYSICAL_ORBIT,0,98.46666666666667,90.16296296296298,91.13214285714287,70.60595238095239,7.334523809523802,8.30370370370369,20.52619047619048,12.22248677248679,19.55701058201059
D2_PHYSICAL_ORBIT,1,98.17777777777778,89.15555555555557,45.98571428571429,34.23809523809524,52.19206349206349,9.022222222222211,11.747619047619047,2.7253968253968353,54.917460317460325
D2_PHYSICAL_ORBIT,2,99.15555555555555,98.15555555555557,71.50357142857143,59.85476190476191,27.651984126984118,0.9999999999999858,11.648809523809526,10.64880952380954,38.30079365079366
D2_PHYSICAL_ORBIT,3,97.11111111111111,84.22962962962963,68.48928571428571,59.832142857142856,28.6218253968254,12.881481481481487,8.657142857142858,-4.224338624338628,24.397486772486772
D2_PHYSICAL_ORBIT,4,99.02222222222223,98.37777777777778,99.59642857142858,94.24761904761904,-0.5742063492063494,0.6444444444444457,5.3488095238095354,4.70436507936509,4.13015873015874
D2_PHYSICAL_ORBIT,5,99.11111111111111,98.86666666666667,91.57499999999999,81.74166666666667,7.536111111111126,0.24444444444444002,9.833333333333314,9.588888888888874,17.125
D3_TANGENT,0,98.53333333333333,91.08148148148149,91.24642857142857,72.16904761904762,7.286904761904765,7.451851851851842,19.07738095238095,11.625529100529107,18.912433862433872
D3_TANGENT,1,98.17777777777778,89.46666666666665,52.23214285714286,35.923809523809524,45.945634920634916,8.711111111111123,16.308333333333337,7.597222222222214,53.54285714285713
D3_TANGENT,2,99.13333333333334,98.1111111111111,68.40357142857142,58.98571428571429,30.729761904761915,1.02222222222224,9.417857142857137,8.395634920634897,39.12539682539681
D3_TANGENT,3,96.95555555555555,84.19259259259259,66.53571428571429,60.232142857142854,30.419841269841257,12.762962962962959,6.303571428571438,-6.459391534391521,23.960449735449735
D3_TANGENT,4,98.88888888888889,98.19259259259259,99.80714285714286,96.20119047619046,-0.9182539682539783,0.6962962962962962,3.6059523809524023,2.909656084656106,1.9914021164021278
