method,epoch,source_clean,source_leo,target_leo,target_class0,target_class1,target_class2,target_class3,target_class4,target_class5
B0_FIXED,80,98.45925925925926,85.74444444444445,61.757738095238096,46.83095238095239,33.46071428571428,53.30714285714286,61.180952380952384,88.41785714285714,87.34880952380952
B0_FIXED,90,98.44444444444444,88.29012345679011,64.80535714285713,63.857142857142854,29.705952380952382,54.85952380952381,59.33690476190477,92.66547619047618,88.40714285714286
B0_FIXED,100,98.42592592592592,89.7679012345679,63.26488095238094,54.839285714285715,31.603571428571428,57.53928571428571,62.917857142857144,93.69285714285714,78.99642857142857
B0_FIXED,110,98.4037037037037,91.41728395061729,66.12876984126984,80.41666666666667,32.40833333333334,58.02142857142857,55.09642857142857,92.90595238095239,77.92380952380952
B0_FIXED,120,98.55185185185185,91.58641975308642,64.58154761904761,60.04047619047619,28.790476190476188,59.25,65.3047619047619,93.43571428571427,80.66785714285714
B0_FIXED,130,98.32962962962964,92.18024691358023,66.34146825396824,69.88571428571429,34.78928571428571,57.58690476190477,58.957142857142856,93.96428571428571,82.86547619047619
B0_FIXED,140,98.41481481481482,92.46172839506171,65.57222222222222,64.38690476190476,35.76428571428571,57.82261904761905,61.035714285714285,93.85357142857141,80.5702380952381
B0_FIXED,150,98.43333333333334,93.08271604938273,66.9904761904762,68.79166666666667,34.550000000000004,60.6702380952381,61.04880952380952,94.85714285714285,82.025
B0_FIXED,160,98.5,93.18641975308641,67.09642857142858,66.36190476190477,33.050000000000004,61.72738095238095,63.247619047619054,94.50238095238096,83.68928571428572
B0_FIXED,170,98.46666666666667,93.30864197530865,67.65436507936508,72.46428571428572,34.03214285714286,61.330952380952375,60.771428571428565,94.6952380952381,82.63214285714287
B0_FIXED,180,98.46666666666667,93.28765432098766,67.62083333333334,70.31904761904762,33.207142857142856,62.554761904761904,61.52857142857143,94.92261904761904,83.19285714285714
B0_FIXED,190,98.46666666666667,93.3604938271605,67.56507936507937,72.34166666666665,34.320238095238096,61.14642857142857,60.404761904761905,94.79880952380954,82.37857142857143
B0_FIXED,200,98.48518518518519,93.37530864197531,67.83154761904761,72.59880952380952,34.069047619047616,61.71071428571429,60.48095238095238,94.90238095238095,83.22738095238095
B1_TAIL_LR,80,98.46296296296296,86.14567901234568,61.8984126984127,48.01547619047619,24.30357142857143,56.791666666666664,65.91547619047618,91.95357142857142,84.41071428571428
B1_TAIL_LR,90,98.28518518518518,89.10617283950619,63.23869047619048,63.7142857142857,32.63809523809524,45.226190476190474,58.074999999999996,94.35119047619047,85.42738095238094
B1_TAIL_LR,100,98.32222222222222,90.78271604938273,63.9265873015873,59.15952380952381,34.00833333333333,59.26190476190476,60.714285714285715,95.96190476190476,74.45357142857142
