method,class_index,scene,source_correct,source_total,source_accuracy,target_accuracy
B0_FIXED,0,clean,4431,4500,98.46666666666667,90.39642857142857
B0_FIXED,0,leo_clear_weak,4205,4500,93.44444444444444,73.17857142857143
B0_FIXED,0,leo_low_elev_weak,4067,4500,90.37777777777778,71.74285714285715
B0_FIXED,0,leo_rain_weak,4031,4500,89.57777777777778,72.875
B0_FIXED,1,clean,4425,4500,98.33333333333333,47.77142857142857
B0_FIXED,1,leo_clear_weak,4125,4500,91.66666666666667,34.75
B0_FIXED,1,leo_low_elev_weak,3970,4500,88.22222222222223,33.542857142857144
B0_FIXED,1,leo_rain_weak,3989,4500,88.64444444444445,33.91428571428571
B0_FIXED,2,clean,4460,4500,99.11111111111111,71.45714285714286
B0_FIXED,2,leo_clear_weak,4430,4500,98.44444444444444,63.660714285714285
B0_FIXED,2,leo_low_elev_weak,4396,4500,97.68888888888888,60.503571428571426
B0_FIXED,2,leo_rain_weak,4413,4500,98.06666666666666,60.96785714285714
B0_FIXED,3,clean,4365,4500,97.0,67.36785714285715
B0_FIXED,3,leo_clear_weak,3929,4500,87.31111111111112,63.29642857142858
B0_FIXED,3,leo_low_elev_weak,3740,4500,83.11111111111111,59.78214285714286
B0_FIXED,3,leo_rain_weak,3733,4500,82.95555555555555,58.364285714285714
B0_FIXED,4,clean,4451,4500,98.91111111111111,99.54642857142856
B0_FIXED,4,leo_clear_weak,4445,4500,98.77777777777777,96.10357142857143
B0_FIXED,4,leo_low_elev_weak,4418,4500,98.17777777777778,94.44285714285714
B0_FIXED,4,leo_rain_weak,4405,4500,97.88888888888889,94.16071428571429
B0_FIXED,5,clean,4459,4500,99.08888888888889,89.50357142857143
B0_FIXED,5,leo_clear_weak,4456,4500,99.02222222222223,81.88214285714285
B0_FIXED,5,leo_low_elev_weak,4433,4500,98.5111111111111,83.51428571428572
B0_FIXED,5,leo_rain_weak,4449,4500,98.86666666666666,84.28571428571429
B1_TAIL_LR,0,clean,4435,4500,98.55555555555556,91.93571428571428
B1_TAIL_LR,0,leo_clear_weak,4288,4500,95.28888888888889,74.86071428571428
B1_TAIL_LR,0,leo_low_elev_weak,4169,4500,92.64444444444445,73.56428571428572
B1_TAIL_LR,0,leo_rain_weak,4145,4500,92.11111111111111,74.66071428571428
B1_TAIL_LR,1,clean,4424,4500,98.31111111111112,48.775
B1_TAIL_LR,1,leo_clear_weak,4220,4500,93.77777777777777,38.625
B1_TAIL_LR,1,leo_low_elev_weak,4111,4500,91.35555555555555,37.25357142857143
B1_TAIL_LR,1,leo_rain_weak,4135,4500,91.88888888888889,38.471428571428575
B1_TAIL_LR,2,clean,4457,4500,99.04444444444445,66.40714285714286
B1_TAIL_LR,2,leo_clear_weak,4430,4500,98.44444444444444,59.88214285714286
B1_TAIL_LR,2,leo_low_elev_weak,4402,4500,97.82222222222222,56.574999999999996
B1_TAIL_LR,2,leo_rain_weak,4397,4500,97.71111111111111,56.792857142857144
B1_TAIL_LR,3,clean,4364,4500,96.97777777777777,66.55357142857142
B1_TAIL_LR,3,leo_clear_weak,3996,4500,88.8,60.98214285714286
B1_TAIL_LR,3,leo_low_elev_weak,3874,4500,86.08888888888889,57.878571428571426
B1_TAIL_LR,3,leo_rain_weak,3841,4500,85.35555555555555,56.699999999999996
B1_TAIL_LR,4,clean,4455,4500,99.0,99.70357142857142
B1_TAIL_LR,4,leo_clear_weak,4447,4500,98.82222222222222,98.09285714285714
B1_TAIL_LR,4,leo_low_elev_weak,4426,4500,98.35555555555555,96.44285714285714
B1_TAIL_LR,4,leo_rain_weak,4429,4500,98.42222222222222,96.39999999999999
B1_TAIL_LR,5,clean,4460,4500,99.11111111111111,96.14642857142857
B1_TAIL_LR,5,leo_clear_weak,4460,4500,99.11111111111111,84.43928571428572
B1_TAIL_LR,5,leo_low_elev_weak,4444,4500,98.75555555555556,84.99285714285715
B1_TAIL_LR,5,leo_rain_weak,4455,4500,99.0,86.33928571428572
B2_RC4_WEIGHT,0,clean,4442,4500,98.71111111111111,92.00714285714285
B2_RC4_WEIGHT,0,leo_clear_weak,4210,4500,93.55555555555556,74.30357142857143
B2_RC4_WEIGHT,0,leo_low_elev_weak,4083,4500,90.73333333333333,72.95714285714286
B2_RC4_WEIGHT,0,leo_rain_weak,4033,4500,89.62222222222222,74.16071428571429
B2_RC4_WEIGHT,1,clean,4414,4500,98.08888888888889,45.30357142857142
B2_RC4_WEIGHT,1,leo_clear_weak,4107,4500,91.26666666666667,33.792857142857144
B2_RC4_WEIGHT,1,leo_low_elev_weak,3958,4500,87.95555555555555,32.653571428571425
B2_RC4_WEIGHT,1,leo_rain_weak,3951,4500,87.8,33.225
B2_RC4_WEIGHT,2,clean,4459,4500,99.08888888888889,72.57857142857142
B2_RC4_WEIGHT,2,leo_clear_weak,4430,4500,98.44444444444444,64.40357142857142
B2_RC4_WEIGHT,2,leo_low_elev_weak,4397,4500,97.71111111111111,60.43928571428572
B2_RC4_WEIGHT,2,leo_rain_weak,4398,4500,97.73333333333333,61.0
B2_RC4_WEIGHT,3,clean,4370,4500,97.11111111111111,66.79285714285714
B2_RC4_WEIGHT,3,leo_clear_weak,3910,4500,86.88888888888889,62.38928571428571
B2_RC4_WEIGHT,3,leo_low_elev_weak,3745,4500,83.22222222222223,59.18928571428571
B2_RC4_WEIGHT,3,leo_rain_weak,3720,4500,82.66666666666667,57.44642857142858
B2_RC4_WEIGHT,4,clean,4454,4500,98.97777777777777,99.72857142857143
B2_RC4_WEIGHT,4,leo_clear_weak,4439,4500,98.64444444444445,95.88214285714287
B2_RC4_WEIGHT,4,leo_low_elev_weak,4410,4500,98.0,93.66428571428571
B2_RC4_WEIGHT,4,leo_rain_weak,4404,4500,97.86666666666666,93.45
B2_RC4_WEIGHT,5,clean,4458,4500,99.06666666666666,95.74285714285715
B2_RC4_WEIGHT,5,leo_clear_weak,4456,4500,99.02222222222223,83.1
B2_RC4_WEIGHT,5,leo_low_elev_weak,4431,4500,98.46666666666667,84.61785714285715
B2_RC4_WEIGHT,5,leo_rain_weak,4451,4500,98.91111111111111,85.23214285714286
