row,scene,class_index,correct,total,accuracy_pct
B1_TAIL_LR,clean,0,4435,4500,98.55555555555556
B1_TAIL_LR,clean,1,4424,4500,98.31111111111112
B1_TAIL_LR,clean,2,4457,4500,99.04444444444445
B1_TAIL_LR,clean,3,4364,4500,96.97777777777777
B1_TAIL_LR,clean,4,4455,4500,99.0
B1_TAIL_LR,clean,5,4460,4500,99.11111111111111
B1_TAIL_LR,leo_clear_weak,0,4288,4500,95.28888888888889
B1_TAIL_LR,leo_clear_weak,1,4220,4500,93.77777777777777
B1_TAIL_LR,leo_clear_weak,2,4430,4500,98.44444444444444
B1_TAIL_LR,leo_clear_weak,3,3996,4500,88.8
B1_TAIL_LR,leo_clear_weak,4,4447,4500,98.82222222222222
B1_TAIL_LR,leo_clear_weak,5,4460,4500,99.11111111111111
B1_TAIL_LR,leo_low_elev_weak,0,4169,4500,92.64444444444445
B1_TAIL_LR,leo_low_elev_weak,1,4111,4500,91.35555555555555
B1_TAIL_LR,leo_low_elev_weak,2,4402,4500,97.82222222222222
B1_TAIL_LR,leo_low_elev_weak,3,3874,4500,86.08888888888889
B1_TAIL_LR,leo_low_elev_weak,4,4426,4500,98.35555555555555
B1_TAIL_LR,leo_low_elev_weak,5,4444,4500,98.75555555555556
B1_TAIL_LR,leo_rain_weak,0,4145,4500,92.11111111111111
B1_TAIL_LR,leo_rain_weak,1,4135,4500,91.88888888888889
B1_TAIL_LR,leo_rain_weak,2,4397,4500,97.71111111111111
B1_TAIL_LR,leo_rain_weak,3,3841,4500,85.35555555555555
B1_TAIL_LR,leo_rain_weak,4,4429,4500,98.42222222222222
B1_TAIL_LR,leo_rain_weak,5,4455,4500,99.0
