row,hours,parameters,peak_allocated_mib,peak_reserved_mib,epochs_parsed,stdout_lines,fatal_markers,nonfinite_loss_max,gradient_skip_epochs,mean_gradient_skip_percent
X0_A1_RUNTIME,14.616294537848896,1130809,2818.19677734375,3026.0,200,9020,[],0.0,21,0.05180180180180181
X1_CROSS_RX_CLEAN,12.273815231323242,1130809,2836.58056640625,3702.0,200,9020,[],0.0,19,0.04504504504504504
X2_CROSS_RX_VIEWS,11.861913597914908,1130809,2834.26416015625,2922.0,200,9020,[],0.0,17,0.0472972972972973
X3_WARM_EMA,11.856156370573574,1130809,2842.34033203125,3022.0,200,9020,[],0.0,20,0.0472972972972973
X4_COVERAGE_KL,16.8566218198008,1130809,2827.08740234375,4330.0,200,9020,[],0.0,19,0.0472972972972973
X5_BALANCED_L,10.499454331994057,1130809,2745.0419921875,2976.0,200,9021,[],0.0,19,0.04504504504504504
X6_BOUNDED_DOMAIN,16.82073209994369,1130809,2833.88623046875,3044.0,200,9020,[],0.0,20,0.0472972972972973
X7_COMBINED,10.691420422063933,1130809,2826.61181640625,2928.0,200,9021,[],0.0,19,0.04504504504504504
A1_REFERENCE,12.6298305035962,1130809,2874.751953125,3638.0,200,9020,[],0.0,33,0.11261261261261261
A1_FAST_SEQUENTIAL,12.233701516853438,1130809,2785.501953125,2978.0,200,9020,[],0.0,19,0.04954954954954955
F0_FIXED_BASE,18.061490184134907,1130809,2749.1591796875,3650.0,200,9020,[],0.0,19,0.0472972972972973
F1_RUNTIME,15.053945851723354,1130809,2827.0576171875,3720.0,200,9020,[],0.0,18,0.04504504504504504
F2_WARM_EMA,16.796871523393524,1130809,2824.24609375,2934.0,200,9020,[],0.0,18,0.04279279279279279
F3_COVERAGE_KL,15.275197673108842,1130809,2822.85546875,5140.0,200,9020,[],0.0,20,0.0472972972972973
R3_STRUCTURE_CONTROL,14.554040637347434,1142978,3363.521484375,3440.0,200,9020,[],0.0,20,0.0472972972972973
R3_REFERENCE,13.915984204543962,1142978,3355.521484375,3498.0,200,9020,[],0.0,21,0.04954954954954955
R3_FAST_SEQUENTIAL,13.80184159523911,1142978,3255.83740234375,3360.0,200,9020,[],0.0,19,0.0472972972972973
