row_id,scenario,class_id,tx_label,correct,total,accuracy_percent
A_POINT_S392005,clean,0,14-10,26197,28000,93.56071428571428
A_POINT_S392005,clean,1,14-7,15155,28000,54.125
A_POINT_S392005,clean,2,20-15,21864,28000,78.08571428571429
A_POINT_S392005,clean,3,20-19,21338,28000,76.20714285714286
A_POINT_S392005,clean,4,6-15,27941,28000,99.78928571428571
A_POINT_S392005,clean,5,8-20,26029,28000,92.96071428571429
A_POINT_S392005,leo_clear_weak,0,14-10,8113,9472,85.65244932432432
A_POINT_S392005,leo_clear_weak,1,14-7,3530,9398,37.56118323047457
A_POINT_S392005,leo_clear_weak,2,20-15,6427,9391,68.43786604195506
A_POINT_S392005,leo_clear_weak,3,20-19,6092,9370,65.01600853788688
A_POINT_S392005,leo_clear_weak,4,6-15,9088,9300,97.72043010752688
A_POINT_S392005,leo_clear_weak,5,8-20,7855,9233,85.07527347557674
A_POINT_S392005,leo_low_elev_weak,0,14-10,7733,9287,83.26693227091633
A_POINT_S392005,leo_low_elev_weak,1,14-7,3510,9329,37.62461142673384
A_POINT_S392005,leo_low_elev_weak,2,20-15,6219,9321,66.7203089797232
A_POINT_S392005,leo_low_elev_weak,3,20-19,5868,9278,63.24638930804053
A_POINT_S392005,leo_low_elev_weak,4,6-15,9064,9420,96.2208067940552
A_POINT_S392005,leo_low_elev_weak,5,8-20,7993,9460,84.49260042283298
A_POINT_S392005,leo_rain_weak,0,14-10,7776,9241,84.14673736608592
A_POINT_S392005,leo_rain_weak,1,14-7,3586,9273,38.67141162514828
A_POINT_S392005,leo_rain_weak,2,20-15,6222,9288,66.98966408268734
A_POINT_S392005,leo_rain_weak,3,20-19,5818,9352,62.211291702309666
A_POINT_S392005,leo_rain_weak,4,6-15,8916,9280,96.07758620689656
A_POINT_S392005,leo_rain_weak,5,8-20,7825,9307,84.07650155796712
ASYMMETRIC_S392005,clean,0,14-10,26127,28000,93.31071428571428
ASYMMETRIC_S392005,clean,1,14-7,14851,28000,53.03928571428571
ASYMMETRIC_S392005,clean,2,20-15,22288,28000,79.6
ASYMMETRIC_S392005,clean,3,20-19,21543,28000,76.93928571428572
ASYMMETRIC_S392005,clean,4,6-15,27941,28000,99.78928571428571
ASYMMETRIC_S392005,clean,5,8-20,26434,28000,94.40714285714286
ASYMMETRIC_S392005,leo_clear_weak,0,14-10,8095,9472,85.46241554054055
ASYMMETRIC_S392005,leo_clear_weak,1,14-7,3475,9398,36.975952330283036
ASYMMETRIC_S392005,leo_clear_weak,2,20-15,6339,9391,67.50079863699287
ASYMMETRIC_S392005,leo_clear_weak,3,20-19,6157,9370,65.70971184631803
ASYMMETRIC_S392005,leo_clear_weak,4,6-15,9080,9300,97.63440860215054
ASYMMETRIC_S392005,leo_clear_weak,5,8-20,7928,9233,85.86591573703022
ASYMMETRIC_S392005,leo_low_elev_weak,0,14-10,7729,9287,83.22386131151072
ASYMMETRIC_S392005,leo_low_elev_weak,1,14-7,3490,9329,37.41022617643906
ASYMMETRIC_S392005,leo_low_elev_weak,2,20-15,6122,9321,65.67964810642636
ASYMMETRIC_S392005,leo_low_elev_weak,3,20-19,5915,9278,63.75296400086226
ASYMMETRIC_S392005,leo_low_elev_weak,4,6-15,9053,9420,96.104033970276
ASYMMETRIC_S392005,leo_low_elev_weak,5,8-20,8093,9460,85.54968287526427
ASYMMETRIC_S392005,leo_rain_weak,0,14-10,7749,9241,83.8545611946759
ASYMMETRIC_S392005,leo_rain_weak,1,14-7,3551,9273,38.29397174592904
ASYMMETRIC_S392005,leo_rain_weak,2,20-15,6120,9288,65.89147286821705
ASYMMETRIC_S392005,leo_rain_weak,3,20-19,5874,9352,62.81009409751925
ASYMMETRIC_S392005,leo_rain_weak,4,6-15,8930,9280,96.22844827586206
ASYMMETRIC_S392005,leo_rain_weak,5,8-20,7908,9307,84.96830342752767
POINT_MEMORY_S392005,clean,0,14-10,26034,28000,92.97857142857143
POINT_MEMORY_S392005,clean,1,14-7,15115,28000,53.982142857142854
POINT_MEMORY_S392005,clean,2,20-15,22523,28000,80.43928571428572
POINT_MEMORY_S392005,clean,3,20-19,21761,28000,77.71785714285714
POINT_MEMORY_S392005,clean,4,6-15,27942,28000,99.79285714285714
POINT_MEMORY_S392005,clean,5,8-20,26577,28000,94.91785714285714
POINT_MEMORY_S392005,leo_clear_weak,0,14-10,8071,9472,85.20903716216216
POINT_MEMORY_S392005,leo_clear_weak,1,14-7,3503,9398,37.27388806128964
POINT_MEMORY_S392005,leo_clear_weak,2,20-15,6515,9391,69.37493344691727
POINT_MEMORY_S392005,leo_clear_weak,3,20-19,6136,9370,65.48559231590181
POINT_MEMORY_S392005,leo_clear_weak,4,6-15,9068,9300,97.50537634408602
POINT_MEMORY_S392005,leo_clear_weak,5,8-20,7935,9233,85.94173074840246
POINT_MEMORY_S392005,leo_low_elev_weak,0,14-10,7687,9287,82.7716162377517
POINT_MEMORY_S392005,leo_low_elev_weak,1,14-7,3532,9329,37.8604352020581
POINT_MEMORY_S392005,leo_low_elev_weak,2,20-15,6308,9321,67.6751421521296
POINT_MEMORY_S392005,leo_low_elev_weak,3,20-19,5895,9278,63.53740030178918
POINT_MEMORY_S392005,leo_low_elev_weak,4,6-15,9058,9420,96.15711252653928
POINT_MEMORY_S392005,leo_low_elev_weak,5,8-20,8086,9460,85.47568710359408
POINT_MEMORY_S392005,leo_rain_weak,0,14-10,7732,9241,83.6705984200844
POINT_MEMORY_S392005,leo_rain_weak,1,14-7,3601,9273,38.833171573385094
POINT_MEMORY_S392005,leo_rain_weak,2,20-15,6307,9288,67.90482342807924
POINT_MEMORY_S392005,leo_rain_weak,3,20-19,5853,9352,62.58554319931565
POINT_MEMORY_S392005,leo_rain_weak,4,6-15,8934,9280,96.27155172413794
POINT_MEMORY_S392005,leo_rain_weak,5,8-20,7900,9307,84.88234662082304
MATCHED_ZERO_S392005,clean,0,14-10,26196,28000,93.55714285714286
MATCHED_ZERO_S392005,clean,1,14-7,13952,28000,49.82857142857143
MATCHED_ZERO_S392005,clean,2,20-15,22577,28000,80.63214285714285
MATCHED_ZERO_S392005,clean,3,20-19,21841,28000,78.00357142857143
MATCHED_ZERO_S392005,clean,4,6-15,27945,28000,99.80357142857143
MATCHED_ZERO_S392005,clean,5,8-20,26183,28000,93.51071428571429
MATCHED_ZERO_S392005,leo_clear_weak,0,14-10,8081,9472,85.31461148648648
MATCHED_ZERO_S392005,leo_clear_weak,1,14-7,3481,9398,37.03979570121302
MATCHED_ZERO_S392005,leo_clear_weak,2,20-15,6613,9391,70.41848578426152
MATCHED_ZERO_S392005,leo_clear_weak,3,20-19,6125,9370,65.36819637139808
MATCHED_ZERO_S392005,leo_clear_weak,4,6-15,9031,9300,97.10752688172043
MATCHED_ZERO_S392005,leo_clear_weak,5,8-20,7898,9233,85.54099425972056
MATCHED_ZERO_S392005,leo_low_elev_weak,0,14-10,7724,9287,83.17002261225369
MATCHED_ZERO_S392005,leo_low_elev_weak,1,14-7,3454,9329,37.02433272590846
MATCHED_ZERO_S392005,leo_low_elev_weak,2,20-15,6346,9321,68.0828237313593
MATCHED_ZERO_S392005,leo_low_elev_weak,3,20-19,5891,9278,63.494287561974566
MATCHED_ZERO_S392005,leo_low_elev_weak,4,6-15,9003,9420,95.5732484076433
MATCHED_ZERO_S392005,leo_low_elev_weak,5,8-20,8036,9460,84.94714587737843
MATCHED_ZERO_S392005,leo_rain_weak,0,14-10,7761,9241,83.98441727085813
MATCHED_ZERO_S392005,leo_rain_weak,1,14-7,3533,9273,38.09985980804486
MATCHED_ZERO_S392005,leo_rain_weak,2,20-15,6365,9288,68.52928509905254
