cell_id,method,receiver,seed,new_class_count,k_shot,trainable_parameters,persistent_state_bytes,optimizer_steps_total,adaptation_wall_seconds_total,peak_cuda_memory_bytes,support_backbone_forward_samples,query_backbone_forward_samples,query_view_count
rx_20_1__seed_713101__new_5__csil__k_1,csil,20-1,713101,5,1,16512,66048,60,0.995854358188808,172651008,33,660,1
rx_20_1__seed_713101__new_5__csil__k_5,csil,20-1,713101,5,5,16512,66048,60,0.8847639109008014,172736512,165,660,1
rx_20_1__seed_713101__new_5__csil__k_10,csil,20-1,713101,5,10,16512,66048,60,1.0857791160233319,172845568,330,660,1
rx_20_1__seed_713101__new_5__csil__k_20,csil,20-1,713101,5,20,16512,66048,60,0.8718142034485936,173061632,660,660,1
rx_20_1__seed_713101__new_5__mopc_hr__k_1,mopc_hr,20-1,713101,5,1,20480,87552,60,1.182995568960905,172651008,33,660,1
rx_20_1__seed_713101__new_5__mopc_hr__k_5,mopc_hr,20-1,713101,5,5,20480,87552,60,1.0865073869936168,172736512,165,660,1
rx_20_1__seed_713101__new_5__mopc_hr__k_10,mopc_hr,20-1,713101,5,10,20480,87552,60,1.1111079552210867,172845568,330,660,1
rx_20_1__seed_713101__new_5__mopc_hr__k_20,mopc_hr,20-1,713101,5,20,20480,87552,60,1.0757399802096188,173061632,660,660,1
rx_20_1__seed_713101__new_5__orthogonal_incremental__k_1,orthogonal_incremental,20-1,713101,5,1,21120,87552,60,1.4084593430161476,172651008,33,660,1
rx_20_1__seed_713101__new_5__orthogonal_incremental__k_5,orthogonal_incremental,20-1,713101,5,5,21120,87552,60,2.6641770945861936,172736512,165,660,1
rx_20_1__seed_713101__new_5__orthogonal_incremental__k_10,orthogonal_incremental,20-1,713101,5,10,21120,87552,60,3.7881388743408024,172845568,330,660,1
rx_20_1__seed_713101__new_5__orthogonal_incremental__k_20,orthogonal_incremental,20-1,713101,5,20,21120,87552,60,6.429179839789867,173061632,660,660,1
rx_20_1__seed_713101__new_10__csil__k_1,csil,20-1,713101,10,1,16992,67968,60,0.8223101976327598,172802560,48,960,1
rx_20_1__seed_713101__new_10__csil__k_5,csil,20-1,713101,10,5,16992,67968,60,0.8940643696114421,172928512,240,960,1
rx_20_1__seed_713101__new_10__csil__k_10,csil,20-1,713101,10,10,16992,67968,60,1.001865437719971,173085696,480,960,1
rx_20_1__seed_713101__new_10__csil__k_20,csil,20-1,713101,10,20,16992,67968,60,0.885959095787257,173399552,960,960,1
rx_20_1__seed_713101__new_10__mopc_hr__k_1,mopc_hr,20-1,713101,10,1,20480,90112,60,1.1041153809055686,172802560,48,960,1
rx_20_1__seed_713101__new_10__mopc_hr__k_5,mopc_hr,20-1,713101,10,5,20480,90112,60,1.1805626736022532,172928512,240,960,1
rx_20_1__seed_713101__new_10__mopc_hr__k_10,mopc_hr,20-1,713101,10,10,20480,90112,60,1.1333889574743807,173085696,480,960,1
rx_20_1__seed_713101__new_10__mopc_hr__k_20,mopc_hr,20-1,713101,10,20,20480,90112,60,1.374525748193264,173399552,960,960,1
rx_20_1__seed_713101__new_10__orthogonal_incremental__k_1,orthogonal_incremental,20-1,713101,10,1,21760,90112,60,1.9847028092481196,172802560,48,960,1
rx_20_1__seed_713101__new_10__orthogonal_incremental__k_5,orthogonal_incremental,20-1,713101,10,5,21760,90112,60,3.241088859271258,172928512,240,960,1
rx_20_1__seed_713101__new_10__orthogonal_incremental__k_10,orthogonal_incremental,20-1,713101,10,10,21760,90112,60,4.837573701981455,173085696,480,960,1
rx_20_1__seed_713101__new_10__orthogonal_incremental__k_20,orthogonal_incremental,20-1,713101,10,20,21760,90112,60,7.936721513047814,173399552,960,960,1
rx_20_1__seed_713101__new_20__csil__k_1,csil,20-1,713101,20,1,17952,71808,60,0.9021712187677622,173136384,78,1560,1
rx_20_1__seed_713101__new_20__csil__k_5,csil,20-1,713101,20,5,17952,71808,60,0.8609969420358539,173341696,390,1560,1
rx_20_1__seed_713101__new_20__csil__k_10,csil,20-1,713101,20,10,17952,71808,60,1.241239430848509,173596672,780,1560,1
rx_20_1__seed_713101__new_20__csil__k_20,csil,20-1,713101,20,20,17952,71808,60,1.11397783504799,174108672,1560,1560,1
rx_20_1__seed_713101__new_20__mopc_hr__k_1,mopc_hr,20-1,713101,20,1,20480,95232,60,1.0956963528878987,173136384,78,1560,1
rx_20_1__seed_713101__new_20__mopc_hr__k_5,mopc_hr,20-1,713101,20,5,20480,95232,60,1.349205031991005,173341696,390,1560,1
rx_20_1__seed_713101__new_20__mopc_hr__k_10,mopc_hr,20-1,713101,20,10,20480,95232,60,1.5015031597577035,173596672,780,1560,1
rx_20_1__seed_713101__new_20__mopc_hr__k_20,mopc_hr,20-1,713101,20,20,20480,95232,60,1.3606142099015415,174108672,1560,1560,1
rx_20_1__seed_713101__new_20__orthogonal_incremental__k_1,orthogonal_incremental,20-1,713101,20,1,23040,95232,60,2.0743323755450547,173136384,78,1560,1
rx_20_1__seed_713101__new_20__orthogonal_incremental__k_5,orthogonal_incremental,20-1,713101,20,5,23040,95232,60,4.235286926385015,173341696,390,1560,1
rx_20_1__seed_713101__new_20__orthogonal_incremental__k_10,orthogonal_incremental,20-1,713101,20,10,23040,95232,60,6.674834070727229,173596672,780,1560,1
rx_20_1__seed_713101__new_20__orthogonal_incremental__k_20,orthogonal_incremental,20-1,713101,20,20,23040,95232,60,11.176636893767864,174108672,1560,1560,1
rx_20_1__seed_713102__new_5__csil__k_1,csil,20-1,713102,5,1,16512,66048,60,0.8546004234813154,172651008,33,660,1
rx_20_1__seed_713102__new_5__csil__k_5,csil,20-1,713102,5,5,16512,66048,60,1.0411254484206438,172736512,165,660,1
rx_20_1__seed_713102__new_5__csil__k_10,csil,20-1,713102,5,10,16512,66048,60,1.27592485351488,172845568,330,660,1
rx_20_1__seed_713102__new_5__csil__k_20,csil,20-1,713102,5,20,16512,66048,60,0.9530389332212508,173061632,660,660,1
rx_20_1__seed_713102__new_5__mopc_hr__k_1,mopc_hr,20-1,713102,5,1,20480,87552,60,1.1510694441385567,172651008,33,660,1
rx_20_1__seed_713102__new_5__mopc_hr__k_5,mopc_hr,20-1,713102,5,5,20480,87552,60,1.212659539654851,172736512,165,660,1
rx_20_1__seed_713102__new_5__mopc_hr__k_10,mopc_hr,20-1,713102,5,10,20480,87552,60,1.18943887995556,172845568,330,660,1
rx_20_1__seed_713102__new_5__mopc_hr__k_20,mopc_hr,20-1,713102,5,20,20480,87552,60,1.1172094992361963,173061632,660,660,1
rx_20_1__seed_713102__new_5__orthogonal_incremental__k_1,orthogonal_incremental,20-1,713102,5,1,21120,87552,60,1.4828812195919454,172651008,33,660,1
rx_20_1__seed_713102__new_5__orthogonal_incremental__k_5,orthogonal_incremental,20-1,713102,5,5,21120,87552,60,2.428891381714493,172736512,165,660,1
rx_20_1__seed_713102__new_5__orthogonal_incremental__k_10,orthogonal_incremental,20-1,713102,5,10,21120,87552,60,3.7258987594395876,172845568,330,660,1
rx_20_1__seed_713102__new_5__orthogonal_incremental__k_20,orthogonal_incremental,20-1,713102,5,20,21120,87552,60,6.6240148060023785,173061632,660,660,1
rx_20_1__seed_713102__new_10__csil__k_1,csil,20-1,713102,10,1,16992,67968,60,0.8952588471584022,172802560,48,960,1
rx_20_1__seed_713102__new_10__csil__k_5,csil,20-1,713102,10,5,16992,67968,60,1.0900790737941861,172928512,240,960,1
rx_20_1__seed_713102__new_10__csil__k_10,csil,20-1,713102,10,10,16992,67968,60,1.060079475864768,173085696,480,960,1
rx_20_1__seed_713102__new_10__csil__k_20,csil,20-1,713102,10,20,16992,67968,60,1.000600020866841,173399552,960,960,1
rx_20_1__seed_713102__new_10__mopc_hr__k_1,mopc_hr,20-1,713102,10,1,20480,90112,60,1.1195773188956082,172802560,48,960,1
rx_20_1__seed_713102__new_10__mopc_hr__k_5,mopc_hr,20-1,713102,10,5,20480,90112,60,1.1597778745926917,172928512,240,960,1
rx_20_1__seed_713102__new_10__mopc_hr__k_10,mopc_hr,20-1,713102,10,10,20480,90112,60,1.3028689650818706,173085696,480,960,1
rx_20_1__seed_713102__new_10__mopc_hr__k_20,mopc_hr,20-1,713102,10,20,20480,90112,60,1.242348702158779,173399552,960,960,1
rx_20_1__seed_713102__new_10__orthogonal_incremental__k_1,orthogonal_incremental,20-1,713102,10,1,21760,90112,60,1.6007418599911034,172802560,48,960,1
rx_20_1__seed_713102__new_10__orthogonal_incremental__k_5,orthogonal_incremental,20-1,713102,10,5,21760,90112,60,2.949764132499695,172928512,240,960,1
rx_20_1__seed_713102__new_10__orthogonal_incremental__k_10,orthogonal_incremental,20-1,713102,10,10,21760,90112,60,4.622698531951755,173085696,480,960,1
rx_20_1__seed_713102__new_10__orthogonal_incremental__k_20,orthogonal_incremental,20-1,713102,10,20,21760,90112,60,7.678031329996884,173399552,960,960,1
