method,k_shot,scenario_rows,cells,old_acc_before_increment_mean,old_acc_before_increment_std,old_acc_after_increment_mean,old_acc_after_increment_std,seen_new_acc_mean,seen_new_acc_std,H_old_new_mean,H_old_new_std,candidate_average_forgetting_mean,candidate_average_forgetting_std,direct_adv3b02_old_acc_mean,direct_adv3b02_old_acc_std,identity_old_acc_after_increment_mean,identity_old_acc_after_increment_std,old_after_minus_direct_adv3b02_mean,old_after_minus_direct_adv3b02_std,old_after_minus_identity_mean,old_after_minus_identity_std,min_old_class_acc_mean,min_old_class_acc_std
csil,1,225,75,0.7107777777777778,0.17202913907637282,0.5764814814814815,0.18724850531708986,0.15926666666666667,0.13556226941479288,0.21142871377741945,0.13439885536495322,0.1342962962962963,0.09112973311651645,0.7717777777777778,0.11982930246143912,0.46396296296296297,0.16664380913218782,-0.1952962962962963,0.11495747409577209,0.11251851851851852,0.14006639617009076,0.16133333333333333,0.2274359494695399
csil,5,225,75,0.7816666666666666,0.13143791662197757,0.6947037037037037,0.1606488728770076,0.15963333333333335,0.14537328961447263,0.22164280808691111,0.1604107813553715,0.08696296296296296,0.0808315493418172,0.7717777777777778,0.11982930246143912,0.5482222222222222,0.1493315972121303,-0.07707407407407409,0.09414341276665372,0.1464814814814815,0.11584750631236249,0.35466666666666663,0.24420028210011915
csil,10,225,75,0.7994444444444444,0.12123846515070523,0.7123333333333334,0.15490753912903124,0.1624111111111111,0.15294731441792078,0.22303942402981924,0.16576897369227345,0.08711111111111111,0.084040995287353,0.7717777777777778,0.11982930246143912,0.5708518518518518,0.15100920674337046,-0.059444444444444446,0.0916683501528913,0.14148148148148149,0.11422969183435033,0.3913333333333333,0.2527238281866855
csil,20,225,75,0.8083333333333333,0.11158786606012255,0.7184444444444444,0.1480842269507625,0.17106666666666667,0.15788225570553097,0.233223656943227,0.17024505449716254,0.0898888888888889,0.08261497786661469,0.7717777777777778,0.11982930246143912,0.5864814814814815,0.14517644531516957,-0.05333333333333334,0.08487463521985648,0.13196296296296295,0.10651742388558245,0.40511111111111114,0.2517637536547328
mopc_hr,1,225,75,0.7297777777777777,0.16737169399458585,0.39155555555555555,0.15077675427475426,0.28688888888888886,0.12068917326425713,0.31614557315810593,0.10725175340218672,0.3382222222222222,0.15531584705263984,0.7717777777777778,0.11982930246143912,0.46396296296296297,0.16664380913218782,-0.3802222222222222,0.14042114785683849,-0.0724074074074074,0.0948849566941921,0.03711111111111111,0.07881404900769694
mopc_hr,5,225,75,0.7937777777777778,0.13054085023565196,0.4285555555555555,0.12514564354689073,0.3704777777777778,0.13908438507912924,0.3832947472599012,0.10964194623253627,0.3652222222222222,0.13911785571154328,0.7717777777777778,0.11982930246143912,0.5482222222222222,0.1493315972121303,-0.3432222222222222,0.14516078782160027,-0.11966666666666667,0.13302260088300413,0.02688888888888889,0.05415296122906432
mopc_hr,10,225,75,0.8142222222222222,0.11115365852039749,0.4302962962962963,0.12261315705330679,0.38556666666666667,0.14118205740579548,0.39284971481944947,0.10995958773810738,0.38392592592592595,0.12915783986832277,0.7717777777777778,0.11982930246143912,0.5708518518518518,0.15100920674337046,-0.34148148148148144,0.14256348909344416,-0.14055555555555554,0.13696669866507655,0.015333333333333334,0.03159465496286076
mopc_hr,20,225,75,0.8185555555555556,0.10589629215113258,0.45625925925925925,0.11710244304604639,0.40353333333333335,0.14282337188134006,0.41628110431535487,0.10964905139811758,0.3622962962962963,0.114320477027364,0.7717777777777778,0.11982930246143912,0.5864814814814815,0.14517644531516957,-0.3155185185185185,0.13038254362358417,-0.13022222222222224,0.12077762445048021,0.01577777777777778,0.03779999346789414
orthogonal_incremental,1,225,75,0.42966666666666664,0.15244655003404947,0.07833333333333334,0.09021921177243518,0.3757222222222222,0.16392039245233764,0.11214416233305692,0.12036007322052956,0.35133333333333333,0.15211699525994318,0.7717777777777778,0.11982930246143912,0.46396296296296297,0.16664380913218782,-0.6934444444444444,0.14036741910314876,-0.3856296296296296,0.1589558090965594,0.0,0.0
orthogonal_incremental,5,225,75,0.47107407407407403,0.1477297982076184,0.03359259259259259,0.06092593718338295,0.47353333333333336,0.17550186450418254,0.0536057115954252,0.09135555490065381,0.43748148148148147,0.16628497858047467,0.7717777777777778,0.11982930246143912,0.5482222222222222,0.1493315972121303,-0.7381851851851852,0.13972716899669121,-0.5146296296296297,0.16128683477798902,0.0,0.0
orthogonal_incremental,10,225,75,0.47351851851851856,0.14691360618321173,0.023555555555555555,0.04710849049315006,0.5037444444444444,0.17831481593027235,0.03934989189397324,0.07598095399030735,0.44996296296296295,0.1542834848257787,0.7717777777777778,0.11982930246143912,0.5708518518518518,0.15100920674337046,-0.7482222222222222,0.13507629302831642,-0.5472962962962963,0.16248391711063565,0.0,0.0
orthogonal_incremental,20,225,75,0.45192592592592595,0.1478424902402518,0.019703703703703706,0.04426392351062187,0.5213222222222222,0.1756867526643042,0.03306783068334496,0.07230169731743467,0.43222222222222223,0.15290802528818057,0.7717777777777778,0.11982930246143912,0.5864814814814815,0.14517644531516957,-0.7520740740740741,0.1301969806573517,-0.5667777777777778,0.1512713203012356,0.0,0.0
