method,receiver,scenario_rows,cells,old_acc_before_increment_mean,old_acc_before_increment_std,old_acc_after_increment_mean,old_acc_after_increment_std,seen_new_acc_mean,seen_new_acc_std,H_old_new_mean,H_old_new_std,candidate_average_forgetting_mean,candidate_average_forgetting_std,direct_adv3b02_old_acc_mean,direct_adv3b02_old_acc_std,identity_old_acc_after_increment_mean,identity_old_acc_after_increment_std,old_after_minus_direct_adv3b02_mean,old_after_minus_direct_adv3b02_std,old_after_minus_identity_mean,old_after_minus_identity_std,min_old_class_acc_mean,min_old_class_acc_std
csil,20-1,180,60,0.7401388888888889,0.08946201949486031,0.6139814814814815,0.12764986216751453,0.18805555555555556,0.17103414123833816,0.23673927434238615,0.16357088413680657,0.1261574074074074,0.09636832909487288,0.7116666666666667,0.03724294613798748,0.49736111111111114,0.10573987926937138,-0.09768518518518518,0.12919819076353448,0.11662037037037037,0.11843728227193324,0.29444444444444445,0.2339805837676428
csil,3-19,180,60,0.5661111111111111,0.09110772351425876,0.4596759259259259,0.1127728648659268,0.13802777777777778,0.1154050803116067,0.17994762607325135,0.11996328629414683,0.10643518518518519,0.06495980806034844,0.6022222222222222,0.04548775442324159,0.33166666666666667,0.0813485869120822,-0.1425462962962963,0.10542571408335957,0.12800925925925927,0.10557662029906191,0.18305555555555558,0.13886083049914968
csil,7-14,180,60,0.9381944444444444,0.03565821767355066,0.8531944444444444,0.09787587802926725,0.1381111111111111,0.1313922832542514,0.20903903334059265,0.16043913413222957,0.085,0.09260629528237228,0.9427777777777777,0.03203971301176936,0.7191203703703704,0.10116488657832834,-0.08958333333333332,0.09051837597354964,0.13407407407407407,0.13186485578820423,0.5394444444444444,0.3241651194859774
csil,7-7,180,60,0.8072222222222223,0.05514011333653052,0.731111111111111,0.10002545972197574,0.1366666666666667,0.11536987619536278,0.20618794045593952,0.137372746651107,0.0761111111111111,0.06870944370551248,0.8222222222222222,0.039518709430619414,0.6107407407407408,0.10401095357532703,-0.09111111111111113,0.09614723149137884,0.12037037037037038,0.11823098802552763,0.2916666666666667,0.20313514931908977
csil,8-8,180,60,0.8236111111111111,0.06612919920620786,0.7194907407407407,0.1210268689204421,0.2146111111111111,0.1775611831607125,0.27975437933455144,0.18472298188425093,0.10412037037037038,0.0979004014158966,0.78,0.03918143929445656,0.5530092592592593,0.08549855554736507,-0.06050925925925926,0.12282478954434156,0.16648148148148148,0.1204958747422665,0.33194444444444443,0.24035644184378016
mopc_hr,20-1,180,60,0.763611111111111,0.07818790677228864,0.41379629629629633,0.09870817688425536,0.3944722222222222,0.16825265989495797,0.3847888172890625,0.11014743483627071,0.3498148148148148,0.09173379509884735,0.7116666666666667,0.03724294613798748,0.49736111111111114,0.10573987926937138,-0.2978703703703704,0.10670471768579887,-0.08356481481481481,0.08855593264399166,0.044444444444444446,0.05649210586171627
mopc_hr,3-19,180,60,0.58625,0.09347738139963771,0.3044444444444444,0.09211757784564327,0.2607083333333333,0.10196720435458102,0.27394359597069934,0.09003447643805872,0.2818055555555556,0.10014832749477148,0.6022222222222222,0.04548775442324159,0.33166666666666667,0.0813485869120822,-0.2977777777777778,0.09504141397501602,-0.027222222222222224,0.050258590568438406,0.03416666666666667,0.043612880360431754
mopc_hr,7-14,180,60,0.944861111111111,0.035128456949520576,0.4468518518518519,0.14662392989399206,0.3975972222222222,0.1555220518235117,0.3951577970849033,0.11105224341657215,0.49800925925925926,0.15668085999755924,0.9427777777777777,0.03203971301176936,0.7191203703703704,0.10116488657832834,-0.49592592592592594,0.15569311598424446,-0.2722685185185185,0.1460404100055712,0.013888888888888888,0.06709354074630838
mopc_hr,7-7,180,60,0.8161111111111111,0.057269398029115716,0.4875925925925926,0.12114579297279315,0.3436666666666667,0.08940909411861364,0.39585854631967266,0.09006296552750576,0.32851851851851854,0.11695056580559864,0.8222222222222222,0.039518709430619414,0.6107407407407408,0.10401095357532703,-0.3346296296296296,0.12180744716072758,-0.12314814814814816,0.08246096886078609,0.021666666666666667,0.06125991983163036
mopc_hr,8-8,180,60,0.8345833333333333,0.06209731386210589,0.48064814814814816,0.10021449047672155,0.4116388888888889,0.12854914814052376,0.43596516777667654,0.10460950151078684,0.3539351851851852,0.09959962502546192,0.78,0.03918143929445656,0.5530092592592593,0.08549855554736507,-0.29935185185185187,0.1066842272710568,-0.07236111111111111,0.0681969902217733,0.004722222222222223,0.022789631062187413
