"method","new_class_count","k_shot","old_class_id","n_scenario_rows","old_class_acc_mean","old_class_acc_min","old_class_acc_max"
"csil_official_repo_corefix_cvs_adapter","1","1","14-10","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","1","14-7","75","0.0006666666666666668","0","0.05"
"csil_official_repo_corefix_cvs_adapter","1","1","20-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","1","20-19","75","0.0006666666666666668","0","0.05"
"csil_official_repo_corefix_cvs_adapter","1","1","6-15","75","0.016","0","1"
"csil_official_repo_corefix_cvs_adapter","1","1","8-20","75","0.007333333333333334","0","0.55"
"csil_official_repo_corefix_cvs_adapter","1","5","14-10","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","5","14-7","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","5","20-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","5","20-19","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","5","6-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","5","8-20","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","10","14-10","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","10","14-7","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","10","20-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","10","20-19","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","10","6-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","10","8-20","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","20","14-10","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","20","14-7","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","20","20-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","20","20-19","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","20","6-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","1","20","8-20","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","1","14-10","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","1","14-7","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","1","20-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","1","20-19","75","0.0006666666666666668","0","0.05"
"csil_official_repo_corefix_cvs_adapter","3","1","6-15","75","0.12","0","1"
"csil_official_repo_corefix_cvs_adapter","3","1","8-20","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","5","14-10","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","5","14-7","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","5","20-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","5","20-19","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","5","6-15","75","0.028666666666666667","0","1"
"csil_official_repo_corefix_cvs_adapter","3","5","8-20","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","10","14-10","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","10","14-7","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","10","20-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","10","20-19","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","10","6-15","75","0.005999999999999999","0","0.35"
"csil_official_repo_corefix_cvs_adapter","3","10","8-20","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","20","14-10","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","20","14-7","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","20","20-15","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","20","20-19","75","0","0","0"
"csil_official_repo_corefix_cvs_adapter","3","20","6-15","75","0.01","0","0.5"
"csil_official_repo_corefix_cvs_adapter","3","20","8-20","75","0","0","0"
"mopc_hr_official_repo_cvs_adapter","25","1","14-10","75","0.9173333333333334","0.55","1"
"mopc_hr_official_repo_cvs_adapter","25","1","14-7","75","0.6859999999999999","0.15","1"
"mopc_hr_official_repo_cvs_adapter","25","1","20-15","75","0.7493333333333335","0.1","1"
"mopc_hr_official_repo_cvs_adapter","25","1","20-19","75","0.9240000000000002","0.6","1"
"mopc_hr_official_repo_cvs_adapter","25","1","6-15","75","0.9219999999999999","0","1"
"mopc_hr_official_repo_cvs_adapter","25","1","8-20","75","0.9273333333333335","0.5","1"
