cell_id,method,new_class_count,k_shot,receiver,seed,scenario,baseline_method,comparison_relation,old_acc_before_increment,baseline_old_acc_before_increment,delta_old_acc_before_increment,old_acc_after_increment,baseline_old_acc_after_increment,delta_old_acc_after_increment,seen_new_acc,baseline_seen_new_acc,delta_seen_new_acc,H_old_new,baseline_H_old_new,delta_H_old_new,candidate_average_forgetting,baseline_candidate_average_forgetting,delta_candidate_average_forgetting,min_old_class_acc,baseline_min_old_class_acc,delta_min_old_class_acc
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,1,1,20-1,713101,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,1,1,20-1,713101,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_1,csil_official_repo_corefix_cvs_adapter,1,1,20-1,713101,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,1,10,20-1,713101,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,1,10,20-1,713101,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_10,csil_official_repo_corefix_cvs_adapter,1,10,20-1,713101,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,1,20,20-1,713101,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,1,20,20-1,713101,leo_low_elev_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_20,csil_official_repo_corefix_cvs_adapter,1,20,20-1,713101,leo_rain_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
rx_20_1__seed_713101__new_1__csil_official_repo_corefix_cvs_adapter__k_5,csil_official_repo_corefix_cvs_adapter,1,5,20-1,713101,leo_clear_weak,csil_official_repo,strict_same_cell,0.825,0.825,0.0,0.0,0.825,-0.825,1.0,0.0,1.0,0.0,0.0,0.0,0.825,0.0,0.825,0.0,0.55,-0.55
