method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario_count,cell_receipt_sha256,old_acc_before_increment_mean_3scenarios,old_acc_after_increment_mean_3scenarios,seen_new_acc_mean_3scenarios,H_old_new_mean_3scenarios,candidate_average_forgetting_mean_3scenarios,min_old_class_acc_mean_3scenarios,direct_adv3b02_old_acc_mean_3scenarios,identity_old_acc_after_increment_mean_3scenarios
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_1,20-1,713101,1,1,3,ec37df6a59df2ace5d95bc5e449e104eb69758e18c0a9486dd8497802ee956af,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.55,0.8000000000000002,0.7388888888888889
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_5,20-1,713101,1,5,3,353378f20d91affe17ba02e152c514d80392f85d2b0da85c13dea1ff771a2e9c,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.55,0.8000000000000002,0.9305555555555557
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_10,20-1,713101,1,10,3,d791244e06cf6170519e8f5e098123eca2362980f732c9c4709b02669858450f,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.55,0.8000000000000002,0.9222222222222222
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_20,20-1,713101,1,20,3,aa88cad34bcc1fca186d85cf7f69a2d349b7bd8b82ab8026aaae31109bfeb7d0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.55,0.8000000000000002,0.9361111111111112
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_1,20-1,713101,3,1,3,c790639f9763c8aaf47b8c7d076d98096e6dbb4d32f15039e9c22f84dfa1523c,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.55,0.8000000000000002,0.7027777777777778
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_5,20-1,713101,3,5,3,8a51edec1ed114735c720c6831c3b59c8964f3221bafcb31d7f7907e6edbca04,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.55,0.8000000000000002,0.9111111111111111
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_10,20-1,713101,3,10,3,5f70c43fb20c1e3fb09afeecdf3b4b580fe319eab72b9a5c3ae13b8e9768c29f,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.55,0.8000000000000002,0.9
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,20-1,713101,3,20,3,2a59335d62a536bfee319334eaa0b8538bde0ca8782744c20537aa91390e8d40,0.8249999999999998,0.0,0.3333333333333333,0.0,0.8249999999999998,0.0,0.8000000000000002,0.9138888888888889
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,20-1,713101,20,1,3,054952ca234b539deed5cce6cbd4fbead23ee676084bf8305a160de61a04a3a1,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.55,0.8000000000000002,0.6111111111111112
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,20-1,713101,20,5,3,5cfbac04afe77d71068f105758337f7a8d5de320efd46c6c22a878e19b8cc2f7,0.8249999999999998,0.0,0.05666666666666667,0.0,0.8249999999999998,0.0,0.8000000000000002,0.8222222222222223
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,20-1,713101,20,10,3,09453cb99c6bd7d8bbf191858e63799c42435ac586c7a3283ed92d1121afdfdf,0.8249999999999998,0.41944444444444445,0.04,0.06814775841125455,0.4055555555555555,0.0,0.8000000000000002,0.8583333333333334
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,20-1,713101,20,20,3,796d1a27da608bbac8995402d43fd96cd2a7701cda8dbe660cf0be8a44789c8d,0.8249999999999998,0.5138888888888888,0.04666666666666667,0.08527042073335493,0.31111111111111106,0.0,0.8000000000000002,0.8722222222222222
