method_label,method,new_class_count,k_shot,cells,scenario_rows,old_acc_before_increment_mean,old_acc_before_increment_pstdev,old_acc_after_increment_mean,old_acc_after_increment_pstdev,seen_new_acc_mean,seen_new_acc_pstdev,H_old_new_mean,H_old_new_pstdev,candidate_average_forgetting_mean,candidate_average_forgetting_pstdev,min_old_class_acc_mean,min_old_class_acc_pstdev,direct_adv3b02_old_acc_mean,direct_adv3b02_old_acc_pstdev,identity_old_acc_after_increment_mean,identity_old_acc_after_increment_pstdev
CSIL,csil_official_repo,1,1,25,75,0.837,0.09003332716277901,0.837,0.09003332716277901,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.2750708999512671,0.8236666666666667,0.09657121724406295,0.8435555555555555,0.11690906036343689
CSIL,csil_official_repo,1,5,25,75,0.837,0.09003332716277901,0.837,0.09003332716277901,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.2750708999512671,0.8236666666666667,0.09657121724406295,0.907888888888889,0.06352155267561545
CSIL,csil_official_repo,1,10,25,75,0.837,0.09003332716277901,0.837,0.09003332716277901,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.2750708999512671,0.8236666666666667,0.09657121724406295,0.9187777777777778,0.05614289528834459
CSIL,csil_official_repo,1,20,25,75,0.837,0.09003332716277901,0.837,0.09003332716277901,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.2750708999512671,0.8236666666666667,0.09657121724406295,0.9186666666666667,0.05589076648049996
CSIL,csil_official_repo,3,1,25,75,0.837,0.09003332716277901,0.837,0.09003332716277901,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.2750708999512671,0.8236666666666667,0.09657121724406295,0.8214444444444444,0.12290596626368419
CSIL,csil_official_repo,3,5,25,75,0.837,0.09003332716277901,0.837,0.09003332716277901,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.2750708999512671,0.8236666666666667,0.09657121724406295,0.8984444444444445,0.07095503705834151
CSIL,csil_official_repo,3,10,25,75,0.837,0.09003332716277901,0.837,0.09003332716277901,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.2750708999512671,0.8236666666666667,0.09657121724406295,0.9086666666666667,0.06029925372672534
CSIL,csil_official_repo,3,20,25,75,0.837,0.09003332716277901,0.0007777777777777778,0.005801234436536272,0.34044444444444444,0.03357394639513219,0.0013762224578767527,0.01012177879082648,0.8362222222222222,0.08992273775543147,0.0,0.0,0.8236666666666667,0.09657121724406295,0.9076666666666667,0.05900031387236035
CSIL,csil_official_repo,20,1,25,75,0.837,0.09003332716277901,0.837,0.09003332716277901,0.0,0.0,0.0,0.0,0.0,0.0,0.49399999999999994,0.2750708999512671,0.8236666666666667,0.09657121724406295,0.7232222222222222,0.15861841781185376
CSIL,csil_official_repo,20,5,25,75,0.837,0.09003332716277901,0.007777777777777778,0.02868517920761241,0.05173333333333334,0.005114901975817545,0.005372652274625959,0.017442205915844024,0.8292222222222223,0.08843676683594365,0.0,0.0,0.8236666666666667,0.09657121724406295,0.8478888888888889,0.09383884267754866
CSIL,csil_official_repo,20,10,25,75,0.837,0.09003332716277901,0.08333333333333333,0.14355925347834342,0.05486666666666667,0.01045540795739485,0.03170400560982239,0.03958463144421727,0.7536666666666666,0.15139010193193927,0.0,0.0,0.8236666666666667,0.09657121724406295,0.8701111111111112,0.0884547732662305
CSIL,csil_official_repo,20,20,25,75,0.837,0.09003332716277901,0.5984444444444444,0.2379258106175635,0.056400000000000006,0.019227757712917716,0.0995861716988899,0.031990394475429215,0.23855555555555555,0.20158985375212332,0.15666666666666668,0.2756003547812585,0.8236666666666667,0.09657121724406295,0.8834444444444446,0.06984762958057125
MoPC-HR,mopc_hr_official_repo,1,1,25,75,0.8746666666666666,0.06344201201797503,0.8746666666666666,0.06344201201797503,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.2521904042583698,0.8866666666666667,0.05816642788871716,0.8693333333333334,0.09693602319361257
MoPC-HR,mopc_hr_official_repo,1,5,25,75,0.8746666666666666,0.06344201201797503,0.8746666666666666,0.06344201201797503,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.2521904042583698,0.8866666666666667,0.05816642788871716,0.9115555555555555,0.055090722034848924
MoPC-HR,mopc_hr_official_repo,1,10,25,75,0.8746666666666666,0.06344201201797503,0.8746666666666666,0.06344201201797503,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.2521904042583698,0.8866666666666667,0.05816642788871716,0.911,0.05499427579639876
MoPC-HR,mopc_hr_official_repo,1,20,25,75,0.8746666666666666,0.06344201201797503,0.6075555555555556,0.18996672873082635,0.9653333333333334,0.05031456603763522,0.7269295017353359,0.1442574918965938,0.2671111111111111,0.1408433154472474,0.12733333333333335,0.2596527595762378,0.8866666666666667,0.05816642788871716,0.9096666666666666,0.05521070749612092
MoPC-HR,mopc_hr_official_repo,3,1,25,75,0.8746666666666666,0.06344201201797503,0.8746666666666666,0.06344201201797503,0.0002222222222222222,0.0019116278371205837,0.0004357298474945534,0.003748289876707027,0.0,0.0,0.52,0.2521904042583698,0.8866666666666667,0.05816642788871716,0.8495555555555556,0.1083537872428857
MoPC-HR,mopc_hr_official_repo,3,5,25,75,0.8746666666666666,0.06344201201797503,0.8746666666666666,0.06344201201797503,0.0002222222222222222,0.0019116278371205837,0.0004357298474945534,0.003748289876707027,0.0,0.0,0.52,0.2521904042583698,0.8866666666666667,0.05816642788871716,0.905,0.05945742329755962
MoPC-HR,mopc_hr_official_repo,3,10,25,75,0.8746666666666666,0.06344201201797503,0.6677777777777778,0.14072782591816846,0.504,0.11078307131005571,0.5678149344595347,0.11022978665730092,0.2068888888888889,0.09847328396230619,0.10333333333333333,0.214993539954628,0.8866666666666667,0.05816642788871716,0.9065555555555554,0.05952424550104886
MoPC-HR,mopc_hr_official_repo,3,20,25,75,0.8746666666666666,0.06344201201797503,0.4895555555555556,0.13488742448408828,0.7146666666666667,0.12036856978710261,0.5723100597021227,0.12313572067116822,0.3851111111111111,0.09507592807207003,0.0013333333333333335,0.008055363982396382,0.8866666666666667,0.05816642788871716,0.9064444444444445,0.05758364822768593
MoPC-HR,mopc_hr_official_repo,5,1,25,75,0.8746666666666666,0.06344201201797503,0.8746666666666666,0.06344201201797503,0.00013333333333333334,0.0011469767022723502,0.00026350461133069827,0.0022667523760323124,0.0,0.0,0.52,0.2521904042583698,0.8866666666666667,0.05816642788871716,0.8306666666666667,0.11490060116530351
MoPC-HR,mopc_hr_official_repo,5,5,25,75,0.8746666666666666,0.06344201201797503,0.7744444444444445,0.11340139568457645,0.25653333333333334,0.07358429784192337,0.3796614370320547,0.08836787516853778,0.10022222222222223,0.09087000618846329,0.31133333333333335,0.2753874038917216,0.8866666666666667,0.05816642788871716,0.8926666666666667,0.06320103140274191
MoPC-HR,mopc_hr_official_repo,5,10,25,75,0.8746666666666666,0.06344201201797503,0.47377777777777774,0.13022554034452954,0.5052,0.10420953251342539,0.4805435243332015,0.10184922678221228,0.4008888888888889,0.10272737502850403,0.007333333333333334,0.029089898972361906,0.8866666666666667,0.05816642788871716,0.8961111111111111,0.0592754607482184
MoPC-HR,mopc_hr_official_repo,5,20,25,75,0.8746666666666666,0.06344201201797503,0.3327777777777778,0.14671926666214136,0.6130666666666666,0.11546974591737103,0.4108967856204646,0.14135527316528956,0.5418888888888889,0.11696765407053966,0.0006666666666666668,0.005734883511361751,0.8866666666666667,0.05816642788871716,0.8958888888888888,0.05741940137550189
