method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario_count,prediction_sha256,no_leo_old_acc_before_increment_mean_3scenarios,leo_old_acc_before_increment_mean_3scenarios,delta_old_acc_before_increment_mean_3scenarios,no_leo_old_acc_after_increment_mean_3scenarios,leo_old_acc_after_increment_mean_3scenarios,delta_old_acc_after_increment_mean_3scenarios,no_leo_seen_new_acc_mean_3scenarios,leo_seen_new_acc_mean_3scenarios,delta_seen_new_acc_mean_3scenarios,no_leo_H_old_new_mean_3scenarios,leo_H_old_new_mean_3scenarios,delta_H_old_new_mean_3scenarios,no_leo_candidate_average_forgetting_mean_3scenarios,leo_candidate_average_forgetting_mean_3scenarios,delta_candidate_average_forgetting_mean_3scenarios,no_leo_min_old_class_acc_mean_3scenarios,leo_min_old_class_acc_mean_3scenarios,delta_min_old_class_acc_mean_3scenarios
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_1,20-1,713101,1,1,3,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_5,20-1,713101,1,5,3,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_10,20-1,713101,1,10,3,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_20,20-1,713101,1,20,3,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_1,20-1,713101,3,1,3,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_5,20-1,713101,3,5,3,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_10,20-1,713101,3,10,3,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,20-1,713101,3,20,3,57bcffdcfef65c4f2317166395452a07608ced3552d3f0a62368afb07d123824,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.6277777777777778,0.3333333333333333,0.2944444444444445,0.0,0.0,0.0,0.8250000000000001,0.8249999999999998,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,20-1,713101,20,1,3,6b536e4ed57ff0706537db0107723efc0414b518cd51b11242b706fdde8063a9,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,20-1,713101,20,5,3,7fbcac94b7238a668b58549f5c4f6010776d4806f1a336dfc7cb41439fe1c0b3,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.07166666666666667,0.05666666666666667,0.014999999999999994,0.0,0.0,0.0,0.8250000000000001,0.8249999999999998,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,20-1,713101,20,10,3,1249c81619ca1c83e37ab940a0fa91ce18dc97f8904ab5454d9940b0181dde7b,0.8249999999999998,0.8249999999999998,0.0,0.2611111111111111,0.41944444444444445,-0.1583333333333333,0.105,0.04,0.06499999999999999,0.07104045996453238,0.06814775841125455,0.0028927015532778286,0.563888888888889,0.4055555555555555,0.15833333333333338,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,20-1,713101,20,20,3,da93a6924f5f58a937db4a804e1ccdf1bfe65c6494a1dbe018a37efc41414a4c,0.8249999999999998,0.8249999999999998,0.0,0.5444444444444444,0.5138888888888888,0.030555555555555558,0.030833333333333334,0.04666666666666667,-0.015833333333333335,0.057284050680277095,0.08527042073335493,-0.02798637005307783,0.2805555555555556,0.31111111111111106,-0.030555555555555475,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_1,20-1,713102,1,1,3,494564ca57dd8c25e4149783a88a0fdb21f85defa869c3370396b03cfb2407a9,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_5,20-1,713102,1,5,3,494564ca57dd8c25e4149783a88a0fdb21f85defa869c3370396b03cfb2407a9,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_10,20-1,713102,1,10,3,494564ca57dd8c25e4149783a88a0fdb21f85defa869c3370396b03cfb2407a9,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_1__csil_official_repo__k_20,20-1,713102,1,20,3,494564ca57dd8c25e4149783a88a0fdb21f85defa869c3370396b03cfb2407a9,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_1,20-1,713102,3,1,3,5770c494f239e1897d94ee3c5c86856b9c617d89523097412b578c27c9a77a78,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_5,20-1,713102,3,5,3,5770c494f239e1897d94ee3c5c86856b9c617d89523097412b578c27c9a77a78,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_10,20-1,713102,3,10,3,5770c494f239e1897d94ee3c5c86856b9c617d89523097412b578c27c9a77a78,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_3__csil_official_repo__k_20,20-1,713102,3,20,3,45d36793e2eadda8ebacc01c00c2c562d4adc3bd784bdeb054b05fb056b9e94d,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.35555555555555557,0.3333333333333333,0.022222222222222237,0.0,0.0,0.0,0.8250000000000001,0.8249999999999998,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_1,20-1,713102,20,1,3,417f8032562fdd66e3b3e1698ae7157b989ae2be40016780e45b749eb14e2578,0.8249999999999998,0.8249999999999998,0.0,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_5,20-1,713102,20,5,3,1516cfadd823d015f41cffc9b041b131500ad029c3e65a7525cc5821e4e37579,0.8249999999999998,0.8249999999999998,0.0,0.0,0.0,0.0,0.043333333333333335,0.055,-0.011666666666666665,0.0,0.0,0.0,0.8250000000000001,0.8249999999999998,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713102__new_20__csil_official_repo__k_10,20-1,713102,20,10,3,6b688650aaf4cbcf99ab5cefb9b30771e9474ee5e4fc2ddc16bd80980a717a32,0.8249999999999998,0.8249999999999998,0.0,0.325,0.05555555555555555,0.26944444444444443,0.07916666666666666,0.06,0.019166666666666665,0.11054104698878058,0.028500619578686492,0.08204042741009408,0.5,0.7694444444444444,-0.2694444444444444,0.0,0.0,0.0
