method_label,method,cell_id,receiver,seed,new_class_count,k_shot,H_old_new,candidate_average_forgetting,min_old_class_acc,new_class_channel_policy,old_acc_after_increment,old_acc_before_increment,old_class_acc_after,old_class_acc_before,old_class_channel_policy,prediction_artifact_sha256,query_count,receiver_label,row_id,scenario,seen_new_acc,status,target_new_query_count,target_old_query_count
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_1,20-1,713101,1,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_1,leo_clear_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_1,20-1,713101,1,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_1,leo_low_elev_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_1,20-1,713101,1,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_1,leo_rain_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_5,20-1,713101,1,5,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_5,leo_clear_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_5,20-1,713101,1,5,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_5,leo_low_elev_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_5,20-1,713101,1,5,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_5,leo_rain_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_10,20-1,713101,1,10,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_10,leo_clear_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_10,20-1,713101,1,10,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_10,leo_low_elev_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_10,20-1,713101,1,10,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_10,leo_rain_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_20,20-1,713101,1,20,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_20,leo_clear_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_20,20-1,713101,1,20,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_20,leo_low_elev_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_1__csil_official_repo__k_20,20-1,713101,1,20,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,c99a787ac99d56bc0186b2105d3a8a75bf2642c3eb3d2a2791e0222ac9f5b817,140,20-1,rx_20_1__seed_713101__new_1__csil_official_repo__k_20,leo_rain_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,20,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_1,20-1,713101,3,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_1,leo_clear_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_1,20-1,713101,3,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_1,leo_low_elev_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_1,20-1,713101,3,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_1,leo_rain_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_5,20-1,713101,3,5,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_5,leo_clear_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_5,20-1,713101,3,5,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_5,leo_low_elev_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_5,20-1,713101,3,5,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_5,leo_rain_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_10,20-1,713101,3,10,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_10,leo_clear_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_10,20-1,713101,3,10,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_10,leo_low_elev_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_10,20-1,713101,3,10,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,e1213d427189d49618e3ab48eaa321402e5fc20d38e03981a030244f02bc70e5,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_10,leo_rain_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,20-1,713101,3,20,0.0,0.8250000000000001,0.0,matched_raw_no_leo,0.0,0.825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,57bcffdcfef65c4f2317166395452a07608ced3552d3f0a62368afb07d123824,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,leo_clear_weak,0.65,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,20-1,713101,3,20,0.0,0.8250000000000001,0.0,matched_raw_no_leo,0.0,0.825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,57bcffdcfef65c4f2317166395452a07608ced3552d3f0a62368afb07d123824,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,leo_low_elev_weak,0.5833333333333334,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,20-1,713101,3,20,0.0,0.8250000000000001,0.0,matched_raw_no_leo,0.0,0.825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,57bcffdcfef65c4f2317166395452a07608ced3552d3f0a62368afb07d123824,180,20-1,rx_20_1__seed_713101__new_3__csil_official_repo__k_20,leo_rain_weak,0.65,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,60,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,20-1,713101,20,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,6b536e4ed57ff0706537db0107723efc0414b518cd51b11242b706fdde8063a9,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,leo_clear_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,20-1,713101,20,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,6b536e4ed57ff0706537db0107723efc0414b518cd51b11242b706fdde8063a9,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,leo_low_elev_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,20-1,713101,20,1,0.0,0.0,0.55,matched_raw_no_leo,0.825,0.825,"[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,6b536e4ed57ff0706537db0107723efc0414b518cd51b11242b706fdde8063a9,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_1,leo_rain_weak,0.0,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,20-1,713101,20,5,0.0,0.8250000000000001,0.0,matched_raw_no_leo,0.0,0.825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,7fbcac94b7238a668b58549f5c4f6010776d4806f1a336dfc7cb41439fe1c0b3,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,leo_clear_weak,0.0775,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,20-1,713101,20,5,0.0,0.8250000000000001,0.0,matched_raw_no_leo,0.0,0.825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,7fbcac94b7238a668b58549f5c4f6010776d4806f1a336dfc7cb41439fe1c0b3,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,leo_low_elev_weak,0.06,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,20-1,713101,20,5,0.0,0.8250000000000001,0.0,matched_raw_no_leo,0.0,0.825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,7fbcac94b7238a668b58549f5c4f6010776d4806f1a336dfc7cb41439fe1c0b3,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_5,leo_rain_weak,0.0775,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,20-1,713101,20,10,0.0,0.8250000000000001,0.0,matched_raw_no_leo,0.0,0.825,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,1249c81619ca1c83e37ab940a0fa91ce18dc97f8904ab5454d9940b0181dde7b,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,leo_clear_weak,0.175,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,20-1,713101,20,10,0.17015655577299413,0.5166666666666666,0.0,matched_raw_no_leo,0.30833333333333335,0.825,"[0.85, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,1249c81619ca1c83e37ab940a0fa91ce18dc97f8904ab5454d9940b0181dde7b,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,leo_low_elev_weak,0.1175,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,20-1,713101,20,10,0.04296482412060301,0.3500000000000001,0.0,matched_raw_no_leo,0.475,0.825,"[1.0, 0.0, 0.0, 0.85, 1.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,1249c81619ca1c83e37ab940a0fa91ce18dc97f8904ab5454d9940b0181dde7b,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_10,leo_rain_weak,0.0225,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,20-1,713101,20,20,0.019676549865229112,0.2166666666666667,0.0,matched_raw_no_leo,0.6083333333333333,0.825,"[1.0, 0.5, 0.2, 0.95, 1.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,da93a6924f5f58a937db4a804e1ccdf1bfe65c6494a1dbe018a37efc41414a4c,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,leo_clear_weak,0.01,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,20-1,713101,20,20,0.08636363636363636,0.3500000000000001,0.0,matched_raw_no_leo,0.475,0.825,"[1.0, 0.0, 0.0, 0.85, 1.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,da93a6924f5f58a937db4a804e1ccdf1bfe65c6494a1dbe018a37efc41414a4c,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,leo_low_elev_weak,0.0475,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
CSIL,csil_official_repo,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,20-1,713101,20,20,0.06581196581196581,0.275,0.0,matched_raw_no_leo,0.55,0.825,"[1.0, 0.3, 0.05, 0.95, 1.0, 0.0]","[1.0, 0.65, 0.8, 0.95, 1.0, 0.55]",unchanged_v7_leo_weak,da93a6924f5f58a937db4a804e1ccdf1bfe65c6494a1dbe018a37efc41414a4c,520,20-1,rx_20_1__seed_713101__new_20__csil_official_repo__k_20,leo_rain_weak,0.035,DIAGNOSTIC_NEW_CLASS_NO_LEO_NON_FORMAL,400,120
