variant,scene,category,group,correct,total,accuracy_percent
U0,clean,aggregate,all,153055,198000,77.30050505050505
U0,clean,named,test_unseen_day_seen_rx,27505,30000,91.68333333333334
U0,clean,named,test_day_0,27505,30000,91.68333333333334
U0,clean,named,test_seen_day_unseen_rx,94461,126000,74.96904761904761
U0,clean,named,test_rx_0,15284,18000,84.91111111111111
U0,clean,named,test_rx_2,10048,18000,55.82222222222222
U0,clean,named,test_rx_5,15502,18000,86.12222222222222
U0,clean,named,test_rx_7,10375,18000,57.638888888888886
U0,clean,named,test_rx_9,14708,18000,81.71111111111111
U0,clean,named,test_rx_10,14548,18000,80.82222222222222
U0,clean,named,test_rx_11,13996,18000,77.75555555555556
U0,clean,named,test_unseen_day_unseen_rx,31089,42000,74.02142857142857
U0,clean,named,test_unseen_day_rx_0,3977,6000,66.28333333333333
U0,clean,named,test_unseen_day_rx_2,3653,6000,60.88333333333333
U0,clean,named,test_unseen_day_rx_5,5081,6000,84.68333333333334
U0,clean,named,test_unseen_day_rx_7,5248,6000,87.46666666666667
U0,clean,named,test_unseen_day_rx_9,3587,6000,59.78333333333333
U0,clean,named,test_unseen_day_rx_10,4815,6000,80.25
U0,clean,named,test_unseen_day_rx_11,4728,6000,78.8
U0,clean,receiver_all_days,0,19261,24000,80.25416666666666
U0,clean,receiver_all_days,1,4426,6000,73.76666666666667
U0,clean,receiver_all_days,2,13701,24000,57.0875
U0,clean,receiver_all_days,3,5697,6000,94.95
U0,clean,receiver_all_days,4,5866,6000,97.76666666666667
U0,clean,receiver_all_days,5,20583,24000,85.7625
U0,clean,receiver_all_days,6,5895,6000,98.25
U0,clean,receiver_all_days,7,15623,24000,65.09583333333333
U0,clean,receiver_all_days,8,5621,6000,93.68333333333334
U0,clean,receiver_all_days,9,18295,24000,76.22916666666667
U0,clean,receiver_all_days,10,19363,24000,80.67916666666666
U0,clean,receiver_all_days,11,18724,24000,78.01666666666667
U0,clean,class,0,29762,33000,90.18787878787879
U0,clean,class,1,16857,33000,51.08181818181818
U0,clean,class,2,20614,33000,62.46666666666667
U0,clean,class,3,22676,33000,68.71515151515152
U0,clean,class,4,32894,33000,99.67878787878787
U0,clean,class,5,30252,33000,91.67272727272727
U0,leo_clear_weak,aggregate,all,124430,198000,62.843434343434346
U0,leo_clear_weak,named,test_unseen_day_seen_rx,23381,30000,77.93666666666667
U0,leo_clear_weak,named,test_day_0,23381,30000,77.93666666666667
U0,leo_clear_weak,named,test_seen_day_unseen_rx,76130,126000,60.42063492063492
U0,leo_clear_weak,named,test_rx_0,12627,18000,70.15
U0,leo_clear_weak,named,test_rx_2,7078,18000,39.32222222222222
U0,leo_clear_weak,named,test_rx_5,13488,18000,74.93333333333334
U0,leo_clear_weak,named,test_rx_7,7891,18000,43.83888888888889
U0,leo_clear_weak,named,test_rx_9,12678,18000,70.43333333333334
U0,leo_clear_weak,named,test_rx_10,11298,18000,62.766666666666666
U0,leo_clear_weak,named,test_rx_11,11070,18000,61.5
U0,leo_clear_weak,named,test_unseen_day_unseen_rx,24919,42000,59.33095238095238
U0,leo_clear_weak,named,test_unseen_day_rx_0,3653,6000,60.88333333333333
U0,leo_clear_weak,named,test_unseen_day_rx_2,2064,6000,34.4
U0,leo_clear_weak,named,test_unseen_day_rx_5,3893,6000,64.88333333333334
U0,leo_clear_weak,named,test_unseen_day_rx_7,3759,6000,62.65
U0,leo_clear_weak,named,test_unseen_day_rx_9,3354,6000,55.9
U0,leo_clear_weak,named,test_unseen_day_rx_10,4277,6000,71.28333333333333
U0,leo_clear_weak,named,test_unseen_day_rx_11,3919,6000,65.31666666666666
U0,leo_clear_weak,receiver_all_days,0,16280,24000,67.83333333333333
U0,leo_clear_weak,receiver_all_days,1,4114,6000,68.56666666666666
U0,leo_clear_weak,receiver_all_days,2,9142,24000,38.09166666666667
U0,leo_clear_weak,receiver_all_days,3,4551,6000,75.85
U0,leo_clear_weak,receiver_all_days,4,5010,6000,83.5
U0,leo_clear_weak,receiver_all_days,5,17381,24000,72.42083333333333
U0,leo_clear_weak,receiver_all_days,6,4892,6000,81.53333333333333
U0,leo_clear_weak,receiver_all_days,7,11650,24000,48.541666666666664
U0,leo_clear_weak,receiver_all_days,8,4814,6000,80.23333333333333
U0,leo_clear_weak,receiver_all_days,9,16032,24000,66.8
U0,leo_clear_weak,receiver_all_days,10,15575,24000,64.89583333333333
U0,leo_clear_weak,receiver_all_days,11,14989,24000,62.454166666666666
U0,leo_clear_weak,class,0,16455,33000,49.86363636363637
U0,leo_clear_weak,class,1,9359,33000,28.36060606060606
U0,leo_clear_weak,class,2,16920,33000,51.27272727272727
U0,leo_clear_weak,class,3,23025,33000,69.77272727272727
U0,leo_clear_weak,class,4,28885,33000,87.53030303030303
U0,leo_clear_weak,class,5,29786,33000,90.26060606060607
U0,leo_low_elev_weak,aggregate,all,120370,198000,60.792929292929294
U0,leo_low_elev_weak,named,test_unseen_day_seen_rx,22339,30000,74.46333333333334
U0,leo_low_elev_weak,named,test_day_0,22339,30000,74.46333333333334
U0,leo_low_elev_weak,named,test_seen_day_unseen_rx,73844,126000,58.60634920634921
U0,leo_low_elev_weak,named,test_rx_0,12149,18000,67.49444444444444
U0,leo_low_elev_weak,named,test_rx_2,7143,18000,39.68333333333333
U0,leo_low_elev_weak,named,test_rx_5,12952,18000,71.95555555555555
U0,leo_low_elev_weak,named,test_rx_7,7850,18000,43.611111111111114
U0,leo_low_elev_weak,named,test_rx_9,12307,18000,68.37222222222222
U0,leo_low_elev_weak,named,test_rx_10,10738,18000,59.65555555555556
U0,leo_low_elev_weak,named,test_rx_11,10705,18000,59.47222222222222
U0,leo_low_elev_weak,named,test_unseen_day_unseen_rx,24187,42000,57.588095238095235
U0,leo_low_elev_weak,named,test_unseen_day_rx_0,3547,6000,59.11666666666667
U0,leo_low_elev_weak,named,test_unseen_day_rx_2,2152,6000,35.86666666666667
U0,leo_low_elev_weak,named,test_unseen_day_rx_5,3776,6000,62.93333333333333
U0,leo_low_elev_weak,named,test_unseen_day_rx_7,3515,6000,58.583333333333336
U0,leo_low_elev_weak,named,test_unseen_day_rx_9,3414,6000,56.9
U0,leo_low_elev_weak,named,test_unseen_day_rx_10,3987,6000,66.45
U0,leo_low_elev_weak,named,test_unseen_day_rx_11,3796,6000,63.266666666666666
U0,leo_low_elev_weak,receiver_all_days,0,15696,24000,65.4
U0,leo_low_elev_weak,receiver_all_days,1,3953,6000,65.88333333333334
U0,leo_low_elev_weak,receiver_all_days,2,9295,24000,38.729166666666664
U0,leo_low_elev_weak,receiver_all_days,3,4317,6000,71.95
U0,leo_low_elev_weak,receiver_all_days,4,4866,6000,81.1
U0,leo_low_elev_weak,receiver_all_days,5,16728,24000,69.7
U0,leo_low_elev_weak,receiver_all_days,6,4725,6000,78.75
U0,leo_low_elev_weak,receiver_all_days,7,11365,24000,47.354166666666664
U0,leo_low_elev_weak,receiver_all_days,8,4478,6000,74.63333333333334
U0,leo_low_elev_weak,receiver_all_days,9,15721,24000,65.50416666666666
U0,leo_low_elev_weak,receiver_all_days,10,14725,24000,61.354166666666664
U0,leo_low_elev_weak,receiver_all_days,11,14501,24000,60.420833333333334
U0,leo_low_elev_weak,class,0,15895,33000,48.166666666666664
