variant,scene,true_tx,predicted_tx,count
U0,clean,0,0,31852
U0,clean,0,1,101
U0,clean,0,2,399
U0,clean,0,3,575
U0,clean,0,4,41
U0,clean,0,5,32
U0,clean,1,0,1096
U0,clean,1,1,16359
U0,clean,1,2,37
U0,clean,1,3,15399
U0,clean,1,4,68
U0,clean,1,5,41
U0,clean,2,0,2683
U0,clean,2,1,1250
U0,clean,2,2,22392
U0,clean,2,3,903
U0,clean,2,4,407
U0,clean,2,5,5365
U0,clean,3,0,4636
U0,clean,3,1,7307
U0,clean,3,2,181
U0,clean,3,3,20732
U0,clean,3,4,68
U0,clean,3,5,76
U0,clean,4,0,36
U0,clean,4,1,10
U0,clean,4,2,32
U0,clean,4,3,8
U0,clean,4,4,32863
U0,clean,4,5,51
U0,clean,5,0,16
U0,clean,5,1,64
U0,clean,5,2,83
U0,clean,5,3,12
U0,clean,5,4,820
U0,clean,5,5,32005
U0,leo_clear_weak,0,0,25823
U0,leo_clear_weak,0,1,1844
U0,leo_clear_weak,0,2,540
U0,leo_clear_weak,0,3,4606
U0,leo_clear_weak,0,4,136
U0,leo_clear_weak,0,5,51
U0,leo_clear_weak,1,0,3578
U0,leo_clear_weak,1,1,11690
U0,leo_clear_weak,1,2,125
U0,leo_clear_weak,1,3,17113
U0,leo_clear_weak,1,4,439
U0,leo_clear_weak,1,5,55
U0,leo_clear_weak,2,0,3476
U0,leo_clear_weak,2,1,2135
U0,leo_clear_weak,2,2,19077
U0,leo_clear_weak,2,3,1265
U0,leo_clear_weak,2,4,1689
U0,leo_clear_weak,2,5,5358
U0,leo_clear_weak,3,0,8131
U0,leo_clear_weak,3,1,4791
U0,leo_clear_weak,3,2,1163
U0,leo_clear_weak,3,3,18362
U0,leo_clear_weak,3,4,306
U0,leo_clear_weak,3,5,247
U0,leo_clear_weak,4,0,593
U0,leo_clear_weak,4,1,3004
U0,leo_clear_weak,4,2,239
U0,leo_clear_weak,4,3,2638
U0,leo_clear_weak,4,4,26407
U0,leo_clear_weak,4,5,119
U0,leo_clear_weak,5,0,76
U0,leo_clear_weak,5,1,456
U0,leo_clear_weak,5,2,242
U0,leo_clear_weak,5,3,24
U0,leo_clear_weak,5,4,1408
U0,leo_clear_weak,5,5,30794
U0,leo_low_elev_weak,0,0,25307
U0,leo_low_elev_weak,0,1,2119
U0,leo_low_elev_weak,0,2,587
U0,leo_low_elev_weak,0,3,4684
U0,leo_low_elev_weak,0,4,225
U0,leo_low_elev_weak,0,5,78
U0,leo_low_elev_weak,1,0,5116
U0,leo_low_elev_weak,1,1,10899
U0,leo_low_elev_weak,1,2,166
U0,leo_low_elev_weak,1,3,16126
U0,leo_low_elev_weak,1,4,615
U0,leo_low_elev_weak,1,5,78
U0,leo_low_elev_weak,2,0,4040
U0,leo_low_elev_weak,2,1,2296
U0,leo_low_elev_weak,2,2,17785
U0,leo_low_elev_weak,2,3,1476
U0,leo_low_elev_weak,2,4,1871
U0,leo_low_elev_weak,2,5,5532
U0,leo_low_elev_weak,3,0,9398
U0,leo_low_elev_weak,3,1,4831
U0,leo_low_elev_weak,3,2,1203
U0,leo_low_elev_weak,3,3,16757
U0,leo_low_elev_weak,3,4,544
U0,leo_low_elev_weak,3,5,267
U0,leo_low_elev_weak,4,0,892
U0,leo_low_elev_weak,4,1,3214
U0,leo_low_elev_weak,4,2,307
U0,leo_low_elev_weak,4,3,3109
U0,leo_low_elev_weak,4,4,25313
U0,leo_low_elev_weak,4,5,165
U0,leo_low_elev_weak,5,0,179
U0,leo_low_elev_weak,5,1,498
U0,leo_low_elev_weak,5,2,389
U0,leo_low_elev_weak,5,3,39
U0,leo_low_elev_weak,5,4,1384
U0,leo_low_elev_weak,5,5,30511
U0,leo_rain_weak,0,0,25576
U0,leo_rain_weak,0,1,2175
U0,leo_rain_weak,0,2,578
U0,leo_rain_weak,0,3,4372
U0,leo_rain_weak,0,4,237
U0,leo_rain_weak,0,5,62
U0,leo_rain_weak,1,0,5620
U0,leo_rain_weak,1,1,11078
U0,leo_rain_weak,1,2,159
U0,leo_rain_weak,1,3,15436
U0,leo_rain_weak,1,4,630
U0,leo_rain_weak,1,5,77
U0,leo_rain_weak,2,0,4166
U0,leo_rain_weak,2,1,2138
U0,leo_rain_weak,2,2,17889
U0,leo_rain_weak,2,3,1416
U0,leo_rain_weak,2,4,1736
U0,leo_rain_weak,2,5,5655
U0,leo_rain_weak,3,0,10304
U0,leo_rain_weak,3,1,4749
U0,leo_rain_weak,3,2,1172
U0,leo_rain_weak,3,3,16008
U0,leo_rain_weak,3,4,481
U0,leo_rain_weak,3,5,286
U0,leo_rain_weak,4,0,960
U0,leo_rain_weak,4,1,3149
U0,leo_rain_weak,4,2,347
U0,leo_rain_weak,4,3,3174
U0,leo_rain_weak,4,4,25172
U0,leo_rain_weak,4,5,198
U0,leo_rain_weak,5,0,151
U0,leo_rain_weak,5,1,430
U0,leo_rain_weak,5,2,336
U0,leo_rain_weak,5,3,26
U0,leo_rain_weak,5,4,1298
U0,leo_rain_weak,5,5,30759
U1,clean,0,0,31592
U1,clean,0,1,120
U1,clean,0,2,299
U1,clean,0,3,896
U1,clean,0,4,46
U1,clean,0,5,47
U1,clean,1,0,812
U1,clean,1,1,15261
U1,clean,1,2,49
U1,clean,1,3,16728
U1,clean,1,4,65
U1,clean,1,5,85
U1,clean,2,0,3189
U1,clean,2,1,374
U1,clean,2,2,20330
U1,clean,2,3,2165
U1,clean,2,4,793
U1,clean,2,5,6149
U1,clean,3,0,3945
U1,clean,3,1,5863
U1,clean,3,2,295
U1,clean,3,3,22689
U1,clean,3,4,86
U1,clean,3,5,122
U1,clean,4,0,37
U1,clean,4,1,224
U1,clean,4,2,24
U1,clean,4,3,88
U1,clean,4,4,32555
U1,clean,4,5,72
U1,clean,5,0,89
U1,clean,5,1,13
U1,clean,5,2,55
U1,clean,5,3,28
U1,clean,5,4,1496
U1,clean,5,5,31319
U1,leo_clear_weak,0,0,24136
U1,leo_clear_weak,0,1,1647
U1,leo_clear_weak,0,2,428
U1,leo_clear_weak,0,3,6494
U1,leo_clear_weak,0,4,209
U1,leo_clear_weak,0,5,86
U1,leo_clear_weak,1,0,2243
U1,leo_clear_weak,1,1,10367
U1,leo_clear_weak,1,2,43
U1,leo_clear_weak,1,3,19736
U1,leo_clear_weak,1,4,526
U1,leo_clear_weak,1,5,85
U1,leo_clear_weak,2,0,3614
U1,leo_clear_weak,2,1,2527
U1,leo_clear_weak,2,2,15190
U1,leo_clear_weak,2,3,2431
U1,leo_clear_weak,2,4,3429
U1,leo_clear_weak,2,5,5809
U1,leo_clear_weak,3,0,5985
U1,leo_clear_weak,3,1,4944
U1,leo_clear_weak,3,2,595
U1,leo_clear_weak,3,3,20887
U1,leo_clear_weak,3,4,282
U1,leo_clear_weak,3,5,307
U1,leo_clear_weak,4,0,332
U1,leo_clear_weak,4,1,2409
U1,leo_clear_weak,4,2,76
U1,leo_clear_weak,4,3,4137
U1,leo_clear_weak,4,4,25892
U1,leo_clear_weak,4,5,154
U1,leo_clear_weak,5,0,141
U1,leo_clear_weak,5,1,223
U1,leo_clear_weak,5,2,67
U1,leo_clear_weak,5,3,18
U1,leo_clear_weak,5,4,2163
U1,leo_clear_weak,5,5,30388
U1,leo_low_elev_weak,0,0,23906
U1,leo_low_elev_weak,0,1,1808
U1,leo_low_elev_weak,0,2,518
U1,leo_low_elev_weak,0,3,6361
U1,leo_low_elev_weak,0,4,289
U1,leo_low_elev_weak,0,5,118
U1,leo_low_elev_weak,1,0,3479
U1,leo_low_elev_weak,1,1,9574
U1,leo_low_elev_weak,1,2,72
U1,leo_low_elev_weak,1,3,19009
U1,leo_low_elev_weak,1,4,755
U1,leo_low_elev_weak,1,5,111
U1,leo_low_elev_weak,2,0,3625
U1,leo_low_elev_weak,2,1,2701
