variant,scene,day,correct,total,accuracy_percent
U0,clean,0,59062,72000,82.03055555555555
U0,clean,1,33776,42000,80.41904761904762
U0,clean,2,30619,42000,72.90238095238095
U0,clean,3,32746,42000,77.96666666666667
U0,leo_clear_weak,0,50465,72000,70.09027777777777
U0,leo_clear_weak,1,28053,42000,66.79285714285714
U0,leo_clear_weak,2,26117,42000,62.18333333333333
U0,leo_clear_weak,3,27518,42000,65.51904761904763
U0,leo_low_elev_weak,0,48203,72000,66.9486111111111
U0,leo_low_elev_weak,1,26856,42000,63.94285714285714
U0,leo_low_elev_weak,2,25015,42000,59.55952380952381
U0,leo_low_elev_weak,3,26498,42000,63.09047619047619
U0,leo_rain_weak,0,48096,72000,66.8
U0,leo_rain_weak,1,26950,42000,64.16666666666667
U0,leo_rain_weak,2,25186,42000,59.96666666666667
U0,leo_rain_weak,3,26250,42000,62.5
U1,clean,0,57956,72000,80.49444444444444
U1,clean,1,33556,42000,79.8952380952381
U1,clean,2,30108,42000,71.68571428571428
U1,clean,3,32126,42000,76.49047619047619
U1,leo_clear_weak,0,48618,72000,67.525
U1,leo_clear_weak,1,26584,42000,63.2952380952381
U1,leo_clear_weak,2,24809,42000,59.069047619047616
U1,leo_clear_weak,3,26849,42000,63.92619047619048
U1,leo_low_elev_weak,0,46703,72000,64.86527777777778
U1,leo_low_elev_weak,1,25559,42000,60.85476190476191
U1,leo_low_elev_weak,2,23817,42000,56.707142857142856
U1,leo_low_elev_weak,3,25711,42000,61.21666666666667
U1,leo_rain_weak,0,46725,72000,64.89583333333333
U1,leo_rain_weak,1,25712,42000,61.21904761904762
U1,leo_rain_weak,2,24001,42000,57.14523809523809
U1,leo_rain_weak,3,25720,42000,61.23809523809524
U1_mask_off,clean,0,59620,72000,82.80555555555556
U1_mask_off,clean,1,33573,42000,79.93571428571428
U1_mask_off,clean,2,30384,42000,72.34285714285714
U1_mask_off,clean,3,32074,42000,76.36666666666666
U1_mask_off,leo_clear_weak,0,48701,72000,67.64027777777778
U1_mask_off,leo_clear_weak,1,26484,42000,63.05714285714286
U1_mask_off,leo_clear_weak,2,25283,42000,60.19761904761905
