variant,scene,category,group,correct,wrong,total,accuracy_percent
U0,clean,aggregate,all,156203,41797,198000,78.89040404040404
U0,clean,named,test_unseen_day_seen_rx,27689,2311,30000,92.29666666666667
U0,clean,named,test_day_0,27689,2311,30000,92.29666666666667
U0,clean,named,test_seen_day_unseen_rx,97141,28859,126000,77.09603174603174
U0,clean,named,test_rx_0,14788,3212,18000,82.15555555555555
U0,clean,named,test_rx_2,9765,8235,18000,54.25
U0,clean,named,test_rx_5,15868,2132,18000,88.15555555555555
U0,clean,named,test_rx_7,12191,5809,18000,67.72777777777777
U0,clean,named,test_rx_9,15869,2131,18000,88.16111111111111
U0,clean,named,test_rx_10,13918,4082,18000,77.32222222222222
U0,clean,named,test_rx_11,14742,3258,18000,81.9
U0,clean,named,test_unseen_day_unseen_rx,31373,10627,42000,74.69761904761904
U0,clean,named,test_unseen_day_rx_0,4002,1998,6000,66.7
U0,clean,named,test_unseen_day_rx_2,3179,2821,6000,52.983333333333334
U0,clean,named,test_unseen_day_rx_5,5072,928,6000,84.53333333333333
U0,clean,named,test_unseen_day_rx_7,5492,508,6000,91.53333333333333
U0,clean,named,test_unseen_day_rx_9,4257,1743,6000,70.95
U0,clean,named,test_unseen_day_rx_10,4492,1508,6000,74.86666666666666
U0,clean,named,test_unseen_day_rx_11,4879,1121,6000,81.31666666666666
U0,clean,receiver_all_days,0,18790,5210,24000,78.29166666666667
U0,clean,receiver_all_days,1,4657,1343,6000,77.61666666666666
U0,clean,receiver_all_days,2,12944,11056,24000,53.93333333333333
U0,clean,receiver_all_days,3,5680,320,6000,94.66666666666667
U0,clean,receiver_all_days,4,5859,141,6000,97.65
U0,clean,receiver_all_days,5,20940,3060,24000,87.25
U0,clean,receiver_all_days,6,5897,103,6000,98.28333333333333
U0,clean,receiver_all_days,7,17683,6317,24000,73.67916666666666
U0,clean,receiver_all_days,8,5596,404,6000,93.26666666666667
U0,clean,receiver_all_days,9,20126,3874,24000,83.85833333333333
U0,clean,receiver_all_days,10,18410,5590,24000,76.70833333333333
U0,clean,receiver_all_days,11,19621,4379,24000,81.75416666666666
U0,clean,class,0,31852,1148,33000,96.52121212121212
U0,clean,class,1,16359,16641,33000,49.57272727272727
U0,clean,class,2,22392,10608,33000,67.85454545454546
U0,clean,class,3,20732,12268,33000,62.82424242424243
U0,clean,class,4,32863,137,33000,99.58484848484848
U0,clean,class,5,32005,995,33000,96.98484848484848
U0,leo_clear_weak,aggregate,all,132153,65847,198000,66.7439393939394
U0,leo_clear_weak,named,test_unseen_day_seen_rx,24325,5675,30000,81.08333333333333
U0,leo_clear_weak,named,test_day_0,24325,5675,30000,81.08333333333333
U0,leo_clear_weak,named,test_seen_day_unseen_rx,81688,44312,126000,64.83174603174604
U0,leo_clear_weak,named,test_rx_0,12884,5116,18000,71.57777777777778
U0,leo_clear_weak,named,test_rx_2,8000,10000,18000,44.44444444444444
U0,leo_clear_weak,named,test_rx_5,14006,3994,18000,77.81111111111112
U0,leo_clear_weak,named,test_rx_7,8518,9482,18000,47.32222222222222
U0,leo_clear_weak,named,test_rx_9,13864,4136,18000,77.02222222222223
U0,leo_clear_weak,named,test_rx_10,11917,6083,18000,66.20555555555555
U0,leo_clear_weak,named,test_rx_11,12499,5501,18000,69.43888888888888
U0,leo_clear_weak,named,test_unseen_day_unseen_rx,26140,15860,42000,62.23809523809524
U0,leo_clear_weak,named,test_unseen_day_rx_0,3646,2354,6000,60.766666666666666
U0,leo_clear_weak,named,test_unseen_day_rx_2,2479,3521,6000,41.31666666666667
U0,leo_clear_weak,named,test_unseen_day_rx_5,3956,2044,6000,65.93333333333334
U0,leo_clear_weak,named,test_unseen_day_rx_7,3878,2122,6000,64.63333333333334
U0,leo_clear_weak,named,test_unseen_day_rx_9,3873,2127,6000,64.55
U0,leo_clear_weak,named,test_unseen_day_rx_10,4118,1882,6000,68.63333333333334
U0,leo_clear_weak,named,test_unseen_day_rx_11,4190,1810,6000,69.83333333333333
U0,leo_clear_weak,receiver_all_days,0,16530,7470,24000,68.875
U0,leo_clear_weak,receiver_all_days,1,4392,1608,6000,73.2
U0,leo_clear_weak,receiver_all_days,2,10479,13521,24000,43.6625
U0,leo_clear_weak,receiver_all_days,3,4643,1357,6000,77.38333333333334
U0,leo_clear_weak,receiver_all_days,4,5337,663,6000,88.95
U0,leo_clear_weak,receiver_all_days,5,17962,6038,24000,74.84166666666667
U0,leo_clear_weak,receiver_all_days,6,5246,754,6000,87.43333333333334
U0,leo_clear_weak,receiver_all_days,7,12396,11604,24000,51.65
U0,leo_clear_weak,receiver_all_days,8,4707,1293,6000,78.45
U0,leo_clear_weak,receiver_all_days,9,17737,6263,24000,73.90416666666667
U0,leo_clear_weak,receiver_all_days,10,16035,7965,24000,66.8125
U0,leo_clear_weak,receiver_all_days,11,16689,7311,24000,69.5375
U0,leo_clear_weak,class,0,25823,7177,33000,78.25151515151515
U0,leo_clear_weak,class,1,11690,21310,33000,35.42424242424242
U0,leo_clear_weak,class,2,19077,13923,33000,57.80909090909091
U0,leo_clear_weak,class,3,18362,14638,33000,55.64242424242424
U0,leo_clear_weak,class,4,26407,6593,33000,80.02121212121212
U0,leo_clear_weak,class,5,30794,2206,33000,93.31515151515151
