variant,scene,category,group,correct,total,incorrect,accuracy_percent
U0,clean,aggregate,all,156203,198000,41797,78.89040404040404
U0,clean,named,test_unseen_day_seen_rx,27689,30000,2311,92.29666666666667
U0,clean,named,test_day_0,27689,30000,2311,92.29666666666667
U0,clean,named,test_seen_day_unseen_rx,97141,126000,28859,77.09603174603174
U0,clean,named,test_rx_0,14788,18000,3212,82.15555555555555
U0,clean,named,test_rx_2,9765,18000,8235,54.25
U0,clean,named,test_rx_5,15868,18000,2132,88.15555555555555
U0,clean,named,test_rx_7,12191,18000,5809,67.72777777777777
U0,clean,named,test_rx_9,15869,18000,2131,88.16111111111111
U0,clean,named,test_rx_10,13918,18000,4082,77.32222222222222
U0,clean,named,test_rx_11,14742,18000,3258,81.9
U0,clean,named,test_unseen_day_unseen_rx,31373,42000,10627,74.69761904761904
U0,clean,named,test_unseen_day_rx_0,4002,6000,1998,66.7
U0,clean,named,test_unseen_day_rx_2,3179,6000,2821,52.983333333333334
U0,clean,named,test_unseen_day_rx_5,5072,6000,928,84.53333333333333
U0,clean,named,test_unseen_day_rx_7,5492,6000,508,91.53333333333333
U0,clean,named,test_unseen_day_rx_9,4257,6000,1743,70.95
U0,clean,named,test_unseen_day_rx_10,4492,6000,1508,74.86666666666666
U0,clean,named,test_unseen_day_rx_11,4879,6000,1121,81.31666666666666
U0,clean,receiver_all_days,0,18790,24000,5210,78.29166666666667
U0,clean,receiver_all_days,1,4657,6000,1343,77.61666666666666
U0,clean,receiver_all_days,2,12944,24000,11056,53.93333333333333
U0,clean,receiver_all_days,3,5680,6000,320,94.66666666666667
U0,clean,receiver_all_days,4,5859,6000,141,97.65
U0,clean,receiver_all_days,5,20940,24000,3060,87.25
U0,clean,receiver_all_days,6,5897,6000,103,98.28333333333333
U0,clean,receiver_all_days,7,17683,24000,6317,73.67916666666666
U0,clean,receiver_all_days,8,5596,6000,404,93.26666666666667
U0,clean,receiver_all_days,9,20126,24000,3874,83.85833333333333
U0,clean,receiver_all_days,10,18410,24000,5590,76.70833333333333
U0,clean,receiver_all_days,11,19621,24000,4379,81.75416666666666
U0,clean,class,0,31852,33000,1148,96.52121212121212
U0,clean,class,1,16359,33000,16641,49.57272727272727
U0,clean,class,2,22392,33000,10608,67.85454545454546
U0,clean,class,3,20732,33000,12268,62.82424242424243
U0,clean,class,4,32863,33000,137,99.58484848484848
U0,clean,class,5,32005,33000,995,96.98484848484848
U0,leo_clear_weak,aggregate,all,132153,198000,65847,66.7439393939394
U0,leo_clear_weak,named,test_unseen_day_seen_rx,24325,30000,5675,81.08333333333333
U0,leo_clear_weak,named,test_day_0,24325,30000,5675,81.08333333333333
U0,leo_clear_weak,named,test_seen_day_unseen_rx,81688,126000,44312,64.83174603174604
U0,leo_clear_weak,named,test_rx_0,12884,18000,5116,71.57777777777778
U0,leo_clear_weak,named,test_rx_2,8000,18000,10000,44.44444444444444
U0,leo_clear_weak,named,test_rx_5,14006,18000,3994,77.81111111111112
U0,leo_clear_weak,named,test_rx_7,8518,18000,9482,47.32222222222222
U0,leo_clear_weak,named,test_rx_9,13864,18000,4136,77.02222222222223
U0,leo_clear_weak,named,test_rx_10,11917,18000,6083,66.20555555555555
U0,leo_clear_weak,named,test_rx_11,12499,18000,5501,69.43888888888888
U0,leo_clear_weak,named,test_unseen_day_unseen_rx,26140,42000,15860,62.23809523809524
U0,leo_clear_weak,named,test_unseen_day_rx_0,3646,6000,2354,60.766666666666666
U0,leo_clear_weak,named,test_unseen_day_rx_2,2479,6000,3521,41.31666666666667
U0,leo_clear_weak,named,test_unseen_day_rx_5,3956,6000,2044,65.93333333333334
U0,leo_clear_weak,named,test_unseen_day_rx_7,3878,6000,2122,64.63333333333334
U0,leo_clear_weak,named,test_unseen_day_rx_9,3873,6000,2127,64.55
U0,leo_clear_weak,named,test_unseen_day_rx_10,4118,6000,1882,68.63333333333334
U0,leo_clear_weak,named,test_unseen_day_rx_11,4190,6000,1810,69.83333333333333
