row,scene,n_seeds,accuracy_mean,accuracy_sample_std,macro_f1_mean,macro_f1_sample_std
V2_EG_HIGH_ADV0,clean,3,0.9823333333333333,0.001930194699377055,0.9823278512279576,0.0019289109213090785
V2_EG_HIGH_ADV0,leo_clear_weak,3,0.9341975308641975,0.005129640771927079,0.934236458558994,0.005260812723520472
V2_EG_HIGH_ADV0,leo_low_elev_weak,3,0.903395061728395,0.00881522978585421,0.9031071802621164,0.009299044841726946
V2_EG_HIGH_ADV0,leo_rain_weak,3,0.9022345679012346,0.006931997074988241,0.9018864935039315,0.0074258087214721736
V2_EG_HIGH_ADV0,LEO_mean,3,0.913275720164609,0.0068060568761726305,0.913076710775014,0.007165833778783857
V2_EG_HIGH_ADV0,four_scene_mean,3,0.93054012345679,0.004622302844342743,0.9303894958882499,0.004893388506503983
V2_EG_HIGH_ADV035,clean,2,0.9823703703703703,0.0006809176411425873,0.9823622835678241,0.0006894644877558467
V2_EG_HIGH_ADV035,leo_clear_weak,2,0.9377777777777778,0.0076472288928323045,0.9377760068812494,0.0076096176458558765
V2_EG_HIGH_ADV035,leo_low_elev_weak,2,0.9064629629629629,0.005368773709008973,0.9060667342015936,0.005274108952870891
V2_EG_HIGH_ADV035,leo_rain_weak,2,0.9056481481481482,0.006102069630239483,0.9050293864835393,0.006090178080986599
V2_EG_HIGH_ADV035,LEO_mean,2,0.9166296296296297,0.006372690744026972,0.9162907091887941,0.006324634893237789
V2_EG_HIGH_ADV035,four_scene_mean,2,0.9330648148148148,0.0046092886477345826,0.9328086027835516,0.0045711100479893605
