method,scene,true_class,predicted_class,count,true_class_count,row_rate
H0,clean,0,0,25092,28000,0.896142840385437
H0,clean,0,1,513,28000,0.018321428447961807
H0,clean,0,2,183,28000,0.006535714492201805
H0,clean,0,3,2156,28000,0.07699999958276749
H0,clean,0,4,41,28000,0.0014642857713624835
H0,clean,0,5,15,28000,0.0005357142654247582
H0,clean,1,0,376,28000,0.01342857163399458
H0,clean,1,1,15469,28000,0.5524643063545227
H0,clean,1,2,17,28000,0.0006071428651921451
H0,clean,1,3,11982,28000,0.4279285669326782
H0,clean,1,4,126,28000,0.0044999998062849045
H0,clean,1,5,30,28000,0.0010714285308495164
H0,clean,2,0,1717,28000,0.061321429908275604
H0,clean,2,1,2927,28000,0.10453571379184723
H0,clean,2,2,16136,28000,0.576285719871521
H0,clean,2,3,1749,28000,0.062464285641908646
H0,clean,2,4,613,28000,0.021892856806516647
H0,clean,2,5,4858,28000,0.17350000143051147
H0,clean,3,0,2189,28000,0.07817856967449188
H0,clean,3,1,7767,28000,0.2773928642272949
H0,clean,3,2,37,28000,0.0013214285718277097
H0,clean,3,3,17923,28000,0.6401071548461914
H0,clean,3,4,47,28000,0.0016785714542493224
H0,clean,3,5,37,28000,0.0013214285718277097
H0,clean,4,0,6,28000,0.00021428571199066937
H0,clean,4,1,9,28000,0.0003214285825379193
H0,clean,4,2,17,28000,0.0006071428651921451
H0,clean,4,3,3,28000,0.00010714285599533468
H0,clean,4,4,27959,28000,0.998535692691803
H0,clean,4,5,6,28000,0.00021428571199066937
H0,clean,5,0,6,28000,0.00021428571199066937
H0,clean,5,1,91,28000,0.0032500000670552254
H0,clean,5,2,62,28000,0.0022142857778817415
H0,clean,5,3,21,28000,0.000750000006519258
H0,clean,5,4,2715,28000,0.0969642847776413
H0,clean,5,5,25105,28000,0.8966071605682373
H0,leo_clear_weak,0,0,12367,28000,0.44167858362197876
H0,leo_clear_weak,0,1,5442,28000,0.19435714185237885
H0,leo_clear_weak,0,2,196,28000,0.007000000216066837
H0,leo_clear_weak,0,3,9705,28000,0.34660714864730835
H0,leo_clear_weak,0,4,259,28000,0.00925000011920929
H0,leo_clear_weak,0,5,31,28000,0.0011071428889408708
H0,leo_clear_weak,1,0,322,28000,0.011500000022351742
H0,leo_clear_weak,1,1,11641,28000,0.41574999690055847
H0,leo_clear_weak,1,2,21,28000,0.000750000006519258
H0,leo_clear_weak,1,3,15455,28000,0.551964282989502
H0,leo_clear_weak,1,4,523,28000,0.01867857202887535
H0,leo_clear_weak,1,5,38,28000,0.0013571428135037422
H0,leo_clear_weak,2,0,948,28000,0.03385714441537857
H0,leo_clear_weak,2,1,4444,28000,0.15871427953243256
H0,leo_clear_weak,2,2,11187,28000,0.3995357155799866
H0,leo_clear_weak,2,3,2389,28000,0.08532142639160156
H0,leo_clear_weak,2,4,4283,28000,0.1529642790555954
H0,leo_clear_weak,2,5,4749,28000,0.16960714757442474
H0,leo_clear_weak,3,0,1648,28000,0.05885714292526245
H0,leo_clear_weak,3,1,8649,28000,0.3088928461074829
H0,leo_clear_weak,3,2,392,28000,0.014000000432133675
H0,leo_clear_weak,3,3,16598,28000,0.5927857160568237
H0,leo_clear_weak,3,4,503,28000,0.017964284867048264
H0,leo_clear_weak,3,5,210,28000,0.007499999832361937
H0,leo_clear_weak,4,0,25,28000,0.0008928571478463709
H0,leo_clear_weak,4,1,3057,28000,0.1091785728931427
H0,leo_clear_weak,4,2,37,28000,0.0013214285718277097
H0,leo_clear_weak,4,3,1289,28000,0.04603571444749832
H0,leo_clear_weak,4,4,23567,28000,0.8416785597801208
H0,leo_clear_weak,4,5,25,28000,0.0008928571478463709
H0,leo_clear_weak,5,0,38,28000,0.0013571428135037422
H0,leo_clear_weak,5,1,443,28000,0.01582142896950245
