method,scene,bin,count,mean_confidence,accuracy
H0,clean,0,0,,
H0,clean,1,0,,
H0,clean,2,0,,
H0,clean,3,3,0.23733799159526825,0.0
H0,clean,4,34,0.30637505650520325,0.11764705926179886
H0,clean,5,87,0.3726378381252289,0.13793103396892548
H0,clean,6,119,0.4335145950317383,0.08403361588716507
H0,clean,7,308,0.5100709199905396,0.30194804072380066
H0,clean,8,457,0.5660356283187866,0.391684889793396
H0,clean,9,482,0.6349265575408936,0.34854772686958313
H0,clean,10,559,0.6998345255851746,0.3631484806537628
H0,clean,11,642,0.7666499018669128,0.37071651220321655
H0,clean,12,826,0.8341021537780762,0.35593220591545105
H0,clean,13,1290,0.9037209749221802,0.3527131676673889
H0,clean,14,163193,0.9993267059326172,0.7722635269165039
H0,leo_clear_weak,0,0,,
H0,leo_clear_weak,1,0,,
H0,leo_clear_weak,2,2,0.1666666716337204,0.0
H0,leo_clear_weak,3,39,0.24841392040252686,0.07692307978868484
H0,leo_clear_weak,4,222,0.3047391176223755,0.10810811072587967
H0,leo_clear_weak,5,357,0.3665030300617218,0.18207283318042755
H0,leo_clear_weak,6,492,0.43438220024108887,0.1869918704032898
H0,leo_clear_weak,7,814,0.5068432688713074,0.262899249792099
H0,leo_clear_weak,8,1054,0.5677685737609863,0.31404173374176025
H0,leo_clear_weak,9,1028,0.6329638957977295,0.3278210163116455
H0,leo_clear_weak,10,1144,0.6999332308769226,0.3173076808452606
H0,leo_clear_weak,11,1312,0.768288791179657,0.32621949911117554
H0,leo_clear_weak,12,1608,0.834894061088562,0.3457711338996887
H0,leo_clear_weak,13,2567,0.9033957123756409,0.3400857150554657
H0,leo_clear_weak,14,157361,0.9985475540161133,0.6135255694389343
H0,leo_low_elev_weak,0,0,,
H0,leo_low_elev_weak,1,0,,
H0,leo_low_elev_weak,2,6,0.17161859571933746,0.1666666716337204
H0,leo_low_elev_weak,3,65,0.2490675449371338,0.10769230872392654
H0,leo_low_elev_weak,4,226,0.30210795998573303,0.11946902424097061
H0,leo_low_elev_weak,5,483,0.3695423901081085,0.18219462037086487
H0,leo_low_elev_weak,6,651,0.43414101004600525,0.17972350120544434
H0,leo_low_elev_weak,7,1075,0.504356861114502,0.23999999463558197
H0,leo_low_elev_weak,8,1260,0.5671657919883728,0.2904762029647827
H0,leo_low_elev_weak,9,1257,0.6327766180038452,0.3015115261077881
H0,leo_low_elev_weak,10,1382,0.7016688585281372,0.2858176529407501
H0,leo_low_elev_weak,11,1496,0.7676066160202026,0.3135026693344116
H0,leo_low_elev_weak,12,1969,0.8348280191421509,0.3026917278766632
H0,leo_low_elev_weak,13,2955,0.9036288857460022,0.34043994545936584
H0,leo_low_elev_weak,14,155175,0.9983917474746704,0.6017979979515076
H0,leo_rain_weak,0,0,,
H0,leo_rain_weak,1,0,,
H0,leo_rain_weak,2,3,0.1666666716337204,0.0
H0,leo_rain_weak,3,80,0.2495107650756836,0.17499999701976776
H0,leo_rain_weak,4,280,0.3028554916381836,0.15357142686843872
H0,leo_rain_weak,5,513,0.36929962038993835,0.16764132678508759
H0,leo_rain_weak,6,694,0.4347674548625946,0.2219020128250122
H0,leo_rain_weak,7,1093,0.5035239458084106,0.29094237089157104
H0,leo_rain_weak,8,1248,0.56722491979599,0.29567307233810425
H0,leo_rain_weak,9,1241,0.633763313293457,0.3086220920085907
H0,leo_rain_weak,10,1411,0.7003060579299927,0.3019135296344757
H0,leo_rain_weak,11,1517,0.7679340243339539,0.29531970620155334
H0,leo_rain_weak,12,1900,0.8342165946960449,0.3410526216030121
H0,leo_rain_weak,13,2844,0.9027131199836731,0.3291139304637909
H0,leo_rain_weak,14,155176,0.9983834624290466,0.6047455668449402
H1,clean,0,0,,
H1,clean,1,0,,
H1,clean,2,0,,
H1,clean,3,47,0.25168275833129883,0.1489361673593521
H1,clean,4,1965,0.30719855427742004,0.16692112386226654
H1,clean,5,7090,0.3710656464099884,0.18956276774406433
H1,clean,6,11680,0.431487113237381,0.20787671208381653
H1,clean,7,5732,0.4982490539550781,0.49267271161079407
H1,clean,8,5164,0.5668269991874695,0.5720371603965759
H1,clean,9,5567,0.6334640383720398,0.627088189125061
H1,clean,10,6268,0.700474202632904,0.6641672253608704
H1,clean,11,6838,0.7675008773803711,0.6415618658065796
H1,clean,12,8325,0.834983229637146,0.6295495629310608
H1,clean,13,12138,0.9027811288833618,0.6402208209037781
H1,clean,14,97186,0.9909181594848633,0.8911674618721008
H1,leo_clear_weak,0,0,,
H1,leo_clear_weak,1,0,,
H1,leo_clear_weak,2,0,,
H1,leo_clear_weak,3,111,0.25341475009918213,0.18918919563293457
H1,leo_clear_weak,4,3009,0.30798202753067017,0.18943171203136444
H1,leo_clear_weak,5,11909,0.37225252389907837,0.2235284298658371
H1,leo_clear_weak,6,31581,0.43231096863746643,0.23077166080474854
H1,leo_clear_weak,7,13450,0.4979007840156555,0.34907063841819763
H1,leo_clear_weak,8,10819,0.5661750435829163,0.41260746121406555
H1,leo_clear_weak,9,9948,0.6334902048110962,0.4714515507221222
H1,leo_clear_weak,10,10352,0.7003459930419922,0.5063755512237549
H1,leo_clear_weak,11,10404,0.7668856382369995,0.5416185855865479
H1,leo_clear_weak,12,11341,0.8339341878890991,0.578167736530304
H1,leo_clear_weak,13,14855,0.9019613862037659,0.6424099802970886
H1,leo_clear_weak,14,40221,0.98382568359375,0.8915243148803711
H1,leo_low_elev_weak,0,0,,
H1,leo_low_elev_weak,1,0,,
H1,leo_low_elev_weak,2,0,,
H1,leo_low_elev_weak,3,118,0.2556585967540741,0.26271185278892517
H1,leo_low_elev_weak,4,3480,0.3086498975753784,0.17787356674671173
H1,leo_low_elev_weak,5,13463,0.3724902868270874,0.22558122873306274
H1,leo_low_elev_weak,6,35046,0.43165361881256104,0.2336357980966568
H1,leo_low_elev_weak,7,14518,0.49748069047927856,0.34522661566734314
H1,leo_low_elev_weak,8,11591,0.5659809112548828,0.4152359664440155
H1,leo_low_elev_weak,9,10550,0.6332736015319824,0.4642654061317444
H1,leo_low_elev_weak,10,10045,0.699726402759552,0.5126928687095642
H1,leo_low_elev_weak,11,10153,0.7667036056518555,0.541416347026825
H1,leo_low_elev_weak,12,10827,0.8337383270263672,0.5719959139823914
H1,leo_low_elev_weak,13,12452,0.9013282060623169,0.6396563053131104
H1,leo_low_elev_weak,14,35757,0.9850336313247681,0.9030959010124207
H1,leo_rain_weak,0,0,,
H1,leo_rain_weak,1,0,,
H1,leo_rain_weak,2,0,,
H1,leo_rain_weak,3,120,0.2543571889400482,0.23333333432674408
H1,leo_rain_weak,4,3306,0.30931442975997925,0.19630974531173706
H1,leo_rain_weak,5,13592,0.37256482243537903,0.2290317863225937
H1,leo_rain_weak,6,35442,0.4315290153026581,0.23395970463752747
H1,leo_rain_weak,7,14521,0.49764347076416016,0.35624268651008606
H1,leo_rain_weak,8,11451,0.5661763548851013,0.4132390320301056
H1,leo_rain_weak,9,10263,0.632786214351654,0.4790022373199463
H1,leo_rain_weak,10,10139,0.699906051158905,0.5129697322845459
H1,leo_rain_weak,11,10123,0.766691267490387,0.5489479303359985
H1,leo_rain_weak,12,10659,0.8338099122047424,0.5874847769737244
H1,leo_rain_weak,13,12377,0.9013635516166687,0.6406237483024597
H1,leo_rain_weak,14,36007,0.9853047132492065,0.9035465121269226
H2,clean,0,0,,
H2,clean,1,0,,
H2,clean,2,0,,
H2,clean,3,201,0.2591184973716736,0.20895522832870483
H2,clean,4,5872,0.31013357639312744,0.18136921525001526
H2,clean,5,11639,0.36311739683151245,0.2160838544368744
H2,clean,6,6157,0.4317413866519928,0.43722590804100037
H2,clean,7,4879,0.49998557567596436,0.5685591101646423
H2,clean,8,5030,0.5674033164978027,0.6218687891960144
H2,clean,9,5052,0.6338878273963928,0.6407363414764404
H2,clean,10,5479,0.7004003524780273,0.6439131498336792
H2,clean,11,6189,0.7678073644638062,0.6577799320220947
H2,clean,12,7884,0.834651529788971,0.6719939112663269
H2,clean,13,11483,0.9025941491127014,0.7074806094169617
H2,clean,14,98135,0.9901795983314514,0.8829571604728699
H2,leo_clear_weak,0,0,,
H2,leo_clear_weak,1,0,,
H2,leo_clear_weak,2,0,,
H2,leo_clear_weak,3,303,0.26038846373558044,0.24092409014701843
H2,leo_clear_weak,4,17319,0.3084907829761505,0.22599457204341888
H2,leo_clear_weak,5,26417,0.3642469048500061,0.17606087028980255
H2,leo_clear_weak,6,13342,0.43019363284111023,0.33308351039886475
H2,leo_clear_weak,7,10097,0.4995540380477905,0.4471625089645386
H2,leo_clear_weak,8,9123,0.5664826035499573,0.5097007751464844
H2,leo_clear_weak,9,9148,0.6336039304733276,0.551923930644989
H2,leo_clear_weak,10,9166,0.70034259557724,0.598734438419342
H2,leo_clear_weak,11,9919,0.7668969631195068,0.6390765309333801
H2,leo_clear_weak,12,11348,0.8344321250915527,0.6777405738830566
H2,leo_clear_weak,13,15198,0.9019048810005188,0.7249637842178345
H2,leo_clear_weak,14,36620,0.9791246056556702,0.8651010394096375
H2,leo_low_elev_weak,0,0,,
H2,leo_low_elev_weak,1,0,,
H2,leo_low_elev_weak,2,0,,
H2,leo_low_elev_weak,3,351,0.2600609362125397,0.2450142502784729
H2,leo_low_elev_weak,4,19343,0.30866846442222595,0.2203381061553955
