method,scene,requested_coverage,attained_coverage,risk,threshold
H0,clean,0.1,0.7611666666666667,0.15195971097000216,1.0
H0,clean,0.2,0.7611666666666667,0.15195971097000216,1.0
H0,clean,0.3,0.7611666666666667,0.15195971097000216,1.0
H0,clean,0.4,0.7611666666666667,0.15195971097000216,1.0
H0,clean,0.5,0.7611666666666667,0.15195971097000216,1.0
H0,clean,0.6,0.7611666666666667,0.15195971097000216,1.0
H0,clean,0.7,0.7611666666666667,0.15195971097000216,1.0
H0,clean,0.8,0.8015714285714286,0.16362947781144177,0.9999998807907104
H0,clean,0.9,0.9000238095238096,0.1991349435200127,0.9999444484710693
H0,clean,0.95,0.95,0.21900375939849626,0.9924127459526062
H0,clean,1.0,1.0,0.23997619047619045,0.2269621640443802
H0,leo_clear_weak,0.1,0.44205357142857143,0.19333467986265396,1.0
H0,leo_clear_weak,0.2,0.44205357142857143,0.19333467986265396,1.0
H0,leo_clear_weak,0.3,0.44205357142857143,0.19333467986265396,1.0
H0,leo_clear_weak,0.4,0.44205357142857143,0.19333467986265396,1.0
H0,leo_clear_weak,0.5,0.5603988095238095,0.2532210266923003,0.9999998807907104
H0,leo_clear_weak,0.6,0.6049940476190476,0.2752388354863783,0.9999997615814209
H0,leo_clear_weak,0.7,0.7007857142857142,0.31271871708626375,0.9999978542327881
H0,leo_clear_weak,0.8,0.8000059523809524,0.34569683261285256,0.9999206066131592
H0,leo_clear_weak,0.9,0.9,0.37563492063492065,0.9890313744544983
H0,leo_clear_weak,0.95,0.95,0.39030075187969926,0.87735915184021
H0,leo_clear_weak,1.0,1.0,0.4057678571428571,0.1666666716337204
H0,leo_low_elev_weak,0.1,0.40639285714285717,0.19552098895626446,1.0
H0,leo_low_elev_weak,0.2,0.40639285714285717,0.19552098895626446,1.0
H0,leo_low_elev_weak,0.3,0.40639285714285717,0.19552098895626446,1.0
H0,leo_low_elev_weak,0.4,0.40639285714285717,0.19552098895626446,1.0
H0,leo_low_elev_weak,0.5,0.516327380952381,0.2543721107178677,0.9999998807907104
H0,leo_low_elev_weak,0.6,0.6094404761904761,0.29752114546910713,0.9999994039535522
H0,leo_low_elev_weak,0.7,0.7000714285714286,0.33039145665408287,0.9999942779541016
H0,leo_low_elev_weak,0.8,0.8000238095238095,0.3622585637332222,0.9997655749320984
H0,leo_low_elev_weak,0.9,0.9,0.39134259259259263,0.9764040112495422
H0,leo_low_elev_weak,0.95,0.95,0.4058082706766918,0.8186590671539307
H0,leo_low_elev_weak,1.0,1.0,0.4220654761904762,0.1666666716337204
H0,leo_rain_weak,0.1,0.4079642857142857,0.19047827482564417,1.0
H0,leo_rain_weak,0.2,0.4079642857142857,0.19047827482564417,1.0
H0,leo_rain_weak,0.3,0.4079642857142857,0.19047827482564417,1.0
H0,leo_rain_weak,0.4,0.4079642857142857,0.19047827482564417,1.0
H0,leo_rain_weak,0.5,0.516547619047619,0.24973496197280476,0.9999998807907104
H0,leo_rain_weak,0.6,0.6001904761904762,0.2893922564265312,0.9999995231628418
H0,leo_rain_weak,0.7,0.700625,0.3271059003440805,0.999994158744812
H0,leo_rain_weak,0.8,0.8,0.35858630952380954,0.9997686743736267
H0,leo_rain_weak,0.9,0.9,0.388452380952381,0.9766284227371216
H0,leo_rain_weak,0.95,0.95,0.40272556390977443,0.8120025396347046
H0,leo_rain_weak,1.0,1.0,0.41864880952380956,0.1666666716337204
H1,clean,0.1,0.10256547619047619,5.803493703204765e-05,0.9999994039535522
H1,clean,0.2,0.20001190476190475,0.0005356823998571292,0.9998922348022461
H1,clean,0.3,0.3000059523809524,0.007678419078986476,0.9983780384063721
H1,clean,0.4,0.4,0.047812500000000036,0.993638813495636
H1,clean,0.5,0.5,0.08003571428571432,0.9741843342781067
H1,clean,0.6,0.6,0.1177976190476191,0.9166183471679688
H1,clean,0.7,0.7,0.15308673469387757,0.8004832863807678
H1,clean,0.8,0.8,0.17781994047619043,0.6229819655418396
H1,clean,0.9,0.9,0.21579365079365076,0.4398108422756195
H1,clean,0.95,0.95,0.24820802005012532,0.39485567808151245
H1,clean,1.0,1.0,0.27650595238095244,0.22939123213291168
H1,leo_clear_weak,0.1,0.10000595238095238,0.009880364264031938,0.9977339506149292
H1,leo_clear_weak,0.2,0.2,0.07107142857142856,0.9582130312919617
H1,leo_clear_weak,0.3,0.3,0.15696428571428567,0.8900574445724487
H1,leo_clear_weak,0.4,0.4,0.2204613095238095,0.7950239181518555
H1,leo_clear_weak,0.5,0.5,0.27055952380952386,0.6875724196434021
H1,leo_clear_weak,0.6,0.6,0.31437499999999996,0.5768923163414001
H1,leo_clear_weak,0.7,0.7,0.35806972789115643,0.4828152656555176
H1,leo_clear_weak,0.8,0.8,0.4067261904761905,0.4365435540676117
H1,leo_clear_weak,0.9,0.9,0.44727513227513227,0.40569138526916504
H1,leo_clear_weak,0.95,0.95,0.4647180451127819,0.37075987458229065
H1,leo_clear_weak,1.0,1.0,0.48080357142857144,0.22118081152439117
H1,leo_low_elev_weak,0.1,0.1,0.014821428571428541,0.9970815777778625
H1,leo_low_elev_weak,0.2,0.2,0.08357142857142852,0.9439188838005066
H1,leo_low_elev_weak,0.3,0.3,0.17619047619047623,0.8538118004798889
H1,leo_low_elev_weak,0.4,0.4,0.24257440476190473,0.7465545535087585
H1,leo_low_elev_weak,0.5,0.5,0.2929166666666667,0.636614203453064
H1,leo_low_elev_weak,0.6,0.6,0.33938492063492065,0.5363792181015015
H1,leo_low_elev_weak,0.7,0.7,0.38474489795918365,0.4609556794166565
H1,leo_low_elev_weak,0.8,0.8,0.4329464285714286,0.4302018880844116
H1,leo_low_elev_weak,0.9,0.9,0.4703439153439154,0.39927148818969727
H1,leo_low_elev_weak,0.95,0.95,0.4866604010025063,0.3657749891281128
H1,leo_low_elev_weak,1.0,1.0,0.5018154761904762,0.22500894963741302
H1,leo_rain_weak,0.1,0.1,0.015833333333333366,0.9973228573799133
H1,leo_rain_weak,0.2,0.2,0.08235119047619044,0.9452323317527771
H1,leo_rain_weak,0.3,0.3,0.17265873015873012,0.8542123436927795
H1,leo_rain_weak,0.4,0.4,0.2371875,0.7464858889579773
H1,leo_rain_weak,0.5,0.5,0.2875238095238095,0.6354308724403381
H1,leo_rain_weak,0.6,0.6,0.3348214285714286,0.5345425605773926
H1,leo_rain_weak,0.7,0.7,0.3799489795918367,0.4597896337509155
H1,leo_rain_weak,0.8,0.8,0.4292113095238095,0.42989349365234375
H1,leo_rain_weak,0.9,0.9,0.46666005291005286,0.3993459641933441
H1,leo_rain_weak,0.95,0.95,0.4827944862155389,0.3661540448665619
H1,leo_rain_weak,1.0,1.0,0.49770238095238095,0.2180478721857071
H2,clean,0.1,0.1,0.002619047619047632,0.9997820258140564
