run_id,state,last_complete_epoch,latest_action_epoch,steps,process_alive
V2_A_seed392005,completed,200,200,9800,False
V2_A_seed392006,completed,200,200,9800,False
V2_A_seed392007,completed,200,200,9800,False
V2_B_seed392005,completed,200,200,9800,False
V2_B_seed392006,completed,200,200,9800,False
V2_B_seed392007,completed,200,200,9800,False
V2_C_seed392005,completed,200,200,9800,False
V2_C_seed392006,active,198,198,9702,True
V2_C_seed392007,active,200,200,9800,True
V2_D_seed392005,active,198,199,9736,True
V2_D_seed392006,active,185,186,9113,True
V2_D_seed392007,active,182,183,8925,True
V2_E_seed392005,active,143,144,7044,True
V2_E_seed392006,active,133,134,6543,True
V2_E_seed392007,active,95,96,4664,True
V2_F_seed392005,active,93,94,4583,True
V2_F_seed392006,active,93,94,4559,True
V2_F_seed392007,active,91,92,4505,True
V2_STRONG_SOURCE_LR_LOW_seed392005,active,152,153,7468,True
V2_STRONG_SOURCE_LR_BASE_seed392005,active,141,142,6941,True
V2_STRONG_SOURCE_LR_HIGH_seed392005,active,53,53,2597,True
