seed,comparison,scene,accuracy_delta_pp,macro_f1_delta_pp
392005,B_minus_A,clean,0.1481481481481417,0.14865165637570898
392005,B_minus_A,leo_clear_weak,1.4555555555555544,1.4652359878313925
392005,B_minus_A,leo_low_elev_weak,1.1888888888888838,1.1409955537441951
392005,B_minus_A,leo_rain_weak,0.9777777777777774,0.8439954491684221
392005,B_minus_A,LEO_mean,1.207407407407405,1.1500756635813367
392006,B_minus_A,clean,-0.2851851851851883,-0.28502483259364997
392006,B_minus_A,leo_clear_weak,-0.129629629629624,-0.1854630994000961
392006,B_minus_A,leo_low_elev_weak,-0.9592592592592597,-1.0728639833789022
392006,B_minus_A,leo_rain_weak,-0.6629629629629652,-0.7816108052774662
392006,B_minus_A,LEO_mean,-0.5839506172839497,-0.6799792960188216
392007,B_minus_A,clean,-0.15185185185184746,-0.15168997455861088
392007,B_minus_A,leo_clear_weak,0.9925925925925894,0.9380673615025703
392007,B_minus_A,leo_low_elev_weak,1.0444444444444478,0.9758844538222067
392007,B_minus_A,leo_rain_weak,0.562962962962954,0.5642017771719687
392007,B_minus_A,LEO_mean,0.8666666666666637,0.8260511974989152
