run_id,row,seed,solver,b8_impl,lambda_adv,epochs,accepted_steps,field_evaluations,telemetry_backward_evaluations,train_seconds,peak_allocated_mib,initial_loss,final_loss,minimum_loss,mean_leo_accuracy,mean_four_accuracy,mean_leo_macro_f1,mean_four_macro_f1,pseudo_selected,unlabeled_exposures,satellite_exposures
V2_A_seed392005,V2_A,392005,simultaneous,reference,0.0,200,9800,9800,0,22154.54486143589,1339.49853515625,16.260403555266713,5.060986723218646,3.67969865215068,0.8485555555555556,0.8815462962962963,0.846516348627682,0.8800100646320249,347425,439008,815207
V2_A_seed392006,V2_A,392006,simultaneous,reference,0.0,200,9800,9800,0,22102.399664896075,1339.52294921875,16.12457057407924,4.699374383809615,3.9065286650949593,0.8661481481481481,0.894425925925926,0.8661366610527825,0.8944122608213341,343853,439008,814969
V2_A_seed392007,V2_A,392007,simultaneous,reference,0.0,200,9800,9800,0,22122.158310133033,1339.533203125,16.116028630003637,5.353733846119472,3.9604195380697447,0.847716049382716,0.8813981481481481,0.8485529122518626,0.8820242760692631,346516,439008,814870
V2_B_seed392005,V2_B,392005,simultaneous,reference,0.35,200,9800,9800,0,21764.58707645489,1339.88916015625,16.927302808177714,6.150586386116183,4.743950741631644,0.8606296296296296,0.8909722222222223,0.8580171052634954,0.8890072612498242,348053,439008,815207
V2_B_seed392006,V2_B,392006,simultaneous,reference,0.35,200,9800,9800,0,23771.24020277895,1339.91357421875,16.79227097180425,5.7314562067693595,4.9452501073175545,0.8603086419753087,0.8893333333333333,0.8593368680925944,0.8885998540197088,343114,439008,814969
V2_B_seed392007,V2_B,392007,simultaneous,reference,0.35,200,9800,9800,0,21548.109634819906,1339.923828125,16.7839700737778,6.048170084855994,4.588633946010044,0.8563827160493827,0.8875185185185185,0.8568134242268518,0.8878404351141085,346520,439008,814870
V2_C_seed392005,V2_C,392005,head_lookahead,head_grad_only,0.0,200,9800,19600,80,31239.958405363373,2261.15625,16.260403555266713,5.060986723218646,3.67969865215068,0.8485555555555556,0.8815462962962963,0.846516348627682,0.8800100646320249,347425,439008,815207
V2_C_seed392006,V2_C,392006,head_lookahead,head_grad_only,0.0,200,9800,19600,80,31880.46233562799,2260.8154296875,16.12457057407924,4.699374383809615,3.9065286650949593,0.8661481481481481,0.894425925925926,0.8661366610527825,0.8944122608213341,343853,439008,814969
V2_C_seed392007,V2_C,392007,head_lookahead,head_grad_only,0.0,200,9800,19600,80,31193.622698124964,2260.92822265625,16.116028630003637,5.353733846119472,3.9604195380697447,0.847716049382716,0.8813981481481481,0.8485529122518626,0.8820242760692631,346516,439008,814870
V2_D_seed392005,V2_D,392005,head_lookahead,head_grad_only,0.35,200,9800,19600,160,31222.096017823555,2263.0966796875,16.926921221674704,6.146010491312767,4.7284868542028935,0.8380493827160493,0.8742962962962962,0.8330114375798049,0.8705144152522412,348206,439008,815207
