comparison,seed,clean_delta_pp,leo_clear_weak_delta_pp,leo_low_elev_weak_delta_pp,leo_rain_weak_delta_pp,leo_delta_pp
B-A,392005,-0.21011904761903955,4.244642857142866,3.482142857142856,3.212499999999996,3.646428571428584
B-A,392006,-1.7875000000000085,-0.8404761904761915,-1.2827380952381007,-1.0839285714285718,-1.069047619047625
B-A,392007,-1.6732142857142862,0.4970238095238111,0.4130952380952402,0.5446428571428519,0.4849206349206381
C-A,392005,0.0,0.0,0.0,0.0,0.0
C-A,392006,0.0,0.0,0.0,0.0,0.0
C-A,392007,0.0,0.0,0.0,0.0,0.0
D-B,392005,-0.6773809523809571,-4.88035714285715,-4.502380952380958,-4.212499999999997,-4.531746031746042
D-B,392006,1.2232142857142914,-1.6505952380952427,-0.9744047619047569,-0.7505952380952308,-1.1251984126984027
D-B,392007,1.5767857142857111,-2.5196428571428564,-2.6321428571428607,-2.613095238095242,-2.5882936507936605
E-A,392005,1.4190476190476198,4.72678571428572,4.499404761904757,4.2875,4.504563492063496
E-A,392006,0.4077380952380971,3.0124999999999957,2.7928571428571414,3.17440476190477,2.9932539682539727
E-A,392007,-5.4470238095238095,2.347619047619054,2.16547619047619,2.085119047619044,2.1994047619047663
F-B,392005,1.2249999999999983,-0.1535714285714307,0.16845238095237747,0.42202380952380825,0.14563492063490724
F-B,392006,3.560714285714295,5.057738095238095,5.220238095238095,5.08035714285715,5.119444444444454
F-B,392007,1.717261904761902,2.487499999999998,2.4613095238095184,2.467857142857144,2.472222222222209
F-E,392005,-0.404166666666661,-0.6357142857142839,-0.8488095238095239,-0.6529761904761955,-0.7125000000000048
F-E,392006,1.3654761904761892,1.2047619047619085,1.1446428571428524,0.8220238095238086,1.0571428571428565
F-E,392007,5.491071428571425,0.6369047619047552,0.7089285714285687,0.9273809523809518,0.7577380952380808
