run_id,scene,truth,prediction,count
V2_A_seed392005,clean,0,0,24432
V2_A_seed392005,clean,0,1,951
V2_A_seed392005,clean,0,2,176
V2_A_seed392005,clean,0,3,2389
V2_A_seed392005,clean,0,4,38
V2_A_seed392005,clean,0,5,14
V2_A_seed392005,clean,1,0,351
V2_A_seed392005,clean,1,1,16276
V2_A_seed392005,clean,1,2,90
V2_A_seed392005,clean,1,3,11099
V2_A_seed392005,clean,1,4,164
V2_A_seed392005,clean,1,5,20
V2_A_seed392005,clean,2,0,357
V2_A_seed392005,clean,2,1,2691
V2_A_seed392005,clean,2,2,19253
V2_A_seed392005,clean,2,3,667
V2_A_seed392005,clean,2,4,685
V2_A_seed392005,clean,2,5,4347
V2_A_seed392005,clean,3,0,1048
V2_A_seed392005,clean,3,1,8241
V2_A_seed392005,clean,3,2,158
V2_A_seed392005,clean,3,3,18452
V2_A_seed392005,clean,3,4,47
V2_A_seed392005,clean,3,5,54
V2_A_seed392005,clean,4,0,3
V2_A_seed392005,clean,4,1,3
V2_A_seed392005,clean,4,2,12
V2_A_seed392005,clean,4,3,2
V2_A_seed392005,clean,4,4,27972
V2_A_seed392005,clean,4,5,8
V2_A_seed392005,clean,5,0,24
V2_A_seed392005,clean,5,1,32
V2_A_seed392005,clean,5,2,67
V2_A_seed392005,clean,5,3,19
V2_A_seed392005,clean,5,4,5044
V2_A_seed392005,clean,5,5,22814
V2_A_seed392005,leo_clear_weak,0,0,11768
V2_A_seed392005,leo_clear_weak,0,1,5866
V2_A_seed392005,leo_clear_weak,0,2,416
V2_A_seed392005,leo_clear_weak,0,3,9216
V2_A_seed392005,leo_clear_weak,0,4,699
V2_A_seed392005,leo_clear_weak,0,5,35
V2_A_seed392005,leo_clear_weak,1,0,340
V2_A_seed392005,leo_clear_weak,1,1,12496
V2_A_seed392005,leo_clear_weak,1,2,67
V2_A_seed392005,leo_clear_weak,1,3,13964
V2_A_seed392005,leo_clear_weak,1,4,1097
V2_A_seed392005,leo_clear_weak,1,5,36
V2_A_seed392005,leo_clear_weak,2,0,643
V2_A_seed392005,leo_clear_weak,2,1,2850
V2_A_seed392005,leo_clear_weak,2,2,13642
V2_A_seed392005,leo_clear_weak,2,3,1447
V2_A_seed392005,leo_clear_weak,2,4,5270
V2_A_seed392005,leo_clear_weak,2,5,4148
V2_A_seed392005,leo_clear_weak,3,0,1020
V2_A_seed392005,leo_clear_weak,3,1,8448
V2_A_seed392005,leo_clear_weak,3,2,930
V2_A_seed392005,leo_clear_weak,3,3,16383
V2_A_seed392005,leo_clear_weak,3,4,980
V2_A_seed392005,leo_clear_weak,3,5,239
V2_A_seed392005,leo_clear_weak,4,0,14
V2_A_seed392005,leo_clear_weak,4,1,1604
V2_A_seed392005,leo_clear_weak,4,2,105
V2_A_seed392005,leo_clear_weak,4,3,708
V2_A_seed392005,leo_clear_weak,4,4,25548
V2_A_seed392005,leo_clear_weak,4,5,21
V2_A_seed392005,leo_clear_weak,5,0,28
V2_A_seed392005,leo_clear_weak,5,1,209
V2_A_seed392005,leo_clear_weak,5,2,244
V2_A_seed392005,leo_clear_weak,5,3,25
V2_A_seed392005,leo_clear_weak,5,4,4872
V2_A_seed392005,leo_clear_weak,5,5,22622
V2_A_seed392005,leo_low_elev_weak,0,0,11797
V2_A_seed392005,leo_low_elev_weak,0,1,6000
V2_A_seed392005,leo_low_elev_weak,0,2,525
V2_A_seed392005,leo_low_elev_weak,0,3,8515
V2_A_seed392005,leo_low_elev_weak,0,4,1116
V2_A_seed392005,leo_low_elev_weak,0,5,47
V2_A_seed392005,leo_low_elev_weak,1,0,561
V2_A_seed392005,leo_low_elev_weak,1,1,12304
V2_A_seed392005,leo_low_elev_weak,1,2,92
V2_A_seed392005,leo_low_elev_weak,1,3,13302
V2_A_seed392005,leo_low_elev_weak,1,4,1705
V2_A_seed392005,leo_low_elev_weak,1,5,36
V2_A_seed392005,leo_low_elev_weak,2,0,841
V2_A_seed392005,leo_low_elev_weak,2,1,2935
V2_A_seed392005,leo_low_elev_weak,2,2,13018
V2_A_seed392005,leo_low_elev_weak,2,3,1445
V2_A_seed392005,leo_low_elev_weak,2,4,5310
V2_A_seed392005,leo_low_elev_weak,2,5,4451
V2_A_seed392005,leo_low_elev_weak,3,0,1488
V2_A_seed392005,leo_low_elev_weak,3,1,8217
V2_A_seed392005,leo_low_elev_weak,3,2,1028
V2_A_seed392005,leo_low_elev_weak,3,3,15275
V2_A_seed392005,leo_low_elev_weak,3,4,1703
V2_A_seed392005,leo_low_elev_weak,3,5,289
V2_A_seed392005,leo_low_elev_weak,4,0,36
V2_A_seed392005,leo_low_elev_weak,4,1,1802
V2_A_seed392005,leo_low_elev_weak,4,2,127
V2_A_seed392005,leo_low_elev_weak,4,3,973
V2_A_seed392005,leo_low_elev_weak,4,4,25030
V2_A_seed392005,leo_low_elev_weak,4,5,32
V2_A_seed392005,leo_low_elev_weak,5,0,78
V2_A_seed392005,leo_low_elev_weak,5,1,205
V2_A_seed392005,leo_low_elev_weak,5,2,288
V2_A_seed392005,leo_low_elev_weak,5,3,39
V2_A_seed392005,leo_low_elev_weak,5,4,4462
V2_A_seed392005,leo_low_elev_weak,5,5,22928
V2_A_seed392005,leo_rain_weak,0,0,12412
V2_A_seed392005,leo_rain_weak,0,1,5989
V2_A_seed392005,leo_rain_weak,0,2,501
V2_A_seed392005,leo_rain_weak,0,3,7956
V2_A_seed392005,leo_rain_weak,0,4,1100
V2_A_seed392005,leo_rain_weak,0,5,42
V2_A_seed392005,leo_rain_weak,1,0,801
V2_A_seed392005,leo_rain_weak,1,1,12199
V2_A_seed392005,leo_rain_weak,1,2,98
V2_A_seed392005,leo_rain_weak,1,3,12981
V2_A_seed392005,leo_rain_weak,1,4,1882
V2_A_seed392005,leo_rain_weak,1,5,39
V2_A_seed392005,leo_rain_weak,2,0,836
V2_A_seed392005,leo_rain_weak,2,1,2784
V2_A_seed392005,leo_rain_weak,2,2,13121
V2_A_seed392005,leo_rain_weak,2,3,1409
V2_A_seed392005,leo_rain_weak,2,4,5145
V2_A_seed392005,leo_rain_weak,2,5,4705
V2_A_seed392005,leo_rain_weak,3,0,1870
V2_A_seed392005,leo_rain_weak,3,1,8553
V2_A_seed392005,leo_rain_weak,3,2,979
V2_A_seed392005,leo_rain_weak,3,3,14380
V2_A_seed392005,leo_rain_weak,3,4,1927
V2_A_seed392005,leo_rain_weak,3,5,291
V2_A_seed392005,leo_rain_weak,4,0,43
V2_A_seed392005,leo_rain_weak,4,1,1833
V2_A_seed392005,leo_rain_weak,4,2,146
V2_A_seed392005,leo_rain_weak,4,3,968
V2_A_seed392005,leo_rain_weak,4,4,24967
V2_A_seed392005,leo_rain_weak,4,5,43
V2_A_seed392005,leo_rain_weak,5,0,63
V2_A_seed392005,leo_rain_weak,5,1,180
V2_A_seed392005,leo_rain_weak,5,2,290
V2_A_seed392005,leo_rain_weak,5,3,32
V2_A_seed392005,leo_rain_weak,5,4,4398
V2_A_seed392005,leo_rain_weak,5,5,23037
V2_A_seed392006,clean,0,0,26937
V2_A_seed392006,clean,0,1,143
V2_A_seed392006,clean,0,2,133
V2_A_seed392006,clean,0,3,694
V2_A_seed392006,clean,0,4,87
V2_A_seed392006,clean,0,5,6
V2_A_seed392006,clean,1,0,1018
V2_A_seed392006,clean,1,1,9669
V2_A_seed392006,clean,1,2,24
V2_A_seed392006,clean,1,3,17125
V2_A_seed392006,clean,1,4,156
V2_A_seed392006,clean,1,5,8
V2_A_seed392006,clean,2,0,1545
V2_A_seed392006,clean,2,1,2498
V2_A_seed392006,clean,2,2,19389
V2_A_seed392006,clean,2,3,545
V2_A_seed392006,clean,2,4,830
V2_A_seed392006,clean,2,5,3193
V2_A_seed392006,clean,3,0,3757
V2_A_seed392006,clean,3,1,6683
V2_A_seed392006,clean,3,2,611
V2_A_seed392006,clean,3,3,16817
V2_A_seed392006,clean,3,4,31
V2_A_seed392006,clean,3,5,101
V2_A_seed392006,clean,4,0,9
V2_A_seed392006,clean,4,1,6
V2_A_seed392006,clean,4,2,11
V2_A_seed392006,clean,4,3,23
V2_A_seed392006,clean,4,4,27945
V2_A_seed392006,clean,4,5,6
V2_A_seed392006,clean,5,0,38
V2_A_seed392006,clean,5,1,838
V2_A_seed392006,clean,5,2,155
V2_A_seed392006,clean,5,3,15
V2_A_seed392006,clean,5,4,1181
V2_A_seed392006,clean,5,5,25773
V2_A_seed392006,leo_clear_weak,0,0,17939
V2_A_seed392006,leo_clear_weak,0,1,3274
V2_A_seed392006,leo_clear_weak,0,2,208
V2_A_seed392006,leo_clear_weak,0,3,6189
V2_A_seed392006,leo_clear_weak,0,4,375
V2_A_seed392006,leo_clear_weak,0,5,15
V2_A_seed392006,leo_clear_weak,1,0,1786
V2_A_seed392006,leo_clear_weak,1,1,8071
V2_A_seed392006,leo_clear_weak,1,2,122
V2_A_seed392006,leo_clear_weak,1,3,17410
V2_A_seed392006,leo_clear_weak,1,4,603
