state,scenario,role,tx,count,accuracy,job_id,receiver,seed,k_shot,new_class_count
before,leo_clear_weak,target_old,14-10,20,0.85,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_clear_weak,target_old,14-7,20,0.9,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_clear_weak,target_old,20-15,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_clear_weak,target_old,20-19,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_clear_weak,target_old,6-15,20,0.95,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_clear_weak,target_old,8-20,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_low_elev_weak,target_old,14-10,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_low_elev_weak,target_old,14-7,20,0.85,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_low_elev_weak,target_old,20-15,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_low_elev_weak,target_old,20-19,20,0.9,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_low_elev_weak,target_old,6-15,20,0.9,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_low_elev_weak,target_old,8-20,20,0.95,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_rain_weak,target_old,14-10,20,0.9,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_rain_weak,target_old,14-7,20,0.75,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_rain_weak,target_old,20-15,20,0.9,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_rain_weak,target_old,20-19,20,0.95,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_rain_weak,target_old,6-15,20,0.85,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
before,leo_rain_weak,target_old,8-20,20,0.9,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_new,1-16,20,0.95,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_new,1-18,20,0.7,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_new,14-11,20,0.75,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_new,18-10,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_new,8-3,20,0.95,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_old,14-10,20,0.75,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_old,14-7,20,0.65,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_old,20-15,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_old,20-19,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_old,6-15,20,0.8,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_clear_weak,target_old,8-20,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_low_elev_weak,target_new,1-16,20,1.0,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_low_elev_weak,target_new,1-18,20,0.6,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_low_elev_weak,target_new,14-11,20,0.6,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
after,leo_low_elev_weak,target_new,18-10,20,0.6,rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5
