receiver,k_shot,new_class_count,row_count,b_old_acc_mean,b_old_acc_min,c_old_acc_mean,c_old_acc_min,b_old_floor_mean,b_old_floor_min,c_old_floor_mean,c_old_floor_min,seen_new_acc_mean,seen_new_acc_min,h_old_new_mean,h_old_new_min,average_forgetting_mean,average_forgetting_min,old_adaptation_gain_mean,old_adaptation_gain_min
20-1,1,20,15,0.6649999999999999,0.5333333333333333,0.38055555555555554,0.26666666666666666,0.26666666666666666,0.0,0.06666666666666667,0.0,0.2758333333333333,0.235,0.31640310904963875,0.26832298136645966,0.28444444444444444,0.17500000000000004,-0.28444444444444444,-0.375
20-1,5,20,15,0.8388888888888889,0.7416666666666667,0.6199999999999999,0.4666666666666667,0.6666666666666666,0.35,0.33666666666666667,0.15,0.5878333333333334,0.52,0.6021855194011897,0.5028006589785832,0.2188888888888889,0.09166666666666667,-0.2188888888888889,-0.30000000000000004
20-1,10,5,15,0.8916666666666667,0.7583333333333333,0.7972222222222223,0.7083333333333334,0.7333333333333333,0.45,0.5566666666666666,0.3,0.7913333333333334,0.66,0.792917577449344,0.6833130328867235,0.09444444444444443,0.02499999999999991,-0.09444444444444443,-0.16666666666666663
20-1,10,10,15,0.8916666666666667,0.7583333333333333,0.7538888888888889,0.6333333333333333,0.7333333333333333,0.45,0.5066666666666666,0.35,0.721,0.57,0.7362304344432914,0.6,0.1377777777777778,0.050000000000000044,-0.1377777777777778,-0.20833333333333337
20-1,10,20,15,0.8916666666666667,0.7583333333333333,0.7222222222222222,0.625,0.7333333333333333,0.45,0.4666666666666667,0.25,0.6783333333333333,0.585,0.6984528293115554,0.6161257606490873,0.16944444444444443,0.016666666666666607,-0.16944444444444443,-0.25
3-19,1,20,15,0.4961111111111111,0.3,0.29222222222222227,0.1,0.14,0.0,0.030000000000000002,0.0,0.1408333333333333,0.1075,0.1847491071012023,0.12,0.20388888888888887,0.125,-0.20388888888888887,-0.3
3-19,5,20,15,0.6688888888888889,0.5583333333333333,0.5155555555555555,0.43333333333333335,0.3,0.15,0.14333333333333334,0.05,0.383,0.305,0.43777461024604747,0.3662663755458515,0.15333333333333335,0.07499999999999996,-0.15333333333333335,-0.21666666666666667
3-19,10,5,15,0.7333333333333333,0.6416666666666667,0.6161111111111112,0.525,0.45,0.3,0.2833333333333333,0.15,0.45466666666666666,0.33,0.5203989491625733,0.4339100346020761,0.11722222222222224,0.050000000000000044,-0.11722222222222224,-0.17500000000000004
3-19,10,10,15,0.7333333333333333,0.6416666666666667,0.5716666666666667,0.5083333333333333,0.45,0.3,0.22666666666666666,0.15,0.43533333333333335,0.34,0.492104314989343,0.4074656188605108,0.16166666666666668,0.09999999999999998,-0.16166666666666668,-0.25
3-19,10,20,15,0.7333333333333333,0.6416666666666667,0.5588888888888889,0.48333333333333334,0.45,0.3,0.20666666666666667,0.1,0.49416666666666664,0.4125,0.5231430540044283,0.46199999999999997,0.17444444444444446,0.1166666666666667,-0.17444444444444446,-0.24166666666666664
7-14,1,20,15,0.7916666666666666,0.6333333333333333,0.5172222222222221,0.35,0.39333333333333337,0.0,0.06333333333333332,0.0,0.3125,0.26,0.38545228819388994,0.3156862745098039,0.27444444444444444,0.15833333333333333,-0.27444444444444444,-0.44166666666666665
7-14,5,20,15,0.8194444444444444,0.7166666666666667,0.586111111111111,0.49166666666666664,0.4966666666666667,0.15,0.21666666666666667,0.05,0.667,0.565,0.6223092242302722,0.5257886435331229,0.23333333333333334,0.1416666666666666,-0.23333333333333334,-0.35000000000000003
7-14,10,5,15,0.8627777777777778,0.7833333333333333,0.7705555555555555,0.6333333333333333,0.5833333333333334,0.25,0.46,0.15,0.8119999999999999,0.68,0.7887086183166673,0.6967741935483871,0.09222222222222222,0.008333333333333304,-0.09222222222222222,-0.17500000000000004
7-14,10,10,15,0.8627777777777778,0.7833333333333333,0.7211111111111111,0.55,0.5833333333333334,0.25,0.38666666666666666,0.1,0.7253333333333334,0.635,0.7220635814019201,0.6061224489795919,0.14166666666666666,0.06666666666666665,-0.14166666666666666,-0.24166666666666659
7-14,10,20,15,0.8627777777777778,0.7833333333333333,0.685,0.5666666666666667,0.5833333333333334,0.25,0.35666666666666663,0.1,0.744,0.655,0.7120573417450308,0.6222811671087533,0.17777777777777778,0.07499999999999996,-0.17777777777777778,-0.2583333333333334
7-7,1,20,15,0.7561111111111111,0.6333333333333333,0.5205555555555555,0.2833333333333333,0.37,0.05,0.11000000000000001,0.0,0.3203333333333333,0.245,0.39064624817219346,0.3161248374512353,0.23555555555555555,0.1499999999999999,-0.23555555555555555,-0.4083333333333333
7-7,5,20,15,0.9116666666666667,0.8416666666666667,0.7133333333333333,0.55,0.7066666666666667,0.3,0.38,0.1,0.6631666666666667,0.575,0.6857112315912004,0.5872881355932204,0.19833333333333333,0.09166666666666667,-0.19833333333333333,-0.31666666666666665
7-7,10,5,15,0.9577777777777778,0.8833333333333333,0.8655555555555555,0.7833333333333333,0.8666666666666667,0.65,0.6266666666666667,0.5,0.8133333333333332,0.71,0.8374353878733195,0.766304347826087,0.09222222222222222,0.025000000000000022,-0.09222222222222222,-0.15000000000000002
7-7,10,10,15,0.9577777777777778,0.8833333333333333,0.8211111111111111,0.7166666666666667,0.8666666666666667,0.65,0.52,0.35,0.7193333333333334,0.615,0.7659537484956206,0.6791868932038835,0.13666666666666666,0.07499999999999996,-0.13666666666666666,-0.21666666666666667
7-7,10,20,15,0.9577777777777778,0.8833333333333333,0.7938888888888889,0.6666666666666666,0.8666666666666667,0.65,0.4633333333333333,0.25,0.7581666666666667,0.6925,0.7747633790077966,0.6957561267184699,0.16388888888888886,0.07499999999999996,-0.16388888888888886,-0.2583333333333333
8-8,1,20,15,0.6983333333333334,0.48333333333333334,0.4911111111111111,0.3416666666666667,0.24333333333333335,0.05,0.04,0.0,0.308,0.2475,0.37430650108474794,0.3107188703465982,0.20722222222222222,0.09166666666666667,-0.20722222222222222,-0.31666666666666665
8-8,5,20,15,0.8244444444444444,0.7166666666666667,0.635,0.5583333333333333,0.48666666666666664,0.2,0.26333333333333336,0.05,0.6636666666666666,0.5525,0.6481408410012761,0.5714129643117262,0.18944444444444444,0.08333333333333337,-0.18944444444444444,-0.2666666666666666
8-8,10,5,15,0.86,0.7666666666666667,0.7666666666666667,0.65,0.5866666666666667,0.35,0.4666666666666667,0.25,0.8093333333333333,0.62,0.7839664028305457,0.7017502917152859,0.09333333333333331,0.016666666666666607,-0.09333333333333331,-0.19999999999999996
8-8,10,10,15,0.86,0.7666666666666667,0.7088888888888889,0.5833333333333334,0.5866666666666667,0.35,0.36666666666666664,0.05,0.7336666666666666,0.635,0.7188921876522651,0.6214953271028036,0.1511111111111111,0.05833333333333335,-0.1511111111111111,-0.2666666666666666
8-8,10,20,15,0.86,0.7666666666666667,0.6755555555555556,0.575,0.5866666666666667,0.35,0.31666666666666665,0.05,0.7655,0.6475,0.7161808356131428,0.6283037475345167,0.18444444444444444,0.125,-0.18444444444444444,-0.275
