job_id,receiver,seed,k_shot,new_class_count,scenario,b_old_acc,c_old_acc,b_old_floor,c_old_floor,seen_new_acc,h_old_new,average_forgetting,old_adaptation_gain,direct_adv3b02_status,direct_adv3b02_old_acc,delta_vs_direct_ADV3B02_K1
rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5,leo_clear_weak,0.95,0.8666666666666667,0.85,0.65,0.87,0.8683301343570057,0.08333333333333326,-0.08333333333333326,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5,leo_low_elev_weak,0.9333333333333333,0.825,0.85,0.65,0.72,0.7689320388349514,0.10833333333333339,-0.10833333333333339,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_10__new_5,20-1,713102,10,5,leo_rain_weak,0.875,0.7083333333333334,0.75,0.35,0.78,0.7424412094064952,0.16666666666666663,-0.16666666666666663,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_10__new_10,20-1,713102,10,10,leo_clear_weak,0.95,0.8416666666666667,0.85,0.6,0.81,0.8255297679112008,0.10833333333333328,-0.10833333333333328,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_10__new_10,20-1,713102,10,10,leo_low_elev_weak,0.9333333333333333,0.775,0.85,0.5,0.655,0.7099650349650348,0.15833333333333333,-0.15833333333333333,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_10__new_10,20-1,713102,10,10,leo_rain_weak,0.875,0.7083333333333334,0.75,0.45,0.715,0.7116510538641686,0.16666666666666663,-0.16666666666666663,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_10__new_20,20-1,713102,10,20,leo_clear_weak,0.95,0.8083333333333333,0.85,0.65,0.75,0.7780748663101603,0.1416666666666666,-0.1416666666666666,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_10__new_20,20-1,713102,10,20,leo_low_elev_weak,0.9333333333333333,0.7416666666666667,0.85,0.45,0.66,0.6984542211652794,0.19166666666666665,-0.19166666666666665,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_10__new_20,20-1,713102,10,20,leo_rain_weak,0.875,0.625,0.75,0.35,0.63,0.6274900398406374,0.25,-0.25,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_5__new_20,20-1,713102,5,20,leo_clear_weak,0.9,0.8083333333333333,0.8,0.55,0.7,0.7502762430939226,0.09166666666666667,-0.09166666666666667,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_5__new_20,20-1,713102,5,20,leo_low_elev_weak,0.8916666666666667,0.6333333333333333,0.8,0.15,0.63,0.6316622691292876,0.2583333333333334,-0.2583333333333334,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_5__new_20,20-1,713102,5,20,leo_rain_weak,0.7416666666666667,0.5666666666666667,0.55,0.25,0.5625,0.5645756457564576,0.17500000000000004,-0.17500000000000004,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_1__new_20,20-1,713102,1,20,leo_clear_weak,0.65,0.35,0.2,0.1,0.2875,0.3156862745098039,0.30000000000000004,-0.30000000000000004,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_1__new_20,20-1,713102,1,20,leo_low_elev_weak,0.675,0.475,0.35,0.2,0.26,0.3360544217687075,0.20000000000000007,-0.20000000000000007,MISSING_NOT_RUN,,
rx_20_1__seed_713102__k_1__new_20,20-1,713102,1,20,leo_rain_weak,0.7416666666666667,0.45,0.55,0.25,0.285,0.3489795918367347,0.2916666666666667,-0.2916666666666667,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_5,20-1,713103,10,5,leo_clear_weak,0.925,0.8916666666666667,0.75,0.75,0.87,0.8807000946073794,0.033333333333333326,-0.033333333333333326,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_5,20-1,713103,10,5,leo_low_elev_weak,0.7583333333333333,0.7166666666666667,0.45,0.3,0.82,0.7648590021691974,0.04166666666666663,-0.04166666666666663,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_5,20-1,713103,10,5,leo_rain_weak,0.825,0.7083333333333334,0.65,0.5,0.66,0.6833130328867235,0.11666666666666659,-0.11666666666666659,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_10,20-1,713103,10,10,leo_clear_weak,0.925,0.875,0.75,0.75,0.815,0.8439349112426036,0.050000000000000044,-0.050000000000000044,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_10,20-1,713103,10,10,leo_low_elev_weak,0.7583333333333333,0.6916666666666667,0.45,0.35,0.735,0.7126752336448599,0.06666666666666665,-0.06666666666666665,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_10,20-1,713103,10,10,leo_rain_weak,0.825,0.6333333333333333,0.65,0.5,0.57,0.6,0.19166666666666665,-0.19166666666666665,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_20,20-1,713103,10,20,leo_clear_weak,0.925,0.8583333333333333,0.75,0.7,0.725,0.7860526315789473,0.06666666666666676,-0.06666666666666676,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_20,20-1,713103,10,20,leo_low_elev_weak,0.7583333333333333,0.65,0.45,0.25,0.7125,0.6798165137614679,0.10833333333333328,-0.10833333333333328,MISSING_NOT_RUN,,
rx_20_1__seed_713103__k_10__new_20,20-1,713103,10,20,leo_rain_weak,0.825,0.625,0.65,0.45,0.6075,0.6161257606490873,0.19999999999999996,-0.19999999999999996,MISSING_NOT_RUN,,
