outer_key,arm_id,tx,candidate_accuracy,e0_accuracy,delta_accuracy,historical_baseline_accuracy,historical_delta_accuracy
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-10,0.8666666666666667,0.7833333333333333,0.08333333333333337,0.7666666666666667,0.016666666666666607
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-7,0.15,0.4166666666666667,-0.2666666666666667,0.48333333333333334,-0.06666666666666665
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-15,0.6333333333333333,0.9166666666666666,-0.2833333333333333,0.9,0.016666666666666607
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-19,0.8333333333333334,0.75,0.08333333333333337,0.7666666666666667,-0.01666666666666672
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,6-15,0.5833333333333334,0.7666666666666667,-0.18333333333333335,0.75,0.01666666666666672
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-20,0.3333333333333333,0.9,-0.5666666666666667,0.9166666666666666,-0.016666666666666607
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-10,0.6833333333333333,0.8166666666666667,-0.1333333333333333,0.85,-0.033333333333333326
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-7,0.48333333333333334,0.5333333333333333,-0.04999999999999999,0.5666666666666667,-0.033333333333333326
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-15,0.6833333333333333,0.9833333333333333,-0.29999999999999993,0.9833333333333333,0.0
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-19,0.65,0.8333333333333334,-0.18333333333333335,0.9166666666666666,-0.08333333333333326
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,6-15,0.5833333333333334,0.7166666666666667,-0.1333333333333333,0.8,-0.08333333333333337
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-20,0.35,0.9833333333333333,-0.6333333333333333,0.9833333333333333,0.0
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-10,0.36666666666666664,0.7333333333333333,-0.36666666666666664,0.7666666666666667,-0.03333333333333344
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-7,0.21666666666666667,0.4666666666666667,-0.25,0.48333333333333334,-0.016666666666666663
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-15,0.18333333333333332,0.9833333333333333,-0.7999999999999999,0.9833333333333333,0.0
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-19,0.13333333333333333,0.2833333333333333,-0.15,0.35,-0.06666666666666665
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,6-15,0.23333333333333334,0.55,-0.3166666666666667,0.5,0.050000000000000044
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-20,0.7666666666666667,1.0,-0.23333333333333328,1.0,0.0
rx_8_8__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-10,0.31666666666666665,0.8333333333333334,-0.5166666666666667,0.8333333333333334,0.0
rx_8_8__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-7,0.45,0.5333333333333333,-0.08333333333333331,0.6,-0.06666666666666665
rx_8_8__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-15,0.31666666666666665,0.9833333333333333,-0.6666666666666666,0.9833333333333333,0.0
rx_8_8__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-19,0.1,0.6,-0.5,0.6,0.0
rx_8_8__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,6-15,0.13333333333333333,0.65,-0.5166666666666667,0.6666666666666666,-0.016666666666666607
rx_8_8__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-20,0.36666666666666664,1.0,-0.6333333333333333,1.0,0.0
rx_8_8__seed_713106__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-10,0.13333333333333333,0.6,-0.4666666666666667,0.6,0.0
rx_8_8__seed_713106__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-7,0.3,0.4,-0.10000000000000003,0.4666666666666667,-0.06666666666666665
rx_8_8__seed_713106__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-15,0.38333333333333336,0.95,-0.5666666666666667,0.9666666666666667,-0.01666666666666672
rx_8_8__seed_713106__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-19,0.15,0.36666666666666664,-0.21666666666666665,0.4,-0.03333333333333338
rx_8_8__seed_713106__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,6-15,0.08333333333333333,0.5,-0.4166666666666667,0.5166666666666667,-0.01666666666666672
rx_8_8__seed_713106__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-20,0.8,1.0,-0.19999999999999996,1.0,0.0
rx_7_14__seed_713104__k_10__new_10,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-10,0.5,0.7666666666666667,-0.2666666666666667,0.7333333333333333,0.03333333333333344
rx_7_14__seed_713104__k_10__new_10,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-7,0.35,0.48333333333333334,-0.13333333333333336,0.5333333333333333,-0.04999999999999999
rx_7_14__seed_713104__k_10__new_10,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-15,0.8833333333333333,0.9833333333333333,-0.09999999999999998,0.9833333333333333,0.0
rx_7_14__seed_713104__k_10__new_10,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-19,0.11666666666666667,0.3333333333333333,-0.21666666666666665,0.38333333333333336,-0.050000000000000044
rx_7_14__seed_713104__k_10__new_10,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,6-15,0.5833333333333334,0.8166666666666667,-0.23333333333333328,0.8166666666666667,0.0
rx_7_14__seed_713104__k_10__new_10,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-20,0.7166666666666667,1.0,-0.2833333333333333,1.0,0.0
rx_3_19__seed_713102__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-10,0.45,0.4666666666666667,-0.016666666666666663,0.4666666666666667,0.0
rx_3_19__seed_713102__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-7,0.03333333333333333,0.4,-0.3666666666666667,0.38333333333333336,0.016666666666666663
rx_3_19__seed_713102__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-15,0.95,0.95,0.0,0.95,0.0
rx_3_19__seed_713102__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-19,0.1,0.3,-0.19999999999999998,0.2833333333333333,0.016666666666666663
rx_3_19__seed_713102__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,6-15,0.31666666666666665,0.4,-0.08333333333333337,0.4,0.0
rx_3_19__seed_713102__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,8-20,0.9833333333333333,1.0,-0.01666666666666672,1.0,0.0
rx_7_7__seed_713105__k_10__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-10,0.8333333333333334,0.95,-0.11666666666666659,0.95,0.0
rx_7_7__seed_713105__k_10__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,14-7,0.6,0.5,0.09999999999999998,0.55,-0.050000000000000044
rx_7_7__seed_713105__k_10__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,20-15,0.7333333333333333,0.95,-0.21666666666666667,0.9666666666666667,-0.01666666666666672
