receiver,k_shot,new_class_count,row_count,b_old_acc_mean,b_old_acc_min,c_old_acc_mean,c_old_acc_min,b_old_floor_mean,b_old_floor_min,c_old_floor_mean,c_old_floor_min,seen_new_acc_mean,seen_new_acc_min,h_old_new_mean,h_old_new_min,average_forgetting_mean,average_forgetting_min,old_adaptation_gain_mean,old_adaptation_gain_min
20-1,1,20,15,0.6649999999999999,0.5333333333333333,0.38055555555555554,0.26666666666666666,0.26666666666666666,0.0,0.06666666666666667,0.0,0.2758333333333333,0.235,0.31640310904963875,0.26832298136645966,0.28444444444444444,0.17500000000000004,-0.28444444444444444,-0.375
20-1,5,20,15,0.8388888888888889,0.7416666666666667,0.638888888888889,0.49166666666666664,0.6666666666666666,0.35,0.35666666666666663,0.15,0.5831666666666667,0.51,0.6085027559473656,0.5203112529928172,0.20000000000000004,0.09166666666666667,-0.20000000000000004,-0.2833333333333333
20-1,10,5,15,0.8916666666666667,0.7583333333333333,0.7922222222222222,0.7,0.7333333333333333,0.45,0.5399999999999999,0.25,0.7959999999999999,0.66,0.7928806579390103,0.6833130328867235,0.09944444444444443,0.02499999999999991,-0.09944444444444443,-0.17500000000000004
20-1,10,10,15,0.8916666666666667,0.7583333333333333,0.7611111111111111,0.6666666666666666,0.7333333333333333,0.45,0.5066666666666667,0.25,0.7200000000000001,0.56,0.7389673959698916,0.6155495978552279,0.13055555555555556,0.033333333333333326,-0.13055555555555556,-0.18333333333333335
20-1,10,20,15,0.8916666666666667,0.7583333333333333,0.7505555555555555,0.65,0.7333333333333333,0.45,0.49333333333333335,0.25,0.6731666666666667,0.5875,0.7088532195118799,0.6264432647644327,0.1411111111111111,0.04166666666666663,-0.1411111111111111,-0.20000000000000007
3-19,1,20,15,0.4961111111111111,0.3,0.29222222222222227,0.1,0.14,0.0,0.030000000000000002,0.0,0.1408333333333333,0.1075,0.1847491071012023,0.12,0.20388888888888887,0.125,-0.20388888888888887,-0.3
3-19,5,20,15,0.6688888888888889,0.5583333333333333,0.53,0.44166666666666665,0.3,0.15,0.15666666666666668,0.05,0.3878333333333333,0.3075,0.44623630699174577,0.36534653465346534,0.1388888888888889,0.06666666666666676,-0.1388888888888889,-0.18333333333333335
3-19,10,5,15,0.7333333333333333,0.6416666666666667,0.6155555555555556,0.5333333333333333,0.45,0.3,0.29,0.15,0.45399999999999996,0.33,0.519782071188904,0.4339100346020761,0.11777777777777777,0.04166666666666663,-0.11777777777777777,-0.18333333333333335
3-19,10,10,15,0.7333333333333333,0.6416666666666667,0.5772222222222222,0.5,0.45,0.3,0.23666666666666666,0.15,0.43333333333333335,0.325,0.492868175870683,0.393939393939394,0.15611111111111112,0.09166666666666667,-0.15611111111111112,-0.25
3-19,10,20,15,0.7333333333333333,0.6416666666666667,0.5744444444444444,0.5,0.45,0.3,0.23,0.1,0.491,0.4175,0.5280647571482393,0.46511936339522547,0.1588888888888889,0.10833333333333328,-0.1588888888888889,-0.22499999999999998
7-14,1,20,15,0.7916666666666666,0.6333333333333333,0.5172222222222221,0.35,0.39333333333333337,0.0,0.06333333333333332,0.0,0.3125,0.26,0.38545228819388994,0.3156862745098039,0.27444444444444444,0.15833333333333333,-0.27444444444444444,-0.44166666666666665
7-14,5,20,15,0.8194444444444444,0.7166666666666667,0.6227777777777778,0.525,0.4966666666666667,0.15,0.27666666666666667,0.1,0.6573333333333333,0.56,0.6383157038027623,0.5419354838709678,0.19666666666666668,0.10833333333333328,-0.19666666666666668,-0.31666666666666665
7-14,10,5,15,0.8627777777777778,0.7833333333333333,0.7688888888888888,0.6166666666666667,0.5833333333333334,0.25,0.45666666666666667,0.15,0.8133333333333332,0.68,0.7878246598301663,0.6923169267707083,0.09388888888888888,0.008333333333333304,-0.09388888888888888,-0.18333333333333335
7-14,10,10,15,0.8627777777777778,0.7833333333333333,0.735,0.6,0.5833333333333334,0.25,0.4066666666666666,0.1,0.7216666666666666,0.625,0.7273354684188728,0.6330708661417324,0.1277777777777778,0.05833333333333335,-0.1277777777777778,-0.19166666666666665
7-14,10,20,15,0.8627777777777778,0.7833333333333333,0.7188888888888889,0.6,0.5833333333333334,0.25,0.4066666666666667,0.15,0.7401666666666666,0.6425,0.7280467465458772,0.6407766990291262,0.14388888888888887,0.050000000000000044,-0.14388888888888887,-0.21666666666666667
7-7,1,20,15,0.7561111111111111,0.6333333333333333,0.5205555555555555,0.2833333333333333,0.37,0.05,0.11000000000000001,0.0,0.3203333333333333,0.245,0.39064624817219346,0.3161248374512353,0.23555555555555555,0.1499999999999999,-0.23555555555555555,-0.4083333333333333
7-7,5,20,15,0.9116666666666667,0.8416666666666667,0.74,0.6,0.7066666666666667,0.3,0.41000000000000003,0.1,0.6563333333333333,0.5575,0.6942417503300747,0.6146341463414634,0.1716666666666667,0.07499999999999996,-0.1716666666666667,-0.2583333333333333
7-7,10,5,15,0.9577777777777778,0.8833333333333333,0.8638888888888889,0.775,0.8666666666666667,0.65,0.6166666666666667,0.5,0.8306666666666668,0.74,0.8461083746210408,0.7622950819672132,0.09388888888888888,0.033333333333333326,-0.09388888888888888,-0.15833333333333333
7-7,10,10,15,0.9577777777777778,0.8833333333333333,0.8338888888888889,0.7333333333333333,0.8666666666666667,0.65,0.5433333333333333,0.35,0.7136666666666667,0.6,0.7682284474463255,0.6699386503067484,0.12388888888888888,0.06666666666666665,-0.12388888888888888,-0.21666666666666667
7-7,10,20,15,0.9577777777777778,0.8833333333333333,0.8227777777777778,0.7166666666666667,0.8666666666666667,0.65,0.5333333333333333,0.25,0.7471666666666666,0.675,0.7824322064684124,0.7133177570093457,0.13499999999999998,0.07499999999999996,-0.13499999999999998,-0.2583333333333333
8-8,1,20,15,0.6983333333333334,0.48333333333333334,0.4911111111111111,0.3416666666666667,0.24333333333333335,0.05,0.04,0.0,0.308,0.2475,0.37430650108474794,0.3107188703465982,0.20722222222222222,0.09166666666666667,-0.20722222222222222,-0.31666666666666665
8-8,5,20,15,0.8244444444444444,0.7166666666666667,0.6538888888888889,0.575,0.48666666666666664,0.2,0.2866666666666667,0.1,0.6595,0.565,0.6557476694324718,0.5806312769010044,0.17055555555555557,0.07500000000000007,-0.17055555555555557,-0.2666666666666666
8-8,10,5,15,0.86,0.7666666666666667,0.7688888888888888,0.6416666666666667,0.5866666666666667,0.35,0.47,0.25,0.8126666666666666,0.63,0.7867933641848374,0.7048951048951049,0.09111111111111109,0.016666666666666607,-0.09111111111111109,-0.19166666666666665
