cohort,metric,n,mean,median,min,max,std
ADV2_14,final_overall_tx,14,86.92114845938373,86.99289215686275,85.39264705882353,88.86225490196078,1.1756587485650225
ADV2_14,final_strict_udu,14,80.08666666666669,80.16333333333333,76.30666666666667,82.75333333333333,1.8003562088188205
ADV2_14,final_receiver_floor,14,69.07142857142857,69.27916666666667,61.875,75.18333333333334,3.729341550527172
ADV2_14,final_sat_mean,14,75.97994864612512,75.58455882352942,73.89509803921568,78.58758169934642,1.6645819857314357
ADV2_14,final_sat_strict_floor,14,67.83369047619048,67.26416666666667,64.78,71.33166666666666,2.046392508424225
ADV2_14,best_joint_test_tx,14,88.02720588235294,87.84730392156862,86.15686274509804,89.99852941176471,1.1284189193770278
ADV2_14,best_joint_epoch,14,246.42857142857142,250.0,220.0,260.0,12.004577881370512
ADV2_14,final_pos_angle,14,31.690629942026963,31.668171088505705,31.09570177799634,32.57923226340186,0.3697059003823567
ADV2_14,final_p95,14,52.19514415231054,52.21811569221529,49.570269076416096,54.58802210313804,1.1987915499679669
ADV2_14,final_p99,14,75.7844040388443,75.86537793923023,72.62360710151069,78.72166451151574,1.5153063076127957
ADV2_14,final_min_inter,14,83.31069482969076,83.34306691469357,81.22071981705933,84.65472588237954,0.9557965507263239
ADV2_14,final_ow_vac_rate,14,0.017838255801125493,0.017596154231040752,0.0086538462577244,0.0300000002786803,0.006703946410677563
ADV2_14,final_proxy_auc,14,0.5679396670598249,0.5670202924655035,0.5606328129768372,0.5755867366607372,0.004640672668082006
ADV2_14,final_proxy_vac_rate,14,0.3487511610796491,0.3444185935533963,0.3049878549117308,0.3991142348601268,0.0298730901074728
ADV2_14,final_proxy_vaccept,14,0.9994505494505493,1.0,0.9980769230769232,1.0,0.0007268547557869212
ADV2_14,final_source_overflow,14,0.34420322004798226,0.33668986012081903,0.2107563105053217,0.4737926159721694,0.08121667423703423
vacuum_effective32,final_overall_tx,32,87.23468749999999,87.49000000000001,83.55,89.23,1.3853961454539683
vacuum_effective32,final_strict_udu,32,80.7046875,81.265,74.49,84.11,2.1617510590095788
vacuum_effective32,final_receiver_floor,32,70.26406250000001,70.455,65.21,75.2,2.821603135459035
vacuum_effective32,final_sat_mean,32,76.9278125,77.1,74.48,79.22,1.1907187701200168
vacuum_effective32,final_sat_strict_floor,32,68.8771875,68.945,65.2,71.11,1.4536300154352189
vacuum_effective32,best_joint_test_tx,32,88.3578125,88.25999999999999,87.22,90.44,0.7881817965132396
vacuum_effective32,best_joint_epoch,32,257.1875,257.0,220.0,296.0,22.943742558280356
vacuum_effective32,final_pos_angle,32,31.658125,31.625,30.77,32.9,0.4657317343569116
vacuum_effective32,final_p95,32,52.4153125,52.15,49.44,56.78,1.828332546117787
vacuum_effective32,final_min_inter,32,83.536875,83.57499999999999,79.1,86.02,1.2628013852976556
