ranking,rank,candidate_id,value,base,mechanism_tag
best_joint_test_tx,1,ADV2_SRCLOW_R17_E260,89.99852941176471,R17,SRCLOW
best_joint_test_tx,2,ADV2_R28_PROXYLOW_E260,89.32205882352942,R28,PROXYLOW
best_joint_test_tx,3,ADV2_TAILCV_R17_E260,89.2392156862745,R17,TAILCV
best_joint_test_tx,4,ADV2_FUSE6_R17_E260,89.12303921568628,R17,FUSE6
best_joint_test_tx,5,ADV2_FUSE5_R20_E260,88.69509803921568,R20,FUSE5
best_joint_test_tx,6,ADV2_R17_CORESTRICT_E260,88.36715686274509,R17,CORESTRICT
best_joint_test_tx,7,ADV2_R20_VACMID_E260,87.92990196078432,R20,VACMID
best_joint_test_tx,8,ADV2_T13_CONSERVE_E260,87.76470588235294,T13,CONSERVE
best_joint_test_tx,9,ADV2_T13_TAILGUARD_E260,87.60392156862746,T13,TAILGUARD
best_joint_test_tx,10,ADV2_TAILCV_R20_E260,87.34754901960784,R20,TAILCV
final_overall_tx,1,ADV2_FUSE5_R20_E260,88.86225490196078,R20,FUSE5
final_overall_tx,2,ADV2_SRCLOW_R17_E260,88.81078431372549,R17,SRCLOW
final_overall_tx,3,ADV2_R17_CORESTRICT_E260,88.06911764705882,R17,CORESTRICT
final_overall_tx,4,ADV2_TAILCV_R17_E260,87.58627450980393,R17,TAILCV
final_overall_tx,5,ADV2_FUSE6_R17_E260,87.46029411764705,R17,FUSE6
final_overall_tx,6,ADV2_R20_VACMID_E260,87.09901960784313,R20,VACMID
final_overall_tx,7,ADV2_TAILCV_R20_E260,87.00049019607843,R20,TAILCV
final_overall_tx,8,ADV2_R28_FUSE6_E260,86.98529411764706,R28,FUSE6
final_overall_tx,9,ADV2_R28_PROXYLOW_E260,86.56862745098039,R28,PROXYLOW
final_overall_tx,10,ADV2_SOURCECAP32_R20_E260,86.49901960784314,R20,SOURCECAP32
final_strict_udu,1,ADV2_SRCLOW_R17_E260,82.75333333333333,R17,SRCLOW
final_strict_udu,2,ADV2_FUSE5_R20_E260,82.485,R20,FUSE5
final_strict_udu,3,ADV2_R28_FUSE6_E260,81.75666666666666,R28,FUSE6
final_strict_udu,4,ADV2_R17_CORESTRICT_E260,81.555,R17,CORESTRICT
final_strict_udu,5,ADV2_FUSE6_R17_E260,81.18666666666667,R17,FUSE6
final_strict_udu,6,ADV2_TAILCV_R20_E260,80.42666666666666,R20,TAILCV
final_strict_udu,7,ADV2_R20_VACMID_E260,80.20666666666666,R20,VACMID
final_strict_udu,8,ADV2_SOURCECAP32_R20_E260,80.12,R20,SOURCECAP32
final_strict_udu,9,ADV2_R28_PROXYLOW_E260,79.47333333333333,R28,PROXYLOW
final_strict_udu,10,ADV2_TAILCV_R17_E260,79.28333333333333,R17,TAILCV
final_receiver_floor,1,ADV2_R28_PROXYLOW_E260,75.18333333333334,R28,PROXYLOW
final_receiver_floor,2,ADV2_SRCLOW_R17_E260,74.63333333333334,R17,SRCLOW
final_receiver_floor,3,ADV2_FUSE5_R20_E260,71.34166666666667,R20,FUSE5
final_receiver_floor,4,ADV2_R28_FUSE6_E260,71.325,R28,FUSE6
final_receiver_floor,5,ADV2_FUSE6_R17_E260,71.24166666666666,R17,FUSE6
final_receiver_floor,6,ADV2_TAILCV_R20_E260,69.61666666666666,R20,TAILCV
final_receiver_floor,7,ADV2_TAILCV_R17_E260,69.49166666666666,R17,TAILCV
final_receiver_floor,8,ADV2_R17_CORESTRICT_E260,69.06666666666666,R17,CORESTRICT
final_receiver_floor,9,ADV2_SOURCECAP32_R20_E260,69.05,R20,SOURCECAP32
final_receiver_floor,10,ADV2_R17_PROXYHI_E260,67.70833333333333,R17,PROXYHI
final_sat_strict_floor,1,ADV2_R28_FUSE6_E260,71.33166666666666,R28,FUSE6
