name,rx_idx,rx_label,day_idx,day_label,days_label,scenario,clean_acc,clean_correct,clean_total,sat_acc,sat_correct,sat_total,delta_pp
"explicit_target:rx_i,day_i_(0, 0)",0,1-1,0,2021_03_01,2021_03_01,leo_clear_weak,67.23333333333333,4034,6000,43.56666666666667,2614,6000,-23.666666666666664
"explicit_target:rx_i,day_i_(0, 1)",0,1-1,1,2021_03_08,2021_03_08,leo_clear_weak,94.73333333333333,5684,6000,50.55,3033,6000,-44.18333333333334
"explicit_target:rx_i,day_i_(0, 2)",0,1-1,2,2021_03_15,2021_03_15,leo_clear_weak,94.11666666666666,5647,6000,43.5,2610,6000,-50.61666666666666
"explicit_target:rx_i,day_i_(0, 3)",0,1-1,3,2021_03_23,2021_03_23,leo_clear_weak,85.13333333333334,5108,6000,41.666666666666664,2500,6000,-43.466666666666676
"explicit_target:rx_i,day_i_(2, 0)",2,14-7,0,2021_03_01,2021_03_01,leo_clear_weak,57.96666666666667,3478,6000,24.333333333333332,1460,6000,-33.63333333333334
"explicit_target:rx_i,day_i_(2, 1)",2,14-7,1,2021_03_08,2021_03_08,leo_clear_weak,56.0,3360,6000,38.766666666666666,2326,6000,-17.233333333333334
"explicit_target:rx_i,day_i_(2, 2)",2,14-7,2,2021_03_15,2021_03_15,leo_clear_weak,59.28333333333333,3557,6000,36.13333333333333,2168,6000,-23.15
"explicit_target:rx_i,day_i_(2, 3)",2,14-7,3,2021_03_23,2021_03_23,leo_clear_weak,73.4,4404,6000,37.233333333333334,2234,6000,-36.16666666666667
"explicit_target:rx_i,day_i_(5, 0)",5,2-1,0,2021_03_01,2021_03_01,leo_clear_weak,71.71666666666667,4303,6000,44.31666666666667,2659,6000,-27.4
"explicit_target:rx_i,day_i_(5, 1)",5,2-1,1,2021_03_08,2021_03_08,leo_clear_weak,58.916666666666664,3535,6000,41.96666666666667,2518,6000,-16.949999999999996
