arm,method,scenario,receiver_idx,receiver_label,days,accuracy_pct,correct,total
A1,EMA两视图，无tangent,clean,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",87.58333333333333,21020,24000
A1,EMA两视图，无tangent,clean,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",90.49583333333334,21719,24000
A1,EMA两视图，无tangent,clean,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",93.875,22530,24000
A1,EMA两视图，无tangent,clean,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",74.87083333333334,17969,24000
A1,EMA两视图，无tangent,clean,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.75416666666666,19861,24000
A1,EMA两视图，无tangent,clean,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",86.9375,20865,24000
A1,EMA两视图，无tangent,clean,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",80.90833333333333,19418,24000
A1,EMA两视图，无tangent,leo_clear_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.42083333333333,18821,24000
A1,EMA两视图，无tangent,leo_clear_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",67.52083333333333,16205,24000
A1,EMA两视图，无tangent,leo_clear_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",84.95833333333333,20390,24000
A1,EMA两视图，无tangent,leo_clear_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",55.94166666666667,13426,24000
A1,EMA两视图，无tangent,leo_clear_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.2,18048,24000
A1,EMA两视图，无tangent,leo_clear_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.33333333333333,18080,24000
A1,EMA两视图，无tangent,leo_clear_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",72.325,17358,24000
A1,EMA两视图，无tangent,leo_low_elev_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",74.7375,17937,24000
A1,EMA两视图，无tangent,leo_low_elev_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",65.7,15768,24000
A1,EMA两视图，无tangent,leo_low_elev_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.05833333333334,19694,24000
A1,EMA两视图，无tangent,leo_low_elev_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",54.8625,13167,24000
A1,EMA两视图，无tangent,leo_low_elev_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",74.01666666666667,17764,24000
A1,EMA两视图，无tangent,leo_low_elev_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",72.11666666666666,17308,24000
A1,EMA两视图，无tangent,leo_low_elev_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",69.41666666666667,16660,24000
A1,EMA两视图，无tangent,leo_rain_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",74.42083333333333,17861,24000
A1,EMA两视图，无tangent,leo_rain_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",65.60833333333333,15746,24000
A1,EMA两视图，无tangent,leo_rain_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",81.42916666666666,19543,24000
A1,EMA两视图，无tangent,leo_rain_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",55.1125,13227,24000
A1,EMA两视图，无tangent,leo_rain_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",74.09583333333333,17783,24000
A1,EMA两视图，无tangent,leo_rain_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.1,17064,24000
