run_id,variant,verdict,passes_strong_target1,target_old_closed_acc,target_old_delta_pp_vs_identity,clean_repaired_drop_pp,target_old_min_scenario_acc,target_old_min_tx_acc,target_unknown_far_source05,clean_adapter_eval_available,clean_repaired_target_old_acc,clean_target_old_acc,clean_target_old_count,clean_target_old_min_tx_acc,feature_path,known_count,min_scenario_delta_pp_vs_identity,min_tx_delta_pp_vs_identity,passes_clean_fidelity_gate,passes_floor_gate,passes_margin_gate,passes_old_recovery_gate,passes_unknown_safety_gate,proxy_unknown_count,proxy_unknown_far_source05,proxy_unknown_mean_oldness,proxy_unknown_oldness_delta_vs_identity,rx_acc_json,scenario_acc_json,source_acc,source_count,target_old_delta_pp_vs_clean,target_old_margin_delta_vs_identity,target_old_mean_margin,target_old_mean_proto_margin,target_old_mean_true_cos_dist,target_old_min_rx_acc,target_old_proto_acc,target_old_true_dist_delta_vs_identity,target_unknown_count,target_unknown_far_delta_vs_identity,target_unknown_mean_oldness,target_unknown_oldness_delta_vs_identity,tx_acc_json
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT3_IDENTITY,identity_baseline,False,0.6223529411764706,nan,nan,0.6062717770034843,0.3587521663778163,0.7757009345794392,False,nan,0.845,1200,0.57,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702/LEOADAPT3_IDENTITY/features_leo_repaired.npz,3400,nan,nan,False,False,True,False,True,8069,0.9075474036435742,12.330050448010898,nan,"{""20-1"": 0.6223529411764706}","{""leo_clear_weak"": 0.6545615589016829, ""leo_low_elev_weak"": 0.6062717770034843, ""leo_rain_weak"": 0.6064113980409617}",0.8535834266517357,3572,-22.264705882352942,nan,10.664254135739688,0.24895326922552533,0.4231623936389106,0.6223529411764706,0.6223529411764706,nan,321,nan,10.25332795622007,nan,"{""14-10"": 0.4716312056737589, ""14-7"": 0.46536412078152756, ""20-15"": 0.732620320855615, ""20-19"": 0.3587521663778163, ""6-15"": 0.8359788359788359, ""8-20"": 0.8732394366197183}"
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT5_MARGIN_UNK_LINR,fail,False,0.5955882352941176,-2.6764705882352913,4.083333333333328,0.5734639358860196,0.3623445825932504,0.7663551401869159,True,0.8041666666666667,0.845,1200,0.57,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702/LEOADAPT5_MARGIN_UNK_LINR/features_leo_repaired.npz,3400,-3.280784111746471,0.3592416215434102,False,False,False,False,True,8069,0.9068038170777047,10.515547163170233,-1.814503284840665,"{""20-1"": 0.5955882352941176}","{""leo_clear_weak"": 0.6279893711248893, ""leo_low_elev_weak"": 0.5853658536585366, ""leo_rain_weak"": 0.5734639358860196}",0.8678611422172452,3572,-24.941176470588232,-0.34419807647154954,10.320056059268138,0.2298782987328741,0.559306590803886,0.5955882352941176,0.5955882352941176,0.1361441971649754,321,-0.009345794392523366,8.13700702405793,-2.1163209321621412,"{""14-10"": 0.4024822695035461, ""14-7"": 0.3623445825932504, ""20-15"": 0.6399286987522281, ""20-19"": 0.45753899480069327, ""6-15"": 0.8853615520282186, ""8-20"": 0.8257042253521126}"
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT5_MARGIN_UNK_MLP,fail,False,0.5773529411764706,-4.499999999999993,4.583333333333329,0.5529830810329475,0.33570159857904086,0.7414330218068536,True,0.7991666666666667,0.845,1200,0.57,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702/LEOADAPT5_MARGIN_UNK_MLP/features_leo_repaired.npz,3400,-5.3288695970536875,-2.3050567798775456,False,False,False,False,True,8069,0.8936671210806791,11.08341730834771,-1.246633139663187,"{""20-1"": 0.5773529411764706}","{""leo_clear_weak"": 0.6058458813108946, ""leo_low_elev_weak"": 0.573170731707317, ""leo_rain_weak"": 0.5529830810329475}",0.8731802911534154,3572,-26.764705882352935,0.21000537811405628,10.874259513853744,0.16638313314882358,0.5608867048080709,0.5773529411764706,0.5773529411764706,0.13772431116916029,321,-0.034267912772585674,9.536516682752568,-0.7168112734675027,"{""14-10"": 0.42730496453900707, ""14-7"": 0.33570159857904086, ""20-15"": 0.6149732620320856, ""20-19"": 0.41074523396880414, ""6-15"": 0.8853615520282186, ""8-20"": 0.7904929577464789}"
phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702,LEOADAPT5_ULTRAID_LINR,fail,False,0.5964705882352941,-2.5882352941176467,4.333333333333334,0.5779162956366874,0.35346358792184723,0.7912772585669782,True,0.8016666666666666,0.845,1200,0.57,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx20_1_u10_20260702/LEOADAPT5_ULTRAID_LINR/features_leo_repaired.npz,3400,-2.8355481366796886,-0.5288578455969084,False,False,False,False,False,8069,0.9194447886974842,11.085474032634902,-1.2445764153759953,"{""20-1"": 0.5964705882352941}","{""leo_clear_weak"": 0.6271036315323295, ""leo_low_elev_weak"": 0.5844947735191638, ""leo_rain_weak"": 0.5779162956366874}",0.8687010078387458,3572,-24.852941176470587,-0.14777497818951524,10.516479157550172,0.22973754787817222,0.5435746071344104,0.5964705882352941,0.5964705882352941,0.1204122134954998,321,0.015576323987538943,8.547808678791716,-1.7055192774283547,"{""14-10"": 0.4237588652482269, ""14-7"": 0.35346358792184723, ""20-15"": 0.6363636363636364, ""20-19"": 0.4506065857885615, ""6-15"": 0.8853615520282186, ""8-20"": 0.829225352112676}"
phase1_adv3b02_multiview_keepold_rx20_1_u1_20260702,LEOADAPT3_IDENTITY,identity_baseline,False,0.6223529411764706,nan,nan,0.6062717770034843,0.3587521663778163,0.8711484593837535,False,nan,0.845,1200,0.57,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx20_1_u1_20260702/LEOADAPT3_IDENTITY/features_leo_repaired.npz,3400,nan,nan,False,False,True,False,True,8069,0.9075474036435742,12.330050448010898,nan,"{""20-1"": 0.6223529411764706}","{""leo_clear_weak"": 0.6545615589016829, ""leo_low_elev_weak"": 0.6062717770034843, ""leo_rain_weak"": 0.6064113980409617}",0.8535834266517357,3572,-22.264705882352942,nan,10.664254135739688,0.24895326922552533,0.4231623936389106,0.6223529411764706,0.6223529411764706,nan,357,nan,12.055629170716267,nan,"{""14-10"": 0.4716312056737589, ""14-7"": 0.46536412078152756, ""20-15"": 0.732620320855615, ""20-19"": 0.3587521663778163, ""6-15"": 0.8359788359788359, ""8-20"": 0.8732394366197183}"
phase1_adv3b02_multiview_keepold_rx20_1_u1_20260702,LEOADAPT5_MARGIN_UNK_LINR,fail,False,0.5955882352941176,-2.6764705882352913,4.083333333333328,0.5734639358860196,0.3623445825932504,0.8207282913165266,True,0.8041666666666667,0.845,1200,0.57,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx20_1_u1_20260702/LEOADAPT5_MARGIN_UNK_LINR/features_leo_repaired.npz,3400,-3.280784111746471,0.3592416215434102,False,False,False,False,True,8069,0.9068038170777047,10.515547163170233,-1.814503284840665,"{""20-1"": 0.5955882352941176}","{""leo_clear_weak"": 0.6279893711248893, ""leo_low_elev_weak"": 0.5853658536585366, ""leo_rain_weak"": 0.5734639358860196}",0.8678611422172452,3572,-24.941176470588232,-0.34419807647154954,10.320056059268138,0.2298782987328741,0.559306590803886,0.5955882352941176,0.5955882352941176,0.1361441971649754,357,-0.050420168067226934,10.127727941930795,-1.9279012287854727,"{""14-10"": 0.4024822695035461, ""14-7"": 0.3623445825932504, ""20-15"": 0.6399286987522281, ""20-19"": 0.45753899480069327, ""6-15"": 0.8853615520282186, ""8-20"": 0.8257042253521126}"
phase1_adv3b02_multiview_keepold_rx20_1_u1_20260702,LEOADAPT5_MARGIN_UNK_MLP,fail,False,0.5773529411764706,-4.499999999999993,4.583333333333329,0.5529830810329475,0.33570159857904086,0.8291316526610645,True,0.7991666666666667,0.845,1200,0.57,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx20_1_u1_20260702/LEOADAPT5_MARGIN_UNK_MLP/features_leo_repaired.npz,3400,-5.3288695970536875,-2.3050567798775456,False,False,False,False,True,8069,0.8936671210806791,11.08341730834771,-1.246633139663187,"{""20-1"": 0.5773529411764706}","{""leo_clear_weak"": 0.6058458813108946, ""leo_low_elev_weak"": 0.573170731707317, ""leo_rain_weak"": 0.5529830810329475}",0.8731802911534154,3572,-26.764705882352935,0.21000537811405628,10.874259513853744,0.16638313314882358,0.5608867048080709,0.5773529411764706,0.5773529411764706,0.13772431116916029,357,-0.04201680672268904,11.01276362134295,-1.0428655493733174,"{""14-10"": 0.42730496453900707, ""14-7"": 0.33570159857904086, ""20-15"": 0.6149732620320856, ""20-19"": 0.41074523396880414, ""6-15"": 0.8853615520282186, ""8-20"": 0.7904929577464789}"
phase1_adv3b02_multiview_keepold_rx20_1_u1_20260702,LEOADAPT5_ULTRAID_LINR,fail,False,0.5964705882352941,-2.5882352941176467,4.333333333333334,0.5779162956366874,0.35346358792184723,0.84593837535014,True,0.8016666666666666,0.845,1200,0.57,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx20_1_u1_20260702/LEOADAPT5_ULTRAID_LINR/features_leo_repaired.npz,3400,-2.8355481366796886,-0.5288578455969084,False,False,False,False,True,8069,0.9194447886974842,11.085474032634902,-1.2445764153759953,"{""20-1"": 0.5964705882352941}","{""leo_clear_weak"": 0.6271036315323295, ""leo_low_elev_weak"": 0.5844947735191638, ""leo_rain_weak"": 0.5779162956366874}",0.8687010078387458,3572,-24.852941176470587,-0.14777497818951524,10.516479157550172,0.22973754787817222,0.5435746071344104,0.5964705882352941,0.5964705882352941,0.1204122134954998,357,-0.025210084033613467,10.685122523154197,-1.3705066475620704,"{""14-10"": 0.4237588652482269, ""14-7"": 0.35346358792184723, ""20-15"": 0.6363636363636364, ""20-19"": 0.4506065857885615, ""6-15"": 0.8853615520282186, ""8-20"": 0.829225352112676}"
phase1_adv3b02_multiview_keepold_rx3_19_u10_20260702,LEOADAPT3_IDENTITY,identity_baseline,False,0.548235294117647,nan,nan,0.5267857142857143,0.2564991334488735,0.5772357723577236,False,nan,0.8125,1200,0.37,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx3_19_u10_20260702/LEOADAPT3_IDENTITY/features_leo_repaired.npz,3400,nan,nan,False,False,True,False,True,8069,0.9075474036435742,12.330050448010898,nan,"{""3-19"": 0.548235294117647}","{""leo_clear_weak"": 0.5868794326241135, ""leo_low_elev_weak"": 0.53125, ""leo_rain_weak"": 0.5267857142857143}",0.8535834266517357,3572,-26.426470588235297,nan,9.097236229224022,0.18126362786964498,0.5344873397561284,0.548235294117647,0.548235294117647,nan,369,nan,8.214853998606767,nan,"{""14-10"": 0.31560283687943264, ""14-7"": 0.43161634103019536, ""20-15"": 0.9269162210338681, ""20-19"": 0.2564991334488735, ""6-15"": 0.5555555555555556, ""8-20"": 0.8098591549295775}"
phase1_adv3b02_multiview_keepold_rx3_19_u10_20260702,LEOADAPT5_MARGIN_UNK_LINR,fail,False,0.5491176470588235,0.08823529411764452,4.666666666666663,0.5276785714285714,0.31369150779896016,0.7371273712737128,True,0.7658333333333334,0.8125,1200,0.37,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_multiview_keepold_rx3_19_u10_20260702/LEOADAPT5_MARGIN_UNK_LINR/features_leo_repaired.npz,3400,0.08928571428571397,5.719237435008667,False,False,False,False,False,8069,0.9068038170777047,10.515547163170233,-1.814503284840665,"{""3-19"": 0.5491176470588235}","{""leo_clear_weak"": 0.5895390070921985, ""leo_low_elev_weak"": 0.5303819444444444, ""leo_rain_weak"": 0.5276785714285714}",0.8678611422172452,3572,-26.338235294117652,-0.742675854944892,8.35456037427913,0.18532941538066444,0.6220468413416979,0.5491176470588235,0.5491176470588235,0.08755950158556947,369,0.15989159891598914,7.051174709790445,-1.163679288816322,"{""14-10"": 0.3173758865248227, ""14-7"": 0.4369449378330373, ""20-15"": 0.8324420677361853, ""20-19"": 0.31369150779896016, ""6-15"": 0.6119929453262787, ""8-20"": 0.7869718309859155}"
