candidate,receiver,strategy,method,old_acc,seen_new_acc,H_old_new,passes_joint_target,per_new_acc,support_count,old_query_count,new_query_count
ADV3B02_RXSWEEP_2NEW_RX7_14_OLDRESCUE,7-14,OLDRESCUE,knn5,0.8333333333333334,0.65,0.7303370786516855,True,"{""1-16"": 0.925, ""1-18"": 0.375}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_14_OLDRESCUE,7-14,OLDRESCUE,knn1,0.85,0.6125,0.711965811965812,False,"{""1-16"": 0.8, ""1-18"": 0.425}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_14_OLDRESCUE,7-14,OLDRESCUE,knn3,0.8583333333333333,0.5875,0.697550432276657,False,"{""1-16"": 0.825, ""1-18"": 0.35}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_7_BALANCED,7-7,BALANCED,knn1,0.7333333333333333,0.6375,0.6820668693009119,False,"{""1-16"": 0.975, ""1-18"": 0.3}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX8_8_BALANCED,8-8,BALANCED,knn3,0.6833333333333333,0.675,0.6791411042944786,False,"{""1-16"": 0.825, ""1-18"": 0.525}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX8_8_BALANCED,8-8,BALANCED,knn5,0.6791666666666667,0.6375,0.6576740506329114,False,"{""1-16"": 0.725, ""1-18"": 0.55}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_7_OLDRESCUE,7-7,OLDRESCUE,proto,0.675,0.6375,0.6557142857142857,False,"{""1-16"": 1.0, ""1-18"": 0.275}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_7_BALANCED,7-7,BALANCED,knn3,0.7333333333333333,0.5625,0.6366559485530546,False,"{""1-16"": 0.925, ""1-18"": 0.2}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_7_BALANCED,7-7,BALANCED,proto,0.7333333333333333,0.55,0.6285714285714286,False,"{""1-16"": 0.975, ""1-18"": 0.125}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_7_OLDRESCUE,7-7,OLDRESCUE,knn1,0.6666666666666666,0.575,0.6174496644295301,False,"{""1-16"": 0.95, ""1-18"": 0.2}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_7_OLDRESCUE,7-7,OLDRESCUE,knn3,0.7166666666666667,0.5375,0.6142857142857143,False,"{""1-16"": 0.9, ""1-18"": 0.175}",80,240,80
ADV3B02_RXSWEEP_2NEW_RX7_7_OLDRESCUE,7-7,OLDRESCUE,knn5,0.7291666666666666,0.525,0.6104651162790697,False,"{""1-16"": 0.9, ""1-18"": 0.15}",80,240,80
