bytes_per_event,collab_count,defer_rate,known_coverage,latency_ms_p95,meets_old_goal,meets_seen_new_goal,meets_unknown_goal,min_old_class_acc,min_seen_new_class_acc,old_acc,request_more_rate,seen_new_acc,unknown_FAR,unknown_reject_rate,variant,profile,json_path,k_shot,threshold_scope,unknown_query_eval_only,seen_new_old_contrast_weight,seen_new_old_contrast_margin,far_feasible,utility
96.0,1,0.0,0.14591836734693878,1.9391339372045227,False,False,False,0.0,0.0,0.2976190476190476,0.0,0.0,0.0375,0.9625,STAGE2C_HEAD_SEP,CAND_U050_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CAND_U050_W025/stage2c_qknn_CAND_U050_W025_k10.json,10,source_only,True,0.25,0.0,True,0.18511904761904763
96.0,1,0.0,0.0,1.6205264926682432,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,CAND_U050_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CAND_U050_W025/stage2c_qknn_CAND_U050_W025_k5.json,5,source_only,True,0.25,0.0,True,0.0
96.0,1,0.0,0.0,1.5744383150542325,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,CAND_U060_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CAND_U060_W025/stage2c_qknn_CAND_U060_W025_k5.json,5,source_only,True,0.25,0.0,True,0.0
96.0,1,0.0,0.0,1.5575725551960724,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,CAND_U070_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CAND_U070_W025/stage2c_qknn_CAND_U070_W025_k5.json,5,source_only,True,0.25,0.0,True,0.0
96.0,1,0.0,0.0,1.5645116247091588,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,CAND_U070_W050M02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CAND_U070_W050M02/stage2c_qknn_CAND_U070_W050M02_k5.json,5,source_only,True,0.5,0.02,True,0.0
96.0,1,0.0,0.0,1.627528909654296,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,CAND_U050_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CAND_U050_W025/stage2c_qknn_CAND_U050_W025_k5.json,5,source_only,True,0.25,0.0,True,0.0
96.0,1,0.0,0.0,1.4690195636630252,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,CAND_U060_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CAND_U060_W025/stage2c_qknn_CAND_U060_W025_k5.json,5,source_only,True,0.25,0.0,True,0.0
96.0,1,0.0,0.0,1.6550349954564076,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,CAND_U070_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CAND_U070_W025/stage2c_qknn_CAND_U070_W025_k5.json,5,source_only,True,0.25,0.0,True,0.0
96.0,1,0.0,0.0,1.5958286071946095,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,CAND_U070_W050M02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CAND_U070_W050M02/stage2c_qknn_CAND_U070_W050M02_k5.json,5,source_only,True,0.5,0.02,True,0.0
96.0,1,0.0,0.22142857142857142,2.0219875962243643,False,False,False,0.0,0.0,0.45476190476190476,0.0,0.0,0.07857142857142857,0.9214285714285714,STAGE2C_NORM_SEP,CAND_U070_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CAND_U070_W025/stage2c_qknn_CAND_U070_W025_k10.json,10,source_only,True,0.25,0.0,False,0.21904761904761905
96.0,1,0.0,0.22142857142857142,1.980785842888154,False,False,False,0.0,0.0,0.45476190476190476,0.0,0.0,0.07857142857142857,0.9214285714285714,STAGE2C_NORM_SEP,CAND_U070_W050M02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CAND_U070_W050M02/stage2c_qknn_CAND_U070_W050M02_k10.json,10,source_only,True,0.5,0.02,False,0.21904761904761905
96.0,1,0.0,0.18979591836734694,1.9088594239906638,False,False,False,0.0,0.0,0.3904761904761905,0.0,0.0,0.060714285714285714,0.9392857142857143,STAGE2C_NORM_SEP,CAND_U060_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/CAND_U060_W025/stage2c_qknn_CAND_U060_W025_k10.json,10,source_only,True,0.25,0.0,False,0.20833333333333334
96.0,1,0.0,0.19795918367346937,1.8242445453856286,False,False,False,0.0,0.0,0.4023809523809524,0.0,0.0,0.06607142857142857,0.9339285714285714,STAGE2C_HEAD_SEP,CAND_U070_W025,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_candidate_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/CAND_U070_W025/stage2c_qknn_CAND_U070_W025_k10.json,10,source_only,True,0.25,0.0,False,0.20416666666666666
