bytes_per_event,collab_count,defer_rate,known_coverage,latency_ms_p95,meets_old_goal,meets_seen_new_goal,meets_unknown_goal,min_old_class_acc,min_seen_new_class_acc,old_acc,request_more_rate,seen_new_acc,unknown_FAR,unknown_reject_rate,variant,profile,json_path,k_shot,threshold_scope,unknown_query_eval_only,seen_new_old_contrast_weight,seen_new_old_contrast_margin,seen_new_contrast_gate_enabled,seen_new_contrast_gate_min_delta,seen_new_contrast_gate_min_receivers,far_feasible,utility
96.0,1,0.0,0.0,1.4677747941950892,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,DELTA_U085_W025_D002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/DELTA_U085_W025_D002/stage2c_qknn_DELTA_U085_W025_D002_k5.json,5,source_only,True,0.25,0.0,True,0.02,1,True,0.0
96.0,1,0.0,0.0,1.574136106926319,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,DELTA_U090_W025_D002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/DELTA_U090_W025_D002/stage2c_qknn_DELTA_U090_W025_D002_k5.json,5,source_only,True,0.25,0.0,True,0.02,1,True,0.0
96.0,1,0.0,0.0,1.6080583527369738,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,DELTA_U090_W025_D005,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/DELTA_U090_W025_D005/stage2c_qknn_DELTA_U090_W025_D005_k5.json,5,source_only,True,0.25,0.0,True,0.05,1,True,0.0
96.0,1,0.0,0.0,1.5723331154070117,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,DELTA_U095_W025_D005,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/DELTA_U095_W025_D005/stage2c_qknn_DELTA_U095_W025_D005_k5.json,5,source_only,True,0.25,0.0,True,0.05,1,True,0.0
96.0,1,0.0,0.0,1.5856848796829581,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,DELTA_U095_W050M02_D005,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/DELTA_U095_W050M02_D005/stage2c_qknn_DELTA_U095_W050M02_D005_k5.json,5,source_only,True,0.5,0.02,True,0.05,1,True,0.0
96.0,1,0.0,0.0,1.655288309149154,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,DELTA_U095_W050M02_D008,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/DELTA_U095_W050M02_D008/stage2c_qknn_DELTA_U095_W050M02_D008_k5.json,5,source_only,True,0.5,0.02,True,0.08,1,True,0.0
96.0,1,0.0,0.0,1.6731405700254556,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,DELTA_U085_W025_D002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/DELTA_U085_W025_D002/stage2c_qknn_DELTA_U085_W025_D002_k5.json,5,source_only,True,0.25,0.0,True,0.02,1,True,0.0
96.0,1,0.0,0.0,1.637779023534582,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,DELTA_U090_W025_D002,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/DELTA_U090_W025_D002/stage2c_qknn_DELTA_U090_W025_D002_k5.json,5,source_only,True,0.25,0.0,True,0.02,1,True,0.0
96.0,1,0.0,0.0,1.5827590617798752,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,DELTA_U090_W025_D005,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/DELTA_U090_W025_D005/stage2c_qknn_DELTA_U090_W025_D005_k5.json,5,source_only,True,0.25,0.0,True,0.05,1,True,0.0
96.0,1,0.0,0.0,1.5510009680330366,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,DELTA_U095_W025_D005,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/DELTA_U095_W025_D005/stage2c_qknn_DELTA_U095_W025_D005_k5.json,5,source_only,True,0.25,0.0,True,0.05,1,True,0.0
96.0,1,0.0,0.0,1.5253081533743382,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,DELTA_U095_W050M02_D005,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/DELTA_U095_W050M02_D005/stage2c_qknn_DELTA_U095_W050M02_D005_k5.json,5,source_only,True,0.5,0.02,True,0.05,1,True,0.0
96.0,1,0.0,0.0,1.6734700864664727,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,DELTA_U095_W050M02_D008,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/DELTA_U095_W050M02_D008/stage2c_qknn_DELTA_U095_W050M02_D008_k5.json,5,source_only,True,0.5,0.02,True,0.08,1,True,0.0
96.0,1,0.0012987012987012987,0.3173469387755102,1.9306361935307066,False,False,False,0.14285714285714285,0.0,0.6047619047619047,0.0,0.010714285714285714,0.21428571428571427,0.7839285714285714,STAGE2C_HEAD_SEP,DELTA_U095_W050M02_D005,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_delta_gate_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/DELTA_U095_W050M02_D005/stage2c_qknn_DELTA_U095_W050M02_D005_k10.json,10,source_only,True,0.5,0.02,True,0.05,1,False,0.34047619047619043
