bytes_per_event,collab_count,defer_rate,known_coverage,latency_ms_p95,meets_old_goal,meets_seen_new_goal,meets_unknown_goal,min_old_class_acc,min_seen_new_class_acc,old_acc,request_more_rate,seen_new_acc,unknown_FAR,unknown_reject_rate,variant,profile,json_path,k_shot,threshold_scope,unknown_query_eval_only,seen_new_old_contrast_weight,seen_new_old_contrast_margin,seen_new_contrast_gate_min_delta,seen_new_contrast_risk_relief_min_delta,seen_new_contrast_risk_relief_min_support_count,seen_new_contrast_risk_relief_min_pvalue,seen_new_contrast_risk_relief_min_receiver_class_reliability,seen_new_contrast_label_risk_scale,seen_new_contrast_event_risk_scale,seen_new_contrast_component_agreement_scale,far_feasible,utility
96.0,1,0.0,0.0,1.6037805253857529,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,FLOOR_U095_W050M02_D005_R050_S3P070Q070,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/FLOOR_U095_W050M02_D005_R050_S3P070Q070/stage2c_qknn_FLOOR_U095_W050M02_D005_R050_S3P070Q070_k5.json,5,source_only,True,0.5,0.02,0.05,0.05,0,0.0,0.0,0.5,0.5,0.5,True,0.0
96.0,1,0.0,0.0,1.7184432233115294,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,FLOOR_U095_W050M02_D008_R035_S2P060Q060,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/FLOOR_U095_W050M02_D008_R035_S2P060Q060/stage2c_qknn_FLOOR_U095_W050M02_D008_R035_S2P060Q060_k5.json,5,source_only,True,0.5,0.02,0.08,0.08,0,0.0,0.0,0.35,0.5,0.5,True,0.0
96.0,1,0.0,0.0,1.7045554351182532,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,FLOOR_U095_W050M02_D008_R035_S3P070Q070,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/FLOOR_U095_W050M02_D008_R035_S3P070Q070/stage2c_qknn_FLOOR_U095_W050M02_D008_R035_S3P070Q070_k5.json,5,source_only,True,0.5,0.02,0.08,0.08,0,0.0,0.0,0.35,0.5,0.5,True,0.0
96.0,1,0.0,0.0,1.5910439435150716,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,FLOOR_U095_W050M02_D008_R050_S2P060Q060,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/FLOOR_U095_W050M02_D008_R050_S2P060Q060/stage2c_qknn_FLOOR_U095_W050M02_D008_R050_S2P060Q060_k5.json,5,source_only,True,0.5,0.02,0.08,0.08,0,0.0,0.0,0.5,0.5,0.5,True,0.0
96.0,1,0.0,0.0,1.615529654051673,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,FLOOR_U095_W050M02_D005_R050_S3P070Q070,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/FLOOR_U095_W050M02_D005_R050_S3P070Q070/stage2c_qknn_FLOOR_U095_W050M02_D005_R050_S3P070Q070_k5.json,5,source_only,True,0.5,0.02,0.05,0.05,0,0.0,0.0,0.5,0.5,0.5,True,0.0
96.0,1,0.0,0.0,1.5693379611430036,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,FLOOR_U095_W050M02_D008_R035_S2P060Q060,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/FLOOR_U095_W050M02_D008_R035_S2P060Q060/stage2c_qknn_FLOOR_U095_W050M02_D008_R035_S2P060Q060_k5.json,5,source_only,True,0.5,0.02,0.08,0.08,0,0.0,0.0,0.35,0.5,0.5,True,0.0
96.0,1,0.0,0.0,1.6073375063428244,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,FLOOR_U095_W050M02_D008_R035_S3P070Q070,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/FLOOR_U095_W050M02_D008_R035_S3P070Q070/stage2c_qknn_FLOOR_U095_W050M02_D008_R035_S3P070Q070_k5.json,5,source_only,True,0.5,0.02,0.08,0.08,0,0.0,0.0,0.35,0.5,0.5,True,0.0
96.0,1,0.0,0.0,1.4893197433345697,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,FLOOR_U095_W050M02_D008_R050_S2P060Q060,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/FLOOR_U095_W050M02_D008_R050_S2P060Q060/stage2c_qknn_FLOOR_U095_W050M02_D008_R050_S2P060Q060_k5.json,5,source_only,True,0.5,0.02,0.08,0.08,0,0.0,0.0,0.5,0.5,0.5,True,0.0
96.0,1,0.0012987012987012987,0.3173469387755102,1.9800864157037108,False,False,False,0.14285714285714285,0.0,0.6047619047619047,0.0,0.010714285714285714,0.21428571428571427,0.7839285714285714,STAGE2C_HEAD_SEP,FLOOR_U095_W050M02_D005_R050_S3P070Q070,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/FLOOR_U095_W050M02_D005_R050_S3P070Q070/stage2c_qknn_FLOOR_U095_W050M02_D005_R050_S3P070Q070_k10.json,10,source_only,True,0.5,0.02,0.05,0.05,0,0.0,0.0,0.5,0.5,0.5,False,0.34047619047619043
96.0,1,0.0012987012987012987,0.3173469387755102,1.9017507739413482,False,False,False,0.14285714285714285,0.0,0.6047619047619047,0.0,0.010714285714285714,0.21428571428571427,0.7839285714285714,STAGE2C_HEAD_SEP,FLOOR_U095_W050M02_D008_R035_S2P060Q060,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_contrast_floor_probe_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/FLOOR_U095_W050M02_D008_R035_S2P060Q060/stage2c_qknn_FLOOR_U095_W050M02_D008_R035_S2P060Q060_k10.json,10,source_only,True,0.5,0.02,0.08,0.08,0,0.0,0.0,0.35,0.5,0.5,False,0.34047619047619043
