bytes_per_event,collab_count,defer_rate,known_coverage,latency_ms_p95,meets_old_goal,meets_seen_new_goal,meets_unknown_goal,min_old_class_acc,min_seen_new_class_acc,old_acc,request_more_rate,seen_new_acc,unknown_FAR,unknown_reject_rate,variant,gate_profile,json_path,k_shot,threshold_scope,unknown_query_eval_only,far_feasible
96.0,1,0.0,0.0,0.5301277987755738,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U074_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U074_M000/stage2c_qknn_U074_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5162739376356076,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U074_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U074_MNEG02/stage2c_qknn_U074_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5147634836083109,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U078_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U078_M000/stage2c_qknn_U078_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5242060631053982,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U078_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U078_MNEG02/stage2c_qknn_U078_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.470723696778734,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U082_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U082_M000/stage2c_qknn_U082_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5224404318330736,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U082_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U082_MNEG02/stage2c_qknn_U082_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5206767787140879,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U086_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U086_M000/stage2c_qknn_U086_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5186172226419696,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U086_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U086_MNEG02/stage2c_qknn_U086_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5744767311791127,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U090_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U090_M000/stage2c_qknn_U090_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5439750508514124,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_HEAD_SEP,U090_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/U090_MNEG02/stage2c_qknn_U090_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5191968493889292,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U074_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U074_M000/stage2c_qknn_U074_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5244331676271055,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U074_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U074_MNEG02/stage2c_qknn_U074_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5707824602723122,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U078_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U078_M000/stage2c_qknn_U078_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5269797131806225,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U078_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U078_MNEG02/stage2c_qknn_U078_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5209422032288337,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U082_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U082_M000/stage2c_qknn_U082_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5597404222451634,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U082_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U082_MNEG02/stage2c_qknn_U082_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5232548498391331,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U086_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U086_M000/stage2c_qknn_U086_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.49491617072663907,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U086_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U086_MNEG02/stage2c_qknn_U086_MNEG02_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.5366369661596881,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U090_M000,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U090_M000/stage2c_qknn_U090_M000_k5.json,5,source_only,True,True
96.0,1,0.0,0.0,0.4717921880497174,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STAGE2C_NORM_SEP,U090_MNEG02,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_farconstrained_gate_sweep_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/U090_MNEG02/stage2c_qknn_U090_MNEG02_k5.json,5,source_only,True,True
