bytes_per_event,candidate_set_shell_veto_count,candidate_set_shell_veto_rate,collab_count,defer_rate,known_coverage,latency_ms_p95,meets_old_goal,meets_seen_new_goal,meets_unknown_goal,min_old_class_acc,min_seen_new_class_acc,old_acc,request_more_rate,rescue_unknown_veto_count,rescue_unknown_veto_rate,rescue_unknown_veto_seen_new_exemption_count,rescue_unknown_veto_seen_new_exemption_rate,seen_new_acc,seen_new_rescue_count,seen_new_rescue_rate,unknown_FAR,unknown_reject_rate,variant,profile,json_path,k_shot,threshold_scope,unknown_query_eval_only,phase2_unknown_rejection_required,H_old_new,phase2_old80_ready,phase2_joint_score,phase2_registered_only_accept_count
96.0,0,0.0,1,0.0,1.0,1.417045829841843,False,False,False,0.6571428571428571,0.14285714285714285,0.8261904761904761,0.0,0,0.0,0,0.0,0.32142857142857145,0,0.0,1.0,0.0,STAGE2C_HEAD_SEP,REGISTERED_CENTER_CONTRAST,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/REGISTERED_CENTER_CONTRAST/stage2c_qknn_REGISTERED_CENTER_CONTRAST_k5.json,5,source_only,True,False,0.4628037937166568,True,3.2366133175261806,1540
96.0,0,0.0,1,0.0,1.0,1.3079464858905836,False,False,False,0.6571428571428571,0.14285714285714285,0.8238095238095238,0.0,0,0.0,0,0.0,0.32142857142857145,0,0.0,1.0,0.0,STAGE2C_HEAD_SEP,REGISTERED_CENTER,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/REGISTERED_CENTER/stage2c_qknn_REGISTERED_CENTER_k5.json,5,source_only,True,False,0.4624294624294625,True,3.2314770814770815,1540
96.0,0,0.0,1,0.0,1.0,1.5879868175955367,False,False,False,0.5142857142857142,0.18571428571428572,0.8071428571428572,0.0,0,0.0,0,0.0,0.3875,0,0.0,1.0,0.0,STAGE2C_NORM_SEP,REGISTERED_BASE,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/REGISTERED_BASE/stage2c_qknn_REGISTERED_BASE_k10.json,10,source_only,True,False,0.5236173393124066,True,3.2254030535981206,1540
96.0,0,0.0,1,0.0,1.0,1.9545746961148915,False,False,False,0.5142857142857142,0.18571428571428572,0.8071428571428572,0.0,0,0.0,0,0.0,0.3875,0,0.0,1.0,0.0,STAGE2C_NORM_SEP,REGISTERED_CONTRAST,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/REGISTERED_CONTRAST/stage2c_qknn_REGISTERED_CONTRAST_k10.json,10,source_only,True,False,0.5236173393124066,True,3.2254030535981206,1540
96.0,0,0.0,1,0.0,1.0,1.638871146208764,False,False,False,0.5285714285714286,0.15714285714285714,0.8166666666666667,0.0,0,0.0,0,0.0,0.3767857142857143,0,0.0,1.0,0.0,STAGE2C_NORM_SEP,REGISTERED_CENTER,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/REGISTERED_CENTER/stage2c_qknn_REGISTERED_CENTER_k10.json,10,source_only,True,False,0.5156608478802992,True,3.2114941812136326,1540
96.0,0,0.0,1,0.0,1.0,1.9610717375581335,False,False,False,0.5285714285714286,0.15714285714285714,0.8166666666666667,0.0,0,0.0,0,0.0,0.3767857142857143,0,0.0,1.0,0.0,STAGE2C_NORM_SEP,REGISTERED_CENTER_CONTRAST,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/REGISTERED_CENTER_CONTRAST/stage2c_qknn_REGISTERED_CENTER_CONTRAST_k10.json,10,source_only,True,False,0.5156608478802992,True,3.2114941812136326,1540
96.0,0,0.0,1,0.0,1.0,1.2828190351364674,False,False,False,0.6571428571428571,0.07142857142857142,0.830952380952381,0.0,0,0.0,0,0.0,0.28214285714285714,0,0.0,1.0,0.0,STAGE2C_NORM_SEP,REGISTERED_CENTER,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/REGISTERED_CENTER/stage2c_qknn_REGISTERED_CENTER_k5.json,5,source_only,True,False,0.4212528647822765,True,3.0938719124013243,1540
96.0,0,0.0,1,0.0,1.0,1.4806891610096027,False,False,False,0.6571428571428571,0.07142857142857142,0.830952380952381,0.0,0,0.0,0,0.0,0.28214285714285714,0,0.0,1.0,0.0,STAGE2C_NORM_SEP,REGISTERED_CENTER_CONTRAST,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_NORM_SEP/REGISTERED_CENTER_CONTRAST/stage2c_qknn_REGISTERED_CENTER_CONTRAST_k5.json,5,source_only,True,False,0.4212528647822765,True,3.0938719124013243,1540
96.0,0,0.0,1,0.0,1.0,1.2285845469102843,False,False,False,0.6285714285714286,0.07142857142857142,0.8238095238095238,0.0,0,0.0,0,0.0,0.3,0,0.0,1.0,0.0,STAGE2C_HEAD_SEP,REGISTERED_BASE,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/REGISTERED_BASE/stage2c_qknn_REGISTERED_BASE_k5.json,5,source_only,True,False,0.4398305084745762,True,3.087449556093624,1540
96.0,0,0.0,1,0.0,1.0,1.5633241273462772,False,False,False,0.6285714285714286,0.07142857142857142,0.8238095238095238,0.0,0,0.0,0,0.0,0.3,0,0.0,1.0,0.0,STAGE2C_HEAD_SEP,REGISTERED_CONTRAST,/home/szu2070436088/2510044040/CV-SincNet/runs/phase2_adv3b02_stage2c_qknnv42_registered_only_20260707/PHASE2_STAGE2C_RX7_14/STAGE2C_HEAD_SEP/REGISTERED_CONTRAST/stage2c_qknn_REGISTERED_CONTRAST_k5.json,5,source_only,True,False,0.4398305084745762,True,3.087449556093624,1540
