target_new,hard_old,old_index,left_proxy,right_proxy,left_to_target_new,right_to_hard_old,proxy_pair_sim,analogy_score
10-10,20-19,3,19-19,10-7,0.84763088425522,0.8459922074845028,0.946832953700685,2.166966695747064
10-10,20-19,3,17-10,10-7,0.8287037973372683,0.8459922074845028,0.9716949384037576,2.1579663008855996
10-10,20-19,3,19-19,17-10,0.84763088425522,0.8230028664173088,0.9472368515387046,2.1430273631908197
10-10,20-19,3,16-5,19-19,0.8787224176493308,0.8336030503415145,0.8877212130382752,2.1411207197234265
10-10,20-19,3,10-7,19-19,0.8333115589695093,0.8336030503415145,0.946832953700685,2.139921416968687
10-10,20-19,3,10-7,17-10,0.8333115589695093,0.8230028664173088,0.9716949384037576,2.1378397920518886
10-10,14-7,1,10-7,1-1,0.8333115589695093,0.6617247458886762,0.9367063516759158,1.9281643851212777
10-10,14-7,1,19-19,14-11,0.84763088425522,0.6559511616639906,0.9646191670526673,1.9220788304563972
10-10,14-7,1,19-19,16-16,0.84763088425522,0.625835536096276,0.9557981725457598,1.9061143776245
10-10,14-7,1,19-19,1-1,0.84763088425522,0.6617247458886762,0.8585789481024374,1.902958743205794
10-10,14-7,1,14-11,16-16,0.8091575137289431,0.625835536096276,0.9635293072181469,1.8970177854073256
10-10,14-7,1,16-5,14-11,0.8787224176493308,0.6559511616639906,0.9166553164732747,1.8959860089754563
2-13,20-19,3,5-5,19-19,0.9658326521181868,0.8336030503415145,0.5976949424589832,2.0597874670811134
2-13,20-19,3,5-5,16-5,0.9658326521181868,0.7873694651089941,0.7920573468112216,2.051303294689339
2-13,20-19,3,5-5,10-7,0.9658326521181868,0.8459922074845028,0.46918829725711997,2.039362305492032
2-13,20-19,3,5-5,17-10,0.9658326521181868,0.8230028664173088,0.5415459210044457,2.0346421103614447
2-13,20-19,3,5-5,14-11,0.9658326521181868,0.7734717391836036,0.6734164249649333,2.0190290887593063
2-13,20-19,3,5-1,19-19,0.9842895627356398,0.8336030503415145,0.4909989183883567,2.007473794382153
2-13,14-7,1,5-5,14-11,0.9658326521181868,0.6559511616639906,0.6734164249649333,1.8877912948321514
2-13,14-7,1,5-5,16-16,0.9658326521181868,0.625835536096276,0.6594262930027265,1.8514823038790562
2-13,14-7,1,5-5,3-13,0.9658326521181868,0.5734806049840103,0.9048765705618383,1.850668710547207
2-13,14-7,1,5-5,2-6,0.9658326521181868,0.5613420310043468,0.9201118129903622,1.8412951170560679
2-13,14-7,1,1-18,14-11,0.9835612336636748,0.6559511616639906,0.5601789911228067,1.8287452840096512
2-13,14-7,1,5-1,14-11,0.9842895627356398,0.6559511616639906,0.5509525770746544,1.8187702758361664
