seed,support_selection_policy,rank,residual_scale,steps,lr,reg_weight,topk,topm,proto_mix,radius_norm,old_bias,neg_lambda,neg_threshold,neg_margin,mutual_only,balanced_assignment,support_loo_final_acc,support_loo_final_loss,query_old_acc,query_min_old_class_acc,query_seen_new_acc,query_min_seen_new_class_acc,query_passes_goal_floor75,query_passes_joint_target,query_per_old_acc,query_per_new_acc,enroll_val_old_acc,enroll_val_min_old_class_acc,enroll_val_seen_new_acc,enroll_val_min_seen_new_class_acc,enroll_val_per_old_acc,enroll_val_per_new_acc,adapter_param_scalars,stored_quantized_support_code_count,stored_raw_support_count,loss_trace
421037,stable_first,0,0.05,20,0.0005,0.01,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.3354525566101074,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",160,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.35483455657959}, {""step"": 4.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3517682552337646}, {""step"": 8.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3476827144622803}, {""step"": 12.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3436014652252197}, {""step"": 16.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.339524507522583}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3354525566101074}]"
421037,stable_first,0,0.05,20,0.0005,0.1,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.335458755493164,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",160,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.35483455657959}, {""step"": 4.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3517684936523438}, {""step"": 8.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.347684144973755}, {""step"": 12.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3436033725738525}, {""step"": 16.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.339528799057007}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.335458755493164}]"
421037,stable_first,0,0.05,20,0.001,0.01,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.316173553466797,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",160,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.35483455657959}, {""step"": 4.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3487038612365723}, {""step"": 8.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3405425548553467}, {""step"": 12.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3323988914489746}, {""step"": 16.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.324274778366089}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.316173553466797}]"
421037,stable_first,0,0.05,20,0.001,0.1,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.3161988258361816,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",160,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.35483455657959}, {""step"": 4.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3487045764923096}, {""step"": 8.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.340546131134033}, {""step"": 12.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.332406997680664}, {""step"": 16.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3242905139923096}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3161988258361816}]"
421037,stable_first,0,0.05,50,0.0005,0.01,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.30509614944458,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",160,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.35483455657959}, {""step"": 10.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.345641851425171}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3354525566101074}, {""step"": 30.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3252954483032227}, {""step"": 40.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.315176010131836}, {""step"": 50.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.30509614944458}]"
421037,stable_first,0,0.05,50,0.0005,0.1,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.305143356323242,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",160,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.35483455657959}, {""step"": 10.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3456430435180664}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.335458755493164}, {""step"": 30.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3253116607666016}, {""step"": 40.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3152053356170654}, {""step"": 50.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.305143356323242}]"
421037,stable_first,2,0.05,20,0.0005,0.01,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.334901809692383,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",800,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3548357486724854}, {""step"": 4.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3517508506774902}, {""step"": 8.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3476076126098633}, {""step"": 12.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3434231281280518}, {""step"": 16.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3391900062561035}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.334901809692383}]"
421037,stable_first,2,0.05,20,0.0005,0.1,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.3347885608673096,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",800,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3548426628112793}, {""step"": 4.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3517520427703857}, {""step"": 8.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3475966453552246}, {""step"": 12.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.343390703201294}, {""step"": 16.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3391244411468506}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3347885608673096}]"
421037,stable_first,2,0.05,20,0.001,0.01,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.3138320446014404,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",800,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3548357486724854}, {""step"": 4.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3486430644989014}, {""step"": 8.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3402533531188965}, {""step"": 12.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3316779136657715}, {""step"": 16.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3228797912597656}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3138320446014404}]"
421037,stable_first,2,0.05,20,0.001,0.1,1,5,0.6,0.1,0.0,0.0,0.7,0.0,True,True,0.550000011920929,2.3137688636779785,0.8266666666666667,0.6933333333333334,0.7893333333333333,0.6666666666666666,False,False,"{""14-10"": 0.8133333333333334, ""14-7"": 0.7733333333333333, ""20-15"": 0.9066666666666666, ""20-19"": 0.6933333333333334, ""6-15"": 0.8133333333333334, ""8-20"": 0.96}","{""10-10"": 0.7733333333333333, ""11-10"": 0.7333333333333333, ""18-5"": 0.8533333333333334, ""19-3"": 0.72, ""2-13"": 0.6666666666666666, ""2-5"": 0.7866666666666666, ""3-8"": 0.84, ""4-10"": 0.8933333333333333, ""8-18"": 0.7866666666666666, ""8-3"": 0.84}",0.0,0.0,0.0,0.0,"{""14-10"": 0.0, ""14-7"": 0.0, ""20-15"": 0.0, ""20-19"": 0.0, ""6-15"": 0.0, ""8-20"": 0.0}","{""10-10"": 0.0, ""11-10"": 0.0, ""18-5"": 0.0, ""19-3"": 0.0, ""2-13"": 0.0, ""2-5"": 0.0, ""3-8"": 0.0, ""4-10"": 0.0, ""8-18"": 0.0, ""8-3"": 0.0}",800,80,0,"[{""step"": 1.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3548452854156494}, {""step"": 4.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3486568927764893}, {""step"": 8.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.340275287628174}, {""step"": 12.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3316948413848877}, {""step"": 16.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.32287335395813}, {""step"": 20.0, ""support_loo_acc"": 0.550000011920929, ""support_loo_loss"": 2.3137688636779785}]"
