k,target_new,target_unknown,old_acc,min_old,seen_new_acc,min_seen,known_vs_unknown_auroc,unknown_fpr95_known,known_avg,known_floor,joint_score
5,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.8,0.35,0.35,0.15,0.6809545454545455,0.84,0.575,0.15,0.16000000000000003
5,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.8,0.35,0.37,0.2,0.6377272727272727,0.91,0.585,0.2,0.08999999999999997
5,"10-10,11-10,18-5,19-3,3-8","2-13,2-5,4-10,8-18,8-3",0.8,0.35,0.34,0.15,0.7243636363636363,0.84,0.5700000000000001,0.15,0.16000000000000003
5,"10-10,11-10,18-5,19-3,4-10","2-13,2-5,3-8,8-18,8-3",0.7833333333333333,0.25,0.35,0.2,0.6897272727272727,0.81,0.5666666666666667,0.2,0.18999999999999995
5,"10-10,11-10,18-5,19-3,8-18","2-13,2-5,3-8,4-10,8-3",0.7916666666666666,0.35,0.38,0.2,0.6585454545454545,0.89,0.5858333333333333,0.2,0.10999999999999999
5,"10-10,11-10,18-5,19-3,8-3","2-13,2-5,3-8,4-10,8-18",0.7083333333333334,0.1,0.5,0.25,0.7277727272727272,0.83,0.6041666666666667,0.1,0.17000000000000004
5,"10-10,11-10,18-5,2-13,2-5","19-3,3-8,4-10,8-18,8-3",0.825,0.35,0.33,0.15,0.6658636363636363,0.88,0.5775,0.15,0.12
5,"10-10,11-10,18-5,2-13,3-8","19-3,2-5,4-10,8-18,8-3",0.825,0.35,0.29,0.1,0.7554545454545455,0.78,0.5575,0.1,0.21999999999999997
5,"10-10,11-10,18-5,2-13,4-10","19-3,2-5,3-8,8-18,8-3",0.8,0.25,0.32,0.15,0.7165909090909091,0.78,0.56,0.15,0.21999999999999997
5,"10-10,11-10,18-5,2-13,8-18","19-3,2-5,3-8,4-10,8-3",0.8166666666666667,0.35,0.34,0.15,0.6875909090909091,0.86,0.5783333333333334,0.15,0.14
5,"10-10,11-10,18-5,2-13,8-3","19-3,2-5,3-8,4-10,8-18",0.7333333333333333,0.25,0.45,0.15,0.7257727272727272,0.8,0.5916666666666667,0.15,0.19999999999999996
5,"10-10,11-10,18-5,2-5,3-8","19-3,2-13,4-10,8-18,8-3",0.825,0.35,0.32,0.15,0.7106818181818182,0.87,0.5725,0.15,0.13
5,"10-10,11-10,18-5,2-5,4-10","19-3,2-13,3-8,8-18,8-3",0.8,0.25,0.34,0.15,0.6729545454545455,0.9,0.5700000000000001,0.15,0.09999999999999998
5,"10-10,11-10,18-5,2-5,8-18","19-3,2-13,3-8,4-10,8-3",0.8166666666666667,0.35,0.36,0.2,0.6435909090909091,0.93,0.5883333333333334,0.2,0.06999999999999995
5,"10-10,11-10,18-5,2-5,8-3","19-3,2-13,3-8,4-10,8-18",0.7333333333333333,0.25,0.47,0.2,0.6915909090909091,0.87,0.6016666666666666,0.2,0.13
5,"10-10,11-10,18-5,3-8,4-10","19-3,2-13,2-5,8-18,8-3",0.8,0.25,0.32,0.15,0.7609545454545454,0.78,0.56,0.15,0.21999999999999997
5,"10-10,11-10,18-5,3-8,8-18","19-3,2-13,2-5,4-10,8-3",0.8166666666666667,0.35,0.33,0.15,0.7338181818181818,0.87,0.5733333333333334,0.15,0.13
5,"10-10,11-10,18-5,3-8,8-3","19-3,2-13,2-5,4-10,8-18",0.7333333333333333,0.25,0.44,0.15,0.7626818181818181,0.82,0.5866666666666667,0.15,0.18000000000000005
5,"10-10,11-10,18-5,4-10,8-18","19-3,2-13,2-5,3-8,8-3",0.7916666666666666,0.25,0.35,0.15,0.6936818181818182,0.86,0.5708333333333333,0.15,0.14
5,"10-10,11-10,18-5,4-10,8-3","19-3,2-13,2-5,3-8,8-18",0.7083333333333334,0.2,0.47,0.2,0.7291363636363636,0.76,0.5891666666666666,0.2,0.24
5,"10-10,11-10,18-5,8-18,8-3","19-3,2-13,2-5,3-8,4-10",0.725,0.25,0.48,0.2,0.704590909090909,0.86,0.6025,0.2,0.14
5,"10-10,11-10,19-3,2-13,2-5","18-5,3-8,4-10,8-18,8-3",0.8,0.35,0.36,0.15,0.5757727272727273,0.88,0.5800000000000001,0.15,0.12
5,"10-10,11-10,19-3,2-13,3-8","18-5,2-5,4-10,8-18,8-3",0.8,0.35,0.34,0.1,0.6642272727272728,0.82,0.5700000000000001,0.1,0.18000000000000005
5,"10-10,11-10,19-3,2-13,4-10","18-5,2-5,3-8,8-18,8-3",0.7833333333333333,0.25,0.34,0.15,0.6266818181818182,0.8,0.5616666666666666,0.15,0.19999999999999996
5,"10-10,11-10,19-3,2-13,8-18","18-5,2-5,3-8,4-10,8-3",0.7916666666666666,0.35,0.37,0.15,0.5953636363636363,0.88,0.5808333333333333,0.15,0.12
5,"10-10,11-10,19-3,2-13,8-3","18-5,2-5,3-8,4-10,8-18",0.7083333333333334,0.1,0.48,0.15,0.6739090909090909,0.81,0.5941666666666667,0.1,0.18999999999999995
5,"10-10,11-10,19-3,2-5,3-8","18-5,2-13,4-10,8-18,8-3",0.8,0.35,0.39,0.2,0.6191363636363636,0.87,0.595,0.2,0.13
5,"10-10,11-10,19-3,2-5,4-10","18-5,2-13,3-8,8-18,8-3",0.7833333333333333,0.25,0.38,0.25,0.5845,0.88,0.5816666666666667,0.25,0.12
5,"10-10,11-10,19-3,2-5,8-18","18-5,2-13,3-8,4-10,8-3",0.7916666666666666,0.35,0.43,0.25,0.5513181818181818,0.93,0.6108333333333333,0.25,0.06999999999999995
5,"10-10,11-10,19-3,2-5,8-3","18-5,2-13,3-8,4-10,8-18",0.7083333333333334,0.1,0.52,0.25,0.6404545454545455,0.86,0.6141666666666667,0.1,0.14
5,"10-10,11-10,19-3,3-8,4-10","18-5,2-13,2-5,8-18,8-3",0.7833333333333333,0.25,0.37,0.2,0.6696818181818182,0.8,0.5766666666666667,0.2,0.19999999999999996
5,"10-10,11-10,19-3,3-8,8-18","18-5,2-13,2-5,4-10,8-3",0.7916666666666666,0.35,0.4,0.2,0.6400454545454546,0.88,0.5958333333333333,0.2,0.12
5,"10-10,11-10,19-3,3-8,8-3","18-5,2-13,2-5,4-10,8-18",0.7083333333333334,0.1,0.51,0.2,0.709590909090909,0.82,0.6091666666666666,0.1,0.18000000000000005
5,"10-10,11-10,19-3,4-10,8-18","18-5,2-13,2-5,3-8,8-3",0.775,0.25,0.41,0.25,0.6016818181818182,0.88,0.5925,0.25,0.12
5,"10-10,11-10,19-3,4-10,8-3","18-5,2-13,2-5,3-8,8-18",0.6916666666666667,0.1,0.5,0.25,0.6780454545454545,0.78,0.5958333333333333,0.1,0.21999999999999997
5,"10-10,11-10,19-3,8-18,8-3","18-5,2-13,2-5,3-8,4-10",0.7,0.1,0.55,0.35,0.65,0.87,0.625,0.1,0.13
5,"10-10,11-10,2-13,2-5,3-8","18-5,19-3,4-10,8-18,8-3",0.825,0.35,0.32,0.1,0.6499545454545455,0.85,0.5725,0.1,0.15000000000000002
5,"10-10,11-10,2-13,2-5,4-10","18-5,19-3,3-8,8-18,8-3",0.8,0.25,0.34,0.15,0.6091363636363636,0.86,0.5700000000000001,0.15,0.14
5,"10-10,11-10,2-13,2-5,8-18","18-5,19-3,3-8,4-10,8-3",0.8166666666666667,0.35,0.35,0.15,0.5796363636363636,0.92,0.5833333333333333,0.15,0.07999999999999996
5,"10-10,11-10,2-13,2-5,8-3","18-5,19-3,3-8,4-10,8-18",0.7333333333333333,0.25,0.46,0.15,0.6375454545454545,0.86,0.5966666666666667,0.15,0.14
5,"10-10,11-10,2-13,3-8,4-10","18-5,19-3,2-5,8-18,8-3",0.8,0.25,0.32,0.1,0.698590909090909,0.77,0.56,0.1,0.22999999999999998
5,"10-10,11-10,2-13,3-8,8-18","18-5,19-3,2-5,4-10,8-3",0.8166666666666667,0.35,0.33,0.1,0.6709090909090909,0.86,0.5733333333333334,0.1,0.14
