k,old_bias,target_new,target_unknown,old_acc,min_old,seen_new_acc,min_seen,known_vs_unknown_auroc,unknown_fpr95_known,known_avg,known_floor,stage_score
5,0.0,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.8,0.35,0.35,0.15,0.6809545454545455,0.84,0.575,0.15,0.16000000000000003
5,0.01,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.8333333333333334,0.5,0.3,0.15,0.6727727272727273,0.84,0.5666666666666667,0.15,0.16000000000000003
5,0.02,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.875,0.7,0.28,0.15,0.6655909090909091,0.83,0.5775,0.15,0.17000000000000004
5,0.04,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.925,0.8,0.14,0.05,0.6573636363636364,0.83,0.5325,0.05,0.14
5,0.06,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.925,0.8,0.1,0.0,0.6556818181818181,0.83,0.5125000000000001,0.0,0.1
5,0.08,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.925,0.8,0.08,0.0,0.6549545454545455,0.83,0.5025000000000001,0.0,0.08
5,0.1,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.925,0.8,0.05,0.0,0.6540909090909091,0.83,0.48750000000000004,0.0,0.05
5,0.15,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.925,0.8,0.03,0.0,0.6535,0.83,0.47750000000000004,0.0,0.03
5,0.2,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.925,0.8,0.02,0.0,0.653,0.83,0.47250000000000003,0.0,0.02
5,0.3,"10-10,11-10,18-5,19-3,2-13","2-5,3-8,4-10,8-18,8-3",0.925,0.8,0.01,0.0,0.6527727272727273,0.83,0.4675,0.0,0.01
5,0.0,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.8,0.35,0.37,0.2,0.6377272727272727,0.91,0.585,0.2,0.08999999999999997
5,0.01,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.8333333333333334,0.5,0.32,0.2,0.6361363636363636,0.91,0.5766666666666667,0.2,0.08999999999999997
5,0.02,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.875,0.7,0.3,0.15,0.6335909090909091,0.91,0.5875,0.15,0.08999999999999997
5,0.04,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.925,0.8,0.16,0.05,0.6287727272727273,0.9,0.5425,0.05,0.09999999999999998
5,0.06,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.925,0.8,0.11,0.0,0.6285,0.89,0.5175000000000001,0.0,0.10999999999999999
5,0.08,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.925,0.8,0.09,0.0,0.6278636363636364,0.9,0.5075000000000001,0.0,0.09
5,0.1,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.925,0.8,0.06,0.0,0.6272272727272727,0.9,0.49250000000000005,0.0,0.06
5,0.15,"10-10,11-10,18-5,19-3,2-5","2-13,3-8,4-10,8-18,8-3",0.925,0.8,0.04,0.0,0.6264090909090909,0.9,0.48250000000000004,0.0,0.04
