model,k_shot,train_scope,policy,n_train,n_query,old_acc,min_old
ridge_norm_a0.1,5,target_old_support_only,scenario_diverse,150,600,0.7416666666666667,0.51
ridge_norm_a0.1,5,target_old_support_only,centroid,150,600,0.7416666666666667,0.51
ridge_norm_a1,10,target_old_support_only,scenario_diverse,300,600,0.7333333333333333,0.52
ridge_norm_a1,10,target_old_support_only,centroid,300,600,0.7333333333333333,0.52
ridge_norm_sourcecap200_a1,10,source_old_cap200_plus_target_support,scenario_diverse,1500,600,0.7283333333333334,0.52
ridge_norm_sourcecap200_a1,10,source_old_cap200_plus_target_support,centroid,1500,600,0.7283333333333334,0.52
ridge_norm_a0.1,10,target_old_support_only,scenario_diverse,300,600,0.7283333333333334,0.51
ridge_norm_a0.1,10,target_old_support_only,centroid,300,600,0.7283333333333334,0.51
ridge_norm_a1,5,target_old_support_only,scenario_diverse,150,600,0.7266666666666667,0.51
ridge_norm_a1,5,target_old_support_only,centroid,150,600,0.7266666666666667,0.51
logreg_norm_C1,10,target_old_support_only,scenario_diverse,300,600,0.7233333333333334,0.53
logreg_norm_C1,10,target_old_support_only,centroid,300,600,0.7233333333333334,0.53
logreg_norm_sourcecap200_C1,10,source_old_cap200_plus_target_support,scenario_diverse,1500,600,0.7233333333333334,0.5
logreg_norm_sourcecap200_C1,10,source_old_cap200_plus_target_support,centroid,1500,600,0.7233333333333334,0.5
logreg_norm_C1,5,target_old_support_only,scenario_diverse,150,600,0.7233333333333334,0.49
logreg_norm_C1,5,target_old_support_only,centroid,150,600,0.7233333333333334,0.49
ridge_norm_sourcecap200_a1,5,source_old_cap200_plus_target_support,scenario_diverse,1350,600,0.72,0.49
ridge_norm_sourcecap200_a1,5,source_old_cap200_plus_target_support,centroid,1350,600,0.72,0.49
logreg_norm_C0.1,10,target_old_support_only,scenario_diverse,300,600,0.72,0.49
logreg_norm_C0.1,10,target_old_support_only,centroid,300,600,0.72,0.49
logreg_norm_C0.1,5,target_old_support_only,scenario_diverse,150,600,0.7133333333333334,0.49
logreg_norm_C0.1,5,target_old_support_only,centroid,150,600,0.7133333333333334,0.49
logreg_norm_sourcecap200_C1,5,source_old_cap200_plus_target_support,scenario_diverse,1350,600,0.7116666666666667,0.46
logreg_norm_sourcecap200_C1,5,source_old_cap200_plus_target_support,centroid,1350,600,0.7116666666666667,0.46
ridge_std_a1,10,target_old_support_only,scenario_diverse,300,600,0.6933333333333334,0.48
ridge_std_a1,10,target_old_support_only,centroid,300,600,0.6933333333333334,0.48
ridge_std_sourcecap200_a1,10,source_old_cap200_plus_target_support,scenario_diverse,1500,600,0.6816666666666666,0.47
ridge_std_sourcecap200_a1,10,source_old_cap200_plus_target_support,centroid,1500,600,0.6816666666666666,0.47
ridge_std_sourcecap200_a1,5,source_old_cap200_plus_target_support,scenario_diverse,1350,600,0.68,0.5
ridge_std_sourcecap200_a1,5,source_old_cap200_plus_target_support,centroid,1350,600,0.68,0.5
ridge_std_a1,5,target_old_support_only,scenario_diverse,150,600,0.65,0.43
ridge_std_a1,5,target_old_support_only,centroid,150,600,0.65,0.43
