k_shot,top_k,alpha,prototype_score_blend,old_acc,min_old
10,10,0.5,2.0,0.735,0.56
10,10,0.1,2.0,0.735,0.55
10,1,0.1,4.0,0.7333333333333333,0.55
10,1,0.25,2.0,0.7333333333333333,0.55
10,1,1.0,2.0,0.7333333333333333,0.55
10,10,0.25,2.0,0.7333333333333333,0.55
10,10,0.0,2.0,0.7333333333333333,0.54
10,10,1.0,1.0,0.7333333333333333,0.54
5,5,0.0,0.0,0.7333333333333333,0.43
5,5,0.1,0.0,0.7333333333333333,0.43
5,5,0.25,0.0,0.7333333333333333,0.43
5,5,0.5,0.0,0.7333333333333333,0.43
5,5,0.75,0.0,0.7333333333333333,0.43
5,5,1.0,0.0,0.7333333333333333,0.43
10,1,0.5,2.0,0.7316666666666667,0.55
10,1,0.75,2.0,0.7316666666666667,0.55
10,10,0.75,2.0,0.7316666666666667,0.55
10,1,0.0,4.0,0.7316666666666667,0.54
10,1,0.5,4.0,0.7316666666666667,0.54
10,10,0.0,4.0,0.7316666666666667,0.54
10,10,0.1,4.0,0.7316666666666667,0.54
10,10,0.5,1.0,0.7316666666666667,0.53
10,10,0.75,1.0,0.7316666666666667,0.53
10,10,0.0,0.0,0.7316666666666667,0.51
10,10,0.1,0.0,0.7316666666666667,0.51
10,10,0.25,0.0,0.7316666666666667,0.51
10,10,0.5,0.0,0.7316666666666667,0.51
10,10,0.75,0.0,0.7316666666666667,0.51
10,10,1.0,0.0,0.7316666666666667,0.51
10,1,0.25,4.0,0.73,0.54
10,10,1.0,2.0,0.73,0.54
10,1,0.0,2.0,0.73,0.53
10,1,0.75,4.0,0.73,0.53
10,10,0.0,0.2,0.73,0.52
10,10,0.0,0.5,0.73,0.52
10,10,0.0,1.0,0.73,0.52
10,10,0.1,0.5,0.73,0.52
10,10,0.1,1.0,0.73,0.52
10,10,0.25,0.5,0.73,0.52
10,10,0.25,1.0,0.73,0.52
10,10,0.5,0.5,0.73,0.52
10,10,0.75,0.5,0.73,0.52
10,10,1.0,0.2,0.73,0.52
10,10,1.0,0.5,0.73,0.52
10,1,0.1,2.0,0.73,0.51
10,10,0.25,4.0,0.7283333333333334,0.53
10,10,0.75,4.0,0.7283333333333334,0.53
10,10,0.1,0.2,0.7283333333333334,0.52
10,10,0.5,0.2,0.7283333333333334,0.52
10,10,0.75,0.2,0.7283333333333334,0.52
5,5,0.0,0.2,0.7283333333333334,0.42
10,3,1.0,2.0,0.7266666666666667,0.53
10,10,0.5,4.0,0.7266666666666667,0.53
10,10,0.25,0.2,0.7266666666666667,0.51
10,3,0.0,0.2,0.7266666666666667,0.49
10,3,0.1,0.2,0.7266666666666667,0.49
5,5,0.25,1.0,0.7266666666666667,0.43
5,5,0.5,0.2,0.7266666666666667,0.43
5,5,0.5,0.5,0.7266666666666667,0.43
5,5,0.5,1.0,0.7266666666666667,0.43
5,5,0.75,0.2,0.7266666666666667,0.43
5,5,0.75,0.5,0.7266666666666667,0.43
5,5,0.75,1.0,0.7266666666666667,0.43
5,5,1.0,0.2,0.7266666666666667,0.43
