k,seed,epochs,hidden_dim,lr,weight_decay,dropout,valid_row,invalid_reason,support_count,query_count,old_acc,macro_old_acc,min_old_class_acc,train_acc,support_query_overlap_count,invalid_classes
1,1,120,64,0.01,0.0001,0,True,,6,9594,0.51969981,0.51969981,0.09193246,1.00000000,0,
1,2,120,64,0.01,0.0001,0,True,,6,9594,0.47623515,0.47623515,0.03939962,1.00000000,0,
1,3,120,64,0.01,0.0001,0,True,,6,9594,0.51667709,0.51667709,0.02689181,1.00000000,0,
2,1,120,64,0.01,0.0001,0,True,,12,9588,0.65508970,0.65508970,0.40675845,1.00000000,0,
2,2,120,64,0.01,0.0001,0,True,,12,9588,0.61253650,0.61253650,0.16520651,1.00000000,0,
2,3,120,64,0.01,0.0001,0,True,,12,9588,0.62755528,0.62755528,0.08760951,1.00000000,0,
5,1,120,64,0.01,0.0001,0,True,,30,9570,0.68014629,0.68014629,0.17805643,1.00000000,0,
5,2,120,64,0.01,0.0001,0,True,,30,9570,0.68453501,0.68453501,0.17241379,1.00000000,0,
5,3,120,64,0.01,0.0001,0,True,,30,9570,0.67983281,0.67983281,0.17742947,1.00000000,0,
10,1,120,64,0.01,0.0001,0,True,,60,9540,0.69402516,0.69402516,0.31383648,1.00000000,0,
10,2,120,64,0.01,0.0001,0,True,,60,9540,0.69360587,0.69360587,0.30817610,1.00000000,0,
10,3,120,64,0.01,0.0001,0,True,,60,9540,0.69486373,0.69486373,0.31069182,1.00000000,0,
20,1,120,64,0.01,0.0001,0,True,,120,9480,0.69820675,0.69820675,0.32088608,1.00000000,0,
20,2,120,64,0.01,0.0001,0,True,,120,9480,0.69672996,0.69672996,0.31139241,1.00000000,0,
20,3,120,64,0.01,0.0001,0,True,,120,9480,0.69588608,0.69588608,0.30569620,1.00000000,0,
50,1,120,64,0.01,0.0001,0,True,,300,9300,0.67268817,0.67268817,0.44322581,1.00000000,0,
50,2,120,64,0.01,0.0001,0,True,,300,9300,0.66408602,0.66408602,0.40903226,1.00000000,0,
50,3,120,64,0.01,0.0001,0,True,,300,9300,0.66806452,0.66806452,0.43096774,1.00000000,0,
