k,seed,epochs,hidden_dim,lr,weight_decay,dropout,valid_row,invalid_reason,support_count,query_count,old_acc,macro_old_acc,min_old_class_acc,train_acc,support_query_overlap_count,invalid_classes
1,1,120,64,0.01,0.0001,0,True,,6,9594,0.56180946,0.56180946,0.13445904,1.00000000,0,
1,2,120,64,0.01,0.0001,0,True,,6,9594,0.64279758,0.64279758,0.06691682,1.00000000,0,
1,3,120,64,0.01,0.0001,0,True,,6,9594,0.64175526,0.64175526,0.08192620,1.00000000,0,
2,1,120,64,0.01,0.0001,0,True,,12,9588,0.57259074,0.57259074,0.15143930,1.00000000,0,
2,2,120,64,0.01,0.0001,0,True,,12,9588,0.56111806,0.56111806,0.12265332,1.00000000,0,
2,3,120,64,0.01,0.0001,0,True,,12,9588,0.64580726,0.64580726,0.18648310,1.00000000,0,
5,1,120,64,0.01,0.0001,0,True,,30,9570,0.72988506,0.72988506,0.25391850,1.00000000,0,
5,2,120,64,0.01,0.0001,0,True,,30,9570,0.72748171,0.72748171,0.23761755,1.00000000,0,
5,3,120,64,0.01,0.0001,0,True,,30,9570,0.72904911,0.72904911,0.24952978,1.00000000,0,
10,1,120,64,0.01,0.0001,0,True,,60,9540,0.71174004,0.71174004,0.16037736,1.00000000,0,
10,2,120,64,0.01,0.0001,0,True,,60,9540,0.71247379,0.71247379,0.15974843,1.00000000,0,
10,3,120,64,0.01,0.0001,0,True,,60,9540,0.71184486,0.71184486,0.16289308,1.00000000,0,
20,1,120,64,0.01,0.0001,0,True,,120,9480,0.65485232,0.65485232,0.31835443,1.00000000,0,
20,2,120,64,0.01,0.0001,0,True,,120,9480,0.65812236,0.65812236,0.34177215,1.00000000,0,
20,3,120,64,0.01,0.0001,0,True,,120,9480,0.65495781,0.65495781,0.32658228,1.00000000,0,
50,1,120,64,0.01,0.0001,0,True,,300,9300,0.67741935,0.67741935,0.41806452,1.00000000,0,
50,2,120,64,0.01,0.0001,0,True,,300,9300,0.67989247,0.67989247,0.42645161,1.00000000,0,
50,3,120,64,0.01,0.0001,0,True,,300,9300,0.67569892,0.67569892,0.42516129,1.00000000,0,
