receiver,new_class_count,k_shot,cell_count,mean_old_acc_before_increment,mean_old_acc_after_increment,mean_direct_adv3b02_old_acc,mean_seen_new_acc_after_increment,mean_H_old_new_after_increment,mean_candidate_average_forgetting,mean_identity_old_acc_after_increment,mean_shared_view_count_mean,mean_delta_before_vs_direct,mean_delta_after_vs_direct,min_old_class_acc_after_global,max_candidate_average_forgetting
20-1,5,1,5,0.6988888888888889,0.5361111111111111,0.7116666666666667,0.6286666666666667,0.576017464235077,0.1627777777777778,0.4622222222222222,2.1484848484848484,-0.0127777777777778,-0.1755555555555556,0.0,0.24444444444444446
20-1,5,5,5,0.7566666666666666,0.6005555555555555,0.7116666666666667,0.6686666666666666,0.6311829203971742,0.15611111111111112,0.5711111111111111,2.1636363636363636,0.04499999999999997,-0.11111111111111113,0.15,0.2611111111111111
20-1,5,10,5,0.7761111111111111,0.6372222222222221,0.7116666666666667,0.6839999999999999,0.6588457402807296,0.1388888888888889,0.5961111111111111,2.164848484848485,0.06444444444444439,-0.07444444444444447,0.25,0.18611111111111112
20-1,5,20,5,0.7733333333333332,0.6466666666666667,0.7116666666666667,0.694,0.6685795390561773,0.12666666666666668,0.6144444444444443,2.161212121212121,0.061666666666666606,-0.06500000000000003,0.3,0.15277777777777776
20-1,10,1,5,0.6950000000000001,0.4655555555555555,0.7116666666666667,0.4613333333333333,0.4616417416297188,0.22944444444444448,0.40166666666666667,2.4258333333333333,-0.016666666666666673,-0.2461111111111111,0.0,0.3972222222222223
20-1,10,5,5,0.7527777777777778,0.5683333333333334,0.7116666666666667,0.5313333333333333,0.5477574532024759,0.18444444444444444,0.5333333333333333,2.48,0.04111111111111108,-0.14333333333333334,0.15,0.28888888888888886
20-1,10,10,5,0.775,0.5994444444444444,0.7116666666666667,0.5626666666666666,0.5798354318465366,0.17555555555555555,0.5566666666666666,2.5,0.06333333333333328,-0.11222222222222225,0.25,0.21388888888888888
20-1,10,20,5,0.7722222222222223,0.6133333333333334,0.7116666666666667,0.577,0.5933697873824146,0.1588888888888889,0.5844444444444445,2.4799999999999995,0.06055555555555554,-0.09833333333333334,0.25,0.19722222222222227
20-1,20,1,5,0.6950000000000001,0.43888888888888894,0.7116666666666667,0.2748333333333333,0.33675056911735723,0.2561111111111111,0.3738888888888889,2.686153846153846,-0.016666666666666673,-0.2727777777777778,0.0,0.4083333333333334
20-1,20,5,5,0.7522222222222222,0.538888888888889,0.7116666666666667,0.35183333333333333,0.424492423671672,0.21333333333333332,0.5166666666666667,2.695897435897436,0.040555555555555546,-0.17277777777777778,0.15,0.3083333333333333
20-1,20,10,5,0.7733333333333333,0.5777777777777777,0.7116666666666667,0.3695,0.4498335980093846,0.19555555555555557,0.5405555555555556,2.717179487179487,0.06166666666666663,-0.1338888888888889,0.2,0.21944444444444444
20-1,20,20,5,0.77,0.5972222222222222,0.7116666666666667,0.39016666666666666,0.47083227594066956,0.1727777777777778,0.5700000000000001,2.6974358974358976,0.058333333333333307,-0.11444444444444449,0.2,0.2138888888888889
3-19,5,1,5,0.5433333333333333,0.36333333333333334,0.6022222222222222,0.4066666666666666,0.3820143590023461,0.18,0.35055555555555556,1.9848484848484849,-0.05888888888888892,-0.23888888888888893,0.05,0.2722222222222222
3-19,5,5,5,0.5972222222222222,0.425,0.6022222222222222,0.5279999999999999,0.4680146725375544,0.17222222222222222,0.4255555555555556,2.0333333333333337,-0.005000000000000027,-0.17722222222222223,0.0,0.21388888888888888
3-19,5,10,5,0.6555555555555556,0.47888888888888886,0.6022222222222222,0.516,0.49351537550789404,0.17666666666666667,0.4583333333333333,2.0915151515151513,0.05333333333333332,-0.12333333333333334,0.0,0.23055555555555554
3-19,5,20,5,0.6605555555555556,0.485,0.6022222222222222,0.53,0.5044544427519368,0.17555555555555555,0.46944444444444444,2.0915151515151513,0.05833333333333335,-0.11722222222222226,0.0,0.1861111111111111
3-19,10,1,5,0.5483333333333333,0.3111111111111111,0.6022222222222222,0.26033333333333336,0.28003967595889784,0.23722222222222222,0.29944444444444446,2.288333333333333,-0.053888888888888896,-0.29111111111111115,0.0,0.3
3-19,10,5,5,0.5938888888888889,0.38555555555555554,0.6022222222222222,0.3556666666666667,0.36796191216247137,0.20833333333333334,0.37444444444444447,2.34,-0.008333333333333349,-0.2166666666666667,0.0,0.24444444444444446
3-19,10,10,5,0.6572222222222222,0.4133333333333333,0.6022222222222222,0.3796666666666667,0.3941106597744173,0.2438888888888889,0.39944444444444444,2.465,0.05499999999999998,-0.1888888888888889,0.0,0.2722222222222222
3-19,10,20,5,0.6572222222222222,0.3933333333333333,0.6022222222222222,0.42333333333333334,0.40650900328667045,0.2638888888888889,0.3861111111111111,2.440833333333333,0.05499999999999996,-0.20888888888888896,0.0,0.3
3-19,20,1,5,0.5466666666666666,0.275,0.6022222222222222,0.18883333333333335,0.22224028433490953,0.27166666666666667,0.2538888888888889,2.4958974358974357,-0.05555555555555556,-0.3272222222222222,0.0,0.3972222222222222
3-19,20,5,5,0.5938888888888888,0.34833333333333333,0.6022222222222222,0.2811666666666667,0.3100235789414484,0.24555555555555558,0.34,2.546923076923077,-0.00833333333333337,-0.25388888888888894,0.0,0.32222222222222224
3-19,20,10,5,0.6561111111111111,0.3477777777777778,0.6022222222222222,0.30366666666666664,0.3231917814088724,0.3083333333333333,0.34555555555555556,2.5641025641025643,0.053888888888888875,-0.2544444444444445,0.0,0.3416666666666666
3-19,20,20,5,0.6566666666666666,0.35,0.6022222222222222,0.3251666666666667,0.33645133234400815,0.30666666666666664,0.3438888888888889,2.563846153846154,0.054444444444444406,-0.25222222222222224,0.0,0.375
7-14,5,1,5,0.9344444444444445,0.7372222222222222,0.9427777777777777,0.44666666666666666,0.5519619862722567,0.19722222222222224,0.7377777777777779,1.809090909090909,-0.008333333333333304,-0.20555555555555555,0.05,0.24166666666666667
7-14,5,5,5,0.9422222222222223,0.7838888888888889,0.9427777777777777,0.5673333333333334,0.657014036180178,0.15833333333333333,0.7738888888888888,1.8563636363636362,-0.0005555555555555092,-0.1588888888888889,0.25,0.18888888888888888
7-14,5,10,5,0.9394444444444445,0.7977777777777778,0.9427777777777777,0.5599999999999999,0.656229344485893,0.14166666666666666,0.7794444444444444,1.8703030303030304,-0.0033333333333332993,-0.14499999999999996,0.25,0.1638888888888889
7-14,5,20,5,0.9444444444444444,0.8150000000000001,0.9427777777777777,0.5626666666666666,0.6642366604922668,0.12944444444444445,0.775,1.8945454545454545,0.0016666666666666607,-0.1277777777777778,0.25,0.1611111111111111
7-14,10,1,5,0.9266666666666665,0.675,0.9427777777777777,0.3473333333333333,0.45094140111725467,0.25166666666666665,0.645,2.32,-0.016111111111111187,-0.2677777777777777,0.05,0.3416666666666666
7-14,10,5,5,0.9383333333333332,0.7316666666666667,0.9427777777777777,0.41633333333333333,0.5299855198663102,0.20666666666666664,0.7266666666666667,2.23125,-0.004444444444444473,-0.21111111111111108,0.15,0.23611111111111113
7-14,10,10,5,0.9366666666666668,0.7433333333333334,0.9427777777777777,0.4176666666666667,0.5333115971370346,0.19333333333333333,0.7361111111111112,2.26125,-0.00611111111111109,-0.19944444444444442,0.2,0.22777777777777775
