cell_id,receiver,seed,new_class_count,k_shot,old_acc_before_increment,old_acc_after_increment,direct_adv3b02_old_acc,seen_new_acc_after_increment,H_old_new_after_increment,candidate_average_forgetting,identity_old_acc_after_increment,shared_view_count_mean,delta_before_vs_direct,delta_after_vs_direct,delta_after_vs_identity,min_old_class_acc_after_global,old_class_acc_before_mean_json,old_class_acc_after_mean_json,old_class_forgetting_mean_json,trainable_parameters,adapt_epochs,persistent_state_bytes,peak_cuda_memory_bytes,candidate_query_latency_ms,mean_backbone_forwards,p95_backbone_forwards,view1_rate,view3_rate,view5_rate
rx_20_1__seed_713101__new_10__k_1,20-1,713101,10,1,0.6444444444444445,0.5388888888888889,0.7027777777777778,0.5066666666666667,0.5208710311463463,0.10555555555555558,0.3833333333333333,2.4458333333333333,-0.05833333333333335,-0.16388888888888897,0.15555555555555556,0.0,"{""14-10"": 0.6333333333333333, ""14-7"": 0.0, ""20-15"": 0.8333333333333334, ""20-19"": 0.8833333333333333, ""6-15"": 0.7833333333333333, ""8-20"": 0.7333333333333334}","{""14-10"": 0.5, ""14-7"": 0.0, ""20-15"": 0.7000000000000001, ""20-19"": 0.6666666666666666, ""6-15"": 0.6333333333333333, ""8-20"": 0.7333333333333334}","{""14-10"": 0.13333333333333333, ""14-7"": 0.0, ""20-15"": 0.13333333333333333, ""20-19"": 0.21666666666666667, ""6-15"": 0.15, ""8-20"": 0.0}",44048,12,109818,168271872,0.7367286879646903,2.4458333333333333,3.0,0.30104166666666665,0.675,0.023958333333333335
rx_20_1__seed_713101__new_10__k_10,20-1,713101,10,10,0.7694444444444445,0.6027777777777777,0.7027777777777778,0.5516666666666666,0.5760073492390452,0.16666666666666666,0.5583333333333333,2.5,0.06666666666666665,-0.10000000000000009,0.0444444444444444,0.3,"{""14-10"": 0.65, ""14-7"": 0.85, ""20-15"": 0.7999999999999999, ""20-19"": 0.7333333333333334, ""6-15"": 0.8166666666666668, ""8-20"": 0.7666666666666666}","{""14-10"": 0.4166666666666667, ""14-7"": 0.7333333333333334, ""20-15"": 0.6, ""20-19"": 0.7166666666666667, ""6-15"": 0.39999999999999997, ""8-20"": 0.75}","{""14-10"": 0.2333333333333334, ""14-7"": 0.11666666666666665, ""20-15"": 0.20000000000000004, ""20-19"": 0.01666666666666668, ""6-15"": 0.4166666666666667, ""8-20"": 0.016666666666666646}",44048,12,109818,168271872,0.7500159864624342,2.5,3.0,0.28020833333333334,0.6895833333333333,0.030208333333333334
rx_20_1__seed_713101__new_10__k_20,20-1,713101,10,20,0.7833333333333333,0.6222222222222222,0.7027777777777778,0.58,0.6000205361488018,0.16111111111111118,0.5777777777777778,2.4770833333333333,0.08055555555555549,-0.0805555555555556,0.0444444444444444,0.3,"{""14-10"": 0.65, ""14-7"": 0.8666666666666667, ""20-15"": 0.8333333333333334, ""20-19"": 0.7333333333333334, ""6-15"": 0.8333333333333334, ""8-20"": 0.7833333333333333}","{""14-10"": 0.3666666666666667, ""14-7"": 0.7000000000000001, ""20-15"": 0.7000000000000001, ""20-19"": 0.7333333333333334, ""6-15"": 0.45, ""8-20"": 0.7833333333333333}","{""14-10"": 0.2833333333333334, ""14-7"": 0.16666666666666666, ""20-15"": 0.13333333333333333, ""20-19"": 0.0, ""6-15"": 0.3833333333333333, ""8-20"": 0.0}",44048,12,109818,168271872,0.7407977139033998,2.4770833333333333,3.0,0.2947916666666667,0.671875,0.03333333333333333
rx_20_1__seed_713101__new_10__k_5,20-1,713101,10,5,0.7861111111111111,0.49722222222222223,0.7027777777777778,0.5216666666666666,0.5089755738294934,0.28888888888888886,0.4916666666666667,2.391666666666667,0.08333333333333326,-0.2055555555555556,0.005555555555555536,0.15,"{""14-10"": 0.6999999999999998, ""14-7"": 0.85, ""20-15"": 0.75, ""20-19"": 0.7999999999999999, ""6-15"": 0.85, ""8-20"": 0.7666666666666666}","{""14-10"": 0.39999999999999997, ""14-7"": 0.21666666666666665, ""20-15"": 0.5666666666666667, ""20-19"": 0.7333333333333334, ""6-15"": 0.3, ""8-20"": 0.7666666666666666}","{""14-10"": 0.3, ""14-7"": 0.6333333333333333, ""20-15"": 0.18333333333333326, ""20-19"": 0.0666666666666667, ""6-15"": 0.5499999999999999, ""8-20"": 0.0}",44048,12,109818,168271872,0.7337954244576395,2.3916666666666666,3.0,0.3333333333333333,0.6375,0.029166666666666667
rx_20_1__seed_713101__new_20__k_1,20-1,713101,20,1,0.6444444444444445,0.5027777777777778,0.7027777777777778,0.30916666666666665,0.3824484536951556,0.1416666666666667,0.35000000000000003,2.698717948717949,-0.05833333333333335,-0.20000000000000007,0.15277777777777773,0.0,"{""14-10"": 0.6333333333333333, ""14-7"": 0.0, ""20-15"": 0.8333333333333334, ""20-19"": 0.8833333333333333, ""6-15"": 0.7833333333333333, ""8-20"": 0.7333333333333334}","{""14-10"": 0.48333333333333334, ""14-7"": 0.0, ""20-15"": 0.7000000000000001, ""20-19"": 0.6666666666666666, ""6-15"": 0.43333333333333335, ""8-20"": 0.7333333333333334}","{""14-10"": 0.15000000000000002, ""14-7"": 0.0, ""20-15"": 0.13333333333333333, ""20-19"": 0.21666666666666667, ""6-15"": 0.35000000000000003, ""8-20"": 0.0}",44048,12,109818,168441856,0.8177460771268951,2.698717948717949,3.0,0.19807692307692307,0.7544871794871795,0.047435897435897434
rx_20_1__seed_713101__new_20__k_10,20-1,713101,20,10,0.7694444444444445,0.5944444444444444,0.7027777777777778,0.355,0.44452041306528917,0.17500000000000002,0.5472222222222222,2.7256410256410253,0.06666666666666665,-0.10833333333333339,0.047222222222222276,0.2,"{""14-10"": 0.65, ""14-7"": 0.85, ""20-15"": 0.7999999999999999, ""20-19"": 0.7333333333333334, ""6-15"": 0.8166666666666668, ""8-20"": 0.7666666666666666}","{""14-10"": 0.35000000000000003, ""14-7"": 0.7333333333333334, ""20-15"": 0.6, ""20-19"": 0.7166666666666667, ""6-15"": 0.4166666666666667, ""8-20"": 0.75}","{""14-10"": 0.3, ""14-7"": 0.11666666666666665, ""20-15"": 0.20000000000000004, ""20-19"": 0.01666666666666668, ""6-15"": 0.39999999999999997, ""8-20"": 0.016666666666666646}",44048,12,109818,168441856,0.8799305531936579,2.7256410256410257,5.0,0.1891025641025641,0.7589743589743589,0.051923076923076926
rx_20_1__seed_713101__new_20__k_20,20-1,713101,20,20,0.7833333333333333,0.6055555555555556,0.7027777777777778,0.3858333333333333,0.471081152708241,0.17777777777777778,0.5666666666666667,2.697435897435897,0.08055555555555549,-0.09722222222222221,0.03888888888888897,0.2,"{""14-10"": 0.65, ""14-7"": 0.8666666666666667, ""20-15"": 0.8333333333333334, ""20-19"": 0.7333333333333334, ""6-15"": 0.8333333333333334, ""8-20"": 0.7833333333333333}","{""14-10"": 0.26666666666666666, ""14-7"": 0.7000000000000001, ""20-15"": 0.7000000000000001, ""20-19"": 0.7333333333333334, ""6-15"": 0.45, ""8-20"": 0.7833333333333333}","{""14-10"": 0.38333333333333336, ""14-7"": 0.16666666666666666, ""20-15"": 0.13333333333333333, ""20-19"": 0.0, ""6-15"": 0.3833333333333333, ""8-20"": 0.0}",44048,12,109818,168441856,0.8526032032349553,2.6974358974358976,5.0,0.2012820512820513,0.7487179487179487,0.05
rx_20_1__seed_713101__new_20__k_5,20-1,713101,20,5,0.7888888888888889,0.48055555555555557,0.7027777777777778,0.3416666666666666,0.3992585332709882,0.3083333333333333,0.47500000000000003,2.6576923076923076,0.08611111111111103,-0.22222222222222227,0.005555555555555536,0.15,"{""14-10"": 0.7166666666666667, ""14-7"": 0.85, ""20-15"": 0.75, ""20-19"": 0.7999999999999999, ""6-15"": 0.85, ""8-20"": 0.7666666666666666}","{""14-10"": 0.3, ""14-7"": 0.21666666666666665, ""20-15"": 0.5666666666666667, ""20-19"": 0.7333333333333334, ""6-15"": 0.3, ""8-20"": 0.7666666666666666}","{""14-10"": 0.4166666666666667, ""14-7"": 0.6333333333333333, ""20-15"": 0.18333333333333326, ""20-19"": 0.0666666666666667, ""6-15"": 0.5499999999999999, ""8-20"": 0.0}",44048,12,109818,168441856,0.8635633944486005,2.6576923076923076,5.0,0.2230769230769231,0.725,0.051923076923076926
rx_20_1__seed_713101__new_5__k_1,20-1,713101,5,1,0.6472222222222223,0.5416666666666666,0.7027777777777778,0.6266666666666666,0.5798276149942191,0.10555555555555557,0.42777777777777776,1.9696969696969697,-0.05555555555555558,-0.1611111111111112,0.11388888888888887,0.0,"{""14-10"": 0.6333333333333333, ""14-7"": 0.0, ""20-15"": 0.8333333333333334, ""20-19"": 0.9, ""6-15"": 0.7833333333333333, ""8-20"": 0.7333333333333334}","{""14-10"": 0.5, ""14-7"": 0.0, ""20-15"": 0.7333333333333334, ""20-19"": 0.65, ""6-15"": 0.6333333333333333, ""8-20"": 0.7333333333333334}","{""14-10"": 0.13333333333333333, ""14-7"": 0.0, ""20-15"": 0.10000000000000002, ""20-19"": 0.24999999999999997, ""6-15"": 0.15, ""8-20"": 0.0}",44048,12,109818,168198144,0.7010669877865551,1.9696969696969697,3.0,0.5363636363636364,0.44242424242424244,0.021212121212121213
rx_20_1__seed_713101__new_5__k_10,20-1,713101,5,10,0.775,0.6361111111111111,0.7027777777777778,0.64,0.6379121144245481,0.13888888888888892,0.5833333333333334,2.1606060606060606,0.07222222222222219,-0.06666666666666676,0.0527777777777777,0.3,"{""14-10"": 0.6666666666666666, ""14-7"": 0.85, ""20-15"": 0.8166666666666668, ""20-19"": 0.7333333333333334, ""6-15"": 0.8166666666666668, ""8-20"": 0.7666666666666666}","{""14-10"": 0.43333333333333335, ""14-7"": 0.75, ""20-15"": 0.75, ""20-19"": 0.7166666666666667, ""6-15"": 0.4166666666666667, ""8-20"": 0.75}","{""14-10"": 0.2333333333333333, ""14-7"": 0.09999999999999998, ""20-15"": 0.0666666666666667, ""20-19"": 0.01666666666666668, ""6-15"": 0.39999999999999997, ""8-20"": 0.016666666666666646}",44048,12,109818,168198144,0.7299204222914396,2.1606060606060606,3.0,0.43636363636363634,0.546969696969697,0.016666666666666666
